,STATE,DISTRICT,BLOCK,CATEGORY
35,TN,Coimbatore,METTUPALAYAM,Critical
36,TN,Coimbatore,SARAVANAMPATTI,Critical
37,TN,Coimbatore,THIRUMALAIAMPALAYAM,Critical
38,TN,Coimbatore,KOTTUR,Critical
39,TN,Coimbatore,MADUKKARAI,Critical
40,TN,Coimbatore,PERUR,Over-exploited
41,TN,Coimbatore,ANAMALAI,Over-exploited
42,TN,Coimbatore,KARUMATHAMPATTI,Over-exploited
43,TN,Coimbatore,OTTAKKAL MANDABAM,Over-exploited
44,TN,Coimbatore,SULUR,Over-exploited
45,TN,Coimbatore,ALANDURAI,Over-exploited
46,TN,Coimbatore,VADACHITTUR,Over-exploited
47,TN,Coimbatore,SELAKKARICHAL,Over-exploited
48,TN,Coimbatore,POLLACHI(S),Over-exploited
49,TN,Coimbatore,MADAMPATTI,Over-exploited
50,TN,Coimbatore,VARAPATTI,Over-exploited
51,TN,Coimbatore,THONDAMUTHUR,Over-exploited
52,TN,Coimbatore,ANNUR(S),Over-exploited
53,TN,Coimbatore,VADAVALLI,Over-exploited
54,TN,Coimbatore,POLLACHI(N),Over-exploited
55,TN,Coimbatore,SINGANALLUR,Over-exploited
56,TN,Coimbatore,RAMAPATTINAM,Over-exploited
57,TN,Coimbatore,KINATHUKATAVU,Over-exploited
58,TN,Coimbatore,COIMBATORE,Over-exploited
59,TN,Coimbatore,ANNUR(N),Over-exploited
60,TN,Coimbatore,SARKAR SAMAKULAM,Over-exploited
61,TN,Coimbatore,PERIANEGAMAM,Over-exploited
62,TN,Coimbatore,ANUPPARPALAYAM,Over-exploited
63,TN,Coimbatore,KOLARPATTI,Over-exploited
64,TN,Coimbatore,KOVILPALAYAM,Over-exploited
65,TN,Coimbatore,GANAPATHI,Over-exploited
66,TN,Coimbatore,VALPARAI,Safe
67,TN,Coimbatore,,MARCHINAICKENPALAYAM Semi-critical
68,TN,Coimbatore,THUDIALUR,Semi-critical
69,TN,Coimbatore,KURICHI,Semi-critical
70,TN,Coimbatore,PERIYANAICKENPALAYAM,Semi-critical
71,TN,Coimbatore,KARAMADAI,Semi-critical
72,TN,Coimbatore,KUNIAMUTHUR,Semi-critical
