,STATE,DISTRICT,BLOCK,CATEGORY
105,TN,DHARMAPURI,KRISHNAPURAM,Critical
106,TN,DHARMAPURI,PAPPIREDDIPATTY,Critical
107,TN,DHARMAPURI,NALLAMPALLI,Critical
108,TN,DHARMAPURI,MORAPPUR,Critical
109,TN,DHARMAPURI,KAMBAINALLUR,Over-exploited
110,TN,DHARMAPURI,THENKARAIKOTTAI,Over-exploited
111,TN,DHARMAPURI,PALACODE,Over-exploited
112,TN,DHARMAPURI,VELLICHANDAI,Over-exploited
113,TN,DHARMAPURI,PAPPARAPATTY,Over-exploited
114,TN,DHARMAPURI,INDUR,Over-exploited
115,TN,DHARMAPURI,PENNAGARAM,Over-exploited
116,TN,DHARMAPURI,KADATHUR,Over-exploited
117,TN,DHARMAPURI,PALAYAM,Over-exploited
118,TN,DHARMAPURI,BOMMIDI,Over-exploited
119,TN,DHARMAPURI,KARIMANGALAM,Over-exploited
120,TN,DHARMAPURI,MARANDAHALLI,Over-exploited
121,TN,DHARMAPURI,PULIKARAI,Over-exploited
122,TN,DHARMAPURI,PERUMBALAI,Over-exploited
123,TN,DHARMAPURI,PERIANAHALLI,Over-exploited
124,TN,DHARMAPURI,SUNJALNATHAM,Safe
125,TN,DHARMAPURI,THEERTHAMALAI,Safe
126,TN,DHARMAPURI,HARUR,Semi-critical
127,TN,DHARMAPURI,DHARMAPURI,Semi-critical
