,STATE,DISTRICT,BLOCK,CATEGORY
128,TN,DINDIGUL,ORUTHATTU,Critical
129,TN,DINDIGUL,NEIKKARAPATTAI,Critical
130,TN,DINDIGUL,PILLAIYARNATHAM,Critical
131,TN,DINDIGUL,DHARMATHUPATTI,Over-exploited
132,TN,DINDIGUL,AYAKUDI,Over-exploited
133,TN,DINDIGUL,DINDIGUL WEST,Over-exploited
134,TN,DINDIGUL,PULIYURNATHAM,Over-exploited
135,TN,DINDIGUL,AYYALUR,Over-exploited
136,TN,DINDIGUL,KOTTANATHAM,Over-exploited
137,TN,DINDIGUL,SHANARPATTI,Over-exploited
138,TN,DINDIGUL,SILVATHUR,Over-exploited
139,TN,DINDIGUL,PALAYAM,Over-exploited
140,TN,DINDIGUL,DEVATHUR,Over-exploited
141,TN,DINDIGUL,KALLIMANTHAYAM,Over-exploited
142,TN,DINDIGUL,THOPPAMPATTI,Over-exploited
143,TN,DINDIGUL,VIRUVEEDU,Over-exploited
144,TN,DINDIGUL,CHINNAKKAMPATTI,Over-exploited
145,TN,DINDIGUL,AYYAMPALAYAM,Over-exploited
146,TN,DINDIGUL,ODDANCHATHRAM,Over-exploited
147,TN,DINDIGUL,VEDASANDUR,Over-exploited
148,TN,DINDIGUL,CHINNALPATTI,Over-exploited
149,TN,DINDIGUL,VADAMADURAI,Over-exploited
150,TN,DINDIGUL,NILAKOTTAI,Over-exploited
151,TN,DINDIGUL,REDDIARCHATRAM,Over-exploited
152,TN,DINDIGUL,KOVILUR,Over-exploited
153,TN,DINDIGUL,PALAKKANOOTHU,Over-exploited
154,TN,DINDIGUL,ERIODU,Over-exploited
155,TN,DINDIGUL,VATLAGUNDU,Over-exploited
156,TN,DINDIGUL,PANNAIKADU,Safe
157,TN,DINDIGUL,KODIAKANAL,Safe
158,TN,DINDIGUL,THANDIKUDI,Safe
159,TN,DINDIGUL,PALANI,Safe
160,TN,DINDIGUL,DINDIGUL East,Safe
161,TN,DINDIGUL,SENTHURAI,Safe
162,TN,DINDIGUL,REDDIAPATTI,Safe
163,TN,DINDIGUL,NATHAM,Safe
164,TN,DINDIGUL,PAPPAMPATTI,Semi-critical
165,TN,DINDIGUL,KAMBILIAMPATTI,Semi-critical
166,TN,DINDIGUL,KORIKADAVU,Semi-critical
167,TN,DINDIGUL,ATHOOR,Semi-critical
