,STATE,DISTRICT,BLOCK,CATEGORY
168,TN,ERODE,SATHYAMANGALAM,Critical
169,TN,ERODE,THINGALUR,Critical
170,TN,ERODE,KILAMPADI,Critical
171,TN,ERODE,KASIPALAYAM,Critical
172,TN,ERODE,AMMAPETTAI,Critical
173,TN,ERODE,ATHANI,Over-exploited
174,TN,ERODE,VELLODE,Over-exploited
175,TN,ERODE,ARACHALUR,Over-exploited
176,TN,ERODE,ERODE WEST,Over-exploited
177,TN,ERODE,ELATHUR,Over-exploited
178,TN,ERODE,MODAKURICHI,Over-exploited
179,TN,ERODE,ARASUR,Over-exploited
180,TN,ERODE,ERODE EAST,Over-exploited
181,TN,ERODE,ANTHIYUR,Over-exploited
182,TN,ERODE,ERODE NORTH,Over-exploited
183,TN,ERODE,CHENNIMALAI,Over-exploited
184,TN,ERODE,BHAVANISAGAR,Over-exploited
185,TN,ERODE,KODUMUDI,Over-exploited
186,TN,ERODE,PUNJAIPULIAMPATTI,Over-exploited
187,TN,ERODE,PERUNDURAI,Over-exploited
188,TN,ERODE,NAMBIYUR,Over-exploited
189,TN,ERODE,BURGUR,Safe
190,TN,ERODE,KUGALUR,Safe
191,TN,ERODE,POONDURAI,Safe
192,TN,ERODE,GOBICHETTIPALAYAM,Safe
193,TN,ERODE,KUTHIYALATHUR,Safe
194,TN,ERODE,SIVAGIRI,Safe
195,TN,ERODE,VANIPUTHUR,Safe
196,TN,ERODE,THALAVADI,Semi-critical
197,TN,ERODE,KAVANDAPADI,Semi-critical
198,TN,ERODE,SIRUVALUR,Semi-critical
199,TN,ERODE,KANJIKOIL,Semi-critical
200,TN,ERODE,BHAVANI,Semi-critical
201,TN,ERODE,KURICHI,Semi-critical
