,STATE,DISTRICT,BLOCK,CATEGORY
202,TN,KANCHEEPURAM,THIRUPPU KUZHI,Critical
203,TN,KANCHEEPURAM,L.ENDATHUR,Critical
204,TN,KANCHEEPURAM,THIRUKAZHUKUNDRAM,Critical
205,TN,KANCHEEPURAM,SINGAPERUMALKOIL,Over-exploited
206,TN,KANCHEEPURAM,SIRUKAVERIPAKKAM,Over-exploited
207,TN,KANCHEEPURAM,CHENGALPATTU,Over-exploited
208,TN,KANCHEEPURAM,NERUMBUR,Over-exploited
209,TN,KANCHEEPURAM,GOVINDHAVADI,Over-exploited
210,TN,KANCHEEPURAM,APPUR,Over-exploited
211,TN,KANCHEEPURAM,ORATHI,Over-exploited
212,TN,KANCHEEPURAM,WALAJABAD,Over-exploited
213,TN,KANCHEEPURAM,ARUMPULIYUR,Over-exploited
214,TN,KANCHEEPURAM,THIRUPULIVANAM,Over-exploited
215,TN,KANCHEEPURAM,SRIPERUMPUDUR,Safe
216,TN,KANCHEEPURAM,KUNRATHUR,Safe
217,TN,KANCHEEPURAM,VALLAM,Safe
218,TN,KANCHEEPURAM,THANDALAM,Safe
219,TN,KANCHEEPURAM,THENNERI,Safe
220,TN,KANCHEEPURAM,CHITLAPAKKAM,Safe
221,TN,KANCHEEPURAM,KELAMBAKKAM,Safe
222,TN,KANCHEEPURAM,PADAPPAI,Safe
223,TN,KANCHEEPURAM,ALANTHUR,Safe
224,TN,KANCHEEPURAM,SHOLINGANALLUR,Safe
225,TN,KANCHEEPURAM,SUNKUVARCHATRAM,Safe
226,TN,KANCHEEPURAM,PALLAVARAM,Safe
227,TN,KANCHEEPURAM,MEDAVAKKAM,Safe
228,TN,KANCHEEPURAM,KARUGKUZHI,Safe
229,TN,KANCHEEPURAM,KADAPAKKAM,Safe
230,TN,KANCHEEPURAM,TAMBARAM,Safe
231,TN,KANCHEEPURAM,MAMBAKKAM,Safe
232,TN,KANCHEEPURAM,PAMMAL,Safe
233,TN,KANCHEEPURAM,MADURAMANGALAM,Safe
234,TN,KANCHEEPURAM,CHITTIAMBAKKAM,Safe
235,TN,KANCHEEPURAM,MADAMBAKKAM,Safe
236,TN,KANCHEEPURAM,SERAPPANACHERI,Safe
237,TN,KANCHEEPURAM,PARANDUR,Safe
238,TN,KANCHEEPURAM,LATHUR,Safe
239,TN,KANCHEEPURAM,MANGADU,Safe
240,TN,KANCHEEPURAM,SUNAMPEDU,Safe
241,TN,KANCHEEPURAM,KANCHEEPURAM,Safe
242,TN,KANCHEEPURAM,VAIYAVUR,Safe
243,TN,KANCHEEPURAM,PALLIKARANAI,Safe
244,TN,KANCHEEPURAM,THIRUPORUR,Safe
245,TN,KANCHEEPURAM,MADHURANTHAKAM,Safe
246,TN,KANCHEEPURAM,PAIYANUR,Safe
247,TN,KANCHEEPURAM,MAHARAL,Safe
248,TN,KANCHEEPURAM,MANAMBATHY,Safe
249,TN,KANCHEEPURAM,KODUR,Safe
250,TN,KANCHEEPURAM,SALAVAKKAM,Safe
251,TN,KANCHEEPURAM,NELLIKUPPAM,Safe
252,TN,KANCHEEPURAM,ONAMPAKKAM,Semi-critical
253,TN,KANCHEEPURAM,PALLUR,Semi-critical
254,TN,KANCHEEPURAM,KATTANKULATHUR,Semi-critical
255,TN,KANCHEEPURAM,KAYAPAKKAM,Semi-critical
256,TN,KANCHEEPURAM,KOLLAPAKKAM,Semi-critical
257,TN,KANCHEEPURAM,MAMALLAPURAM,Semi-critical
258,TN,KANCHEEPURAM,GUDUVANCHERI,Semi-critical
259,TN,KANCHEEPURAM,CHITHAMUR,Semi-critical
260,TN,KANCHEEPURAM,KARUMBAKKAM,Semi-critical
261,TN,KANCHEEPURAM,KUNNAVAKKAM,Semi-critical
262,TN,KANCHEEPURAM,JAMEENENDATHUR,Semi-critical
263,TN,KANCHEEPURAM,VANDALUR,Semi-critical
264,TN,KANCHEEPURAM,PERUMPAKKAM,Semi-critical
265,TN,KANCHEEPURAM,CHEYYUR,Semi-critical
266,TN,KANCHEEPURAM,ACCHIRUPAKKAM,Semi-critical
267,TN,KANCHEEPURAM,,PONVILAYANTHAKALATHUR Semi-critical
268,TN,KANCHEEPURAM,KALIYAMPOONDI,Semi-critical
269,TN,KANCHEEPURAM,UTHIRAMERUR,Semi-critical
