,STATE,DISTRICT,BLOCK,CATEGORY
288,TN,KARUR,THALAPATTI,Over-exploited
289,TN,KARUR,KATTALAI,Over-exploited
290,TN,KARUR,PUGALUR,Over-exploited
291,TN,KARUR,K.PARAMATHY,Over-exploited
292,TN,KARUR,KARUR,Over-exploited
293,TN,KARUR,PANJAPATTI,Over-exploited
294,TN,KARUR,VELLIYANAI,Over-exploited
295,TN,KARUR,THENNILAI,Over-exploited
296,TN,KARUR,THORANAKALPATTI,Over-exploited
297,TN,KARUR,VANGAL,Over-exploited
298,TN,KARUR,THOGAIMALAI,Over-exploited
299,TN,KARUR,PALLAPATTI,Over-exploited
300,TN,KARUR,MAILAMPATTI,Over-exploited
301,TN,KARUR,KADAVUR,Over-exploited
302,TN,KARUR,KULITHALAI,Safe
303,TN,KARUR,NANGAVARAM,Safe
304,TN,KARUR,ARAVAKURICHI,Safe
305,TN,KARUR,CHINTHALAVADI,Semi-critical
306,TN,KARUR,CHINNADHARAPURAM,Semi-critical
307,TN,KARUR,MANMANGALAM,Semi-critical
