,STATE,DISTRICT,BLOCK,CATEGORY
708,TN,THIRUPPUR,DHARAPURAM,Critical
709,TN,THIRUPPUR,TIRUPPUR (N),Critical
710,TN,THIRUPPUR,THUNGAVI,Critical
711,TN,THIRUPPUR,SANKARANDAMPALAYAM,Over-exploited
712,TN,THIRUPPUR,ALANGIYAM,Over-exploited
713,TN,THIRUPPUR,KUNDADAM,Over-exploited
714,TN,THIRUPPUR,PONNAPURAM,Over-exploited
715,TN,THIRUPPUR,AVINASHI(E),Over-exploited
716,TN,THIRUPPUR,CHEYUR,Over-exploited
717,TN,THIRUPPUR,NATHAKADAIYUR,Over-exploited
718,TN,THIRUPPUR,VELLAKOIL,Over-exploited
719,TN,THIRUPPUR,GUDIMANGALAM,Over-exploited
720,TN,THIRUPPUR,KARADIVAVI,Over-exploited
721,TN,THIRUPPUR,UTHUKULI,Over-exploited
722,TN,THIRUPPUR,PETHAPPAMPATTI,Over-exploited
723,TN,THIRUPPUR,VELAMPALAYAM,Over-exploited
724,TN,THIRUPPUR,PERUMANALLUR,Over-exploited
725,TN,THIRUPPUR,PONGALUR,Over-exploited
726,TN,THIRUPPUR,KANNIVADI,Over-exploited
727,TN,THIRUPPUR,PERIAVALAVADI,Over-exploited
728,TN,THIRUPPUR,AVINASHIPALAYAM(S),Over-exploited
729,TN,THIRUPPUR,AVINASHI(W),Over-exploited
730,TN,THIRUPPUR,UTHIYUR,Over-exploited
731,TN,THIRUPPUR,SAMALAPURAM,Over-exploited
732,TN,THIRUPPUR,KANGEYAM,Over-exploited
733,TN,THIRUPPUR,KUNNATHUR,Over-exploited
734,TN,THIRUPPUR,PALLADAM,Over-exploited
735,TN,THIRUPPUR,MULANUR,Over-exploited
736,TN,THIRUPPUR,TIRUPPUR (S),Over-exploited
737,TN,THIRUPPUR,MADATHUKULAM,Safe
738,TN,THIRUPPUR,NALLUR,Semi-critical
739,TN,THIRUPPUR,UDUMALPET,Semi-critical
740,TN,THIRUPPUR,KURICHIKOTTAI,Semi-critical
