,STATE,DISTRICT,BLOCK,CATEGORY
795,TN,THOOTHUKUDI,PARIVALLIKOTTAI,Critical
796,TN,THOOTHUKUDI,UDANGUDI,Over-exploited
797,TN,THOOTHUKUDI,ILAYARASANENDAL,Over-exploited
798,TN,THOOTHUKUDI,PALLAKURICHI,Over-exploited
799,TN,THOOTHUKUDI,KADALKUDI,Safe
800,TN,THOOTHUKUDI,PERUNGULAM,Safe
801,TN,THOOTHUKUDI,SIVAGNANAPURAM,Safe
802,TN,THOOTHUKUDI,VEDANATHAM,Safe
803,TN,THOOTHUKUDI,ARUMUGAMANGALAM,Safe
804,TN,THOOTHUKUDI,PADARNTHAPULI,Safe
805,TN,THOOTHUKUDI,PUDUKOTTAI,Safe
806,TN,THOOTHUKUDI,EPPODUMVENDRAN,Safe
807,TN,THOOTHUKUDI,DEIVASEYALPURAM,Safe
808,TN,THOOTHUKUDI,KEELATHATTAPARAI,Safe
809,TN,THOOTHUKUDI,AUTHOOR,Safe
810,TN,THOOTHUKUDI,VEMBAR,Safe
811,TN,THOOTHUKUDI,MANIYACHI,Safe
812,TN,THOOTHUKUDI,ALWARTHIRUNAGARI,Safe
813,TN,THOOTHUKUDI,VILATHIKULAM,Safe
814,TN,THOOTHUKUDI,SEIDUNGANALLUR,Safe
815,TN,THOOTHUKUDI,SRIVAIKUNDAM,Safe
816,TN,THOOTHUKUDI,CHOLAPURAM,Safe
817,TN,THOOTHUKUDI,MUDIVAITHANENDAL,Safe
818,TN,THOOTHUKUDI,KALUGUMALAI,Safe
819,TN,THOOTHUKUDI,THOOTHUKUDI,Safe
820,TN,THOOTHUKUDI,KULATHUR,Safe
821,TN,THOOTHUKUDI,VALLANAD,Safe
822,TN,THOOTHUKUDI,PUDUR,Safe
823,TN,THOOTHUKUDI,MUTHULAPURAM,Safe
824,TN,THOOTHUKUDI,ETTAYAPURAM,Safe
825,TN,THOOTHUKUDI,KOVILPATTI,Safe
826,TN,THOOTHUKUDI,NALLATINPUTHUR,Safe
827,TN,THOOTHUKUDI,TIRUCHENDUR,Safe
828,TN,THOOTHUKUDI,KADALIYUR,Safe
829,TN,THOOTHUKUDI,KAMANAICKENPATTI,Safe
830,TN,THOOTHUKUDI,PASUVANTHANAI,Safe
831,TN,THOOTHUKUDI,OTTAPIDARAM,Safe
832,TN,THOOTHUKUDI,KADAMBUR,Safe
833,TN,THOOTHUKUDI,SRIVENKATESWARAPURAM Safe,
834,TN,THOOTHUKUDI,KAYATHAR,Safe
835,TN,THOOTHUKUDI,SATTANKULAM,Semi-critical
