,STATE,DISTRICT,BLOCK,CATEGORY
948,TN,TIRUVARUR,VADAPATHIMANGALAM,Critical
949,TN,TIRUVARUR,KORADACHERI,Over-exploited
950,TN,TIRUVARUR,THIRUKKANNAMANGAI,Over-exploited
951,TN,TIRUVARUR,AGARATHIRUMALAM,Over-exploited
952,TN,TIRUVARUR,PERALAM,Over-exploited
953,TN,TIRUVARUR,KULIKKARAI,Over-exploited
954,TN,TIRUVARUR,ALANGUDI,Over-exploited
955,TN,TIRUVARUR,VALANGAIMAN,Over-exploited
956,TN,TIRUVARUR,THIRUVIZHIMAZHALAI,Over-exploited
957,TN,TIRUVARUR,KODAVASAL,Over-exploited
958,TN,TIRUVARUR,AVOOR,Over-exploited
959,TN,TIRUVARUR,PALAIYUR,Safe
960,TN,TIRUVARUR,KOTTUR,Safe
961,TN,TIRUVARUR,KUNNIYUR,Safe
962,TN,TIRUVARUR,VADUVUR,Safe
963,TN,TIRUVARUR,THALAIYAMANGALAM,Safe
964,TN,TIRUVARUR,THIRUVARUR,Safe
965,TN,TIRUVARUR,MANNARGUDI,Safe
966,TN,TIRUVARUR,NIDAMANGALAM,Safe
967,TN,TIRUVARUR,ALATHAMPADI,Saline
968,TN,TIRUVARUR,EDAIYUR,Saline
969,TN,TIRUVARUR,MUTHUPET,Saline
970,TN,TIRUVARUR,THIRUTHURAIPOONDI,Saline
971,TN,TIRUVARUR,KOOTHANALLUR,Semi-critical
972,TN,TIRUVARUR,SANNANALLUR,Semi-critical
973,TN,TIRUVARUR,NANNILAM,Semi-critical
974,TN,TIRUVARUR,ULLIKOTTAI,Safe
