,STATE,DISTRICT,BLOCK,CATEGORY
1018,TN,VELLORE,PALLUR,Critical
1019,TN,VELLORE,PUDURNADU,Critical
1020,TN,VELLORE,MAMBAKKAM,Critical
1021,TN,VELLORE,USSOOR,Critical
1022,TN,VELLORE,AMBALUR,Critical
1023,TN,VELLORE,ANDIYAPPANUR,Over-exploited
1024,TN,VELLORE,ALANGAYAM,Over-exploited
1025,TN,VELLORE,PENNATHUR,Over-exploited
1026,TN,VELLORE,KALAVAI,Over-exploited
1027,TN,VELLORE,PERNAMPATTU,Over-exploited
1028,TN,VELLORE,NEMILI,Over-exploited
1029,TN,VELLORE,PUDUPADI,Over-exploited
1030,TN,VELLORE,MELPATTI,Over-exploited
1031,TN,VELLORE,AGARAM,Over-exploited
1032,TN,VELLORE,KANDHILI,Over-exploited
1033,TN,VELLORE,KATPADI,Over-exploited
1034,TN,VELLORE,KORATTI,Over-exploited
1035,TN,VELLORE,TIMIRI,Over-exploited
1036,TN,VELLORE,MADHANUR,Over-exploited
1037,TN,VELLORE,AMBUR,Over-exploited
1038,TN,VELLORE,GUDIYATHAM (WEST),Over-exploited
1039,TN,VELLORE,ODUGATHUR,Over-exploited
1040,TN,VELLORE,PALLIKONDA,Over-exploited
1041,TN,VELLORE,AMMANANKOIL,Over-exploited
1042,TN,VELLORE,TIRUPATHUR,Over-exploited
1043,TN,VELLORE,ARCOT,Over-exploited
1044,TN,VELLORE,VALATHUR,Over-exploited
1045,TN,VELLORE,WALAJAH,Over-exploited
1046,TN,VELLORE,SATHUVACHARI,Over-exploited
1047,TN,VELLORE,VANIYAMBADI,Over-exploited
1048,TN,VELLORE,VADUGANTHANGAL,Over-exploited
1049,TN,VELLORE,GUDIYATHAM(EAST),Over-exploited
1050,TN,VELLORE,VELLORE,Over-exploited
1051,TN,VELLORE,ANAICUT,Over-exploited
1052,TN,VELLORE,MELASANNANKUPPAM,Over-exploited
1053,TN,VELLORE,THUTHIPATTU,Over-exploited
1054,TN,VELLORE,K.V.KUPPAM,Over-exploited
1055,TN,VELLORE,NATRAMPALLI,Over-exploited
1056,TN,VELLORE,SHOLINGHUR,Safe
1057,TN,VELLORE,ARAKONAM(NORTH),Safe
1058,TN,VELLORE,BANAVARAM,Safe
1059,TN,VELLORE,MELPADI,Safe
1060,TN,VELLORE,PANAPAKKAM,Semi-critical
1061,TN,VELLORE,VELAM,Semi-critical
1062,TN,VELLORE,PARANJI,Semi-critical
1063,TN,VELLORE,VISHARAM,Semi-critical
1064,TN,VELLORE,RANIPET,Semi-critical
1065,TN,VELLORE,THIRUVALAM,Semi-critical
1066,TN,VELLORE,KAVERIPAKKAM,Semi-critical
1067,TN,VELLORE,KANIYAMBADI,Semi-critical
1068,TN,VELLORE,ARAKONAM(SOUTH),Semi-critical
1069,TN,VELLORE,JOLARPET,Semi-critical
