,STATE,DISTRICT,BLOCK,CATEGORY
1127,TN,Virudhunagar,MANGALAM,Critical
1128,TN,Virudhunagar,SRIVILLIPUTTUR,Critical
1129,TN,Virudhunagar,SALWARPATTI,Critical
1130,TN,Virudhunagar,ALANGULAM,Critical
1131,TN,Virudhunagar,ONDIPULINAICKANUR,Critical
1132,TN,Virudhunagar,AMATHUR,Critical
1133,TN,Virudhunagar,VATCHAKARA-PATTI,Over-exploited
1134,TN,Virudhunagar,MALLANKINAR,Over-exploited
1135,TN,Virudhunagar,PILLAIYARKULAM,Over-exploited
1136,TN,Virudhunagar,RAJAPALAYAM,Over-exploited
1137,TN,Virudhunagar,VEMBAKOTTAI,Over-exploited
1138,TN,Virudhunagar,NATHAMPATTI,Over-exploited
1139,TN,Virudhunagar,KEELARAJAKULARAMAN,Over-exploited
1140,TN,Virudhunagar,CHOLAPURAM,Over-exploited
1141,TN,Virudhunagar,NARIKUDI,Safe
1142,TN,Virudhunagar,MUDUKKAN-KULAM,Safe
1143,TN,Virudhunagar,A.MUKKULAM,Safe
1144,TN,Virudhunagar,ARUPPUKOTTAI,Safe
1145,TN,Virudhunagar,PANDALKUDI,Safe
1146,TN,Virudhunagar,VEERACHOLAN,Safe
1147,TN,Virudhunagar,KARIAPATTI,Safe
1148,TN,Virudhunagar,THIRUCHULI,Safe
1149,TN,Virudhunagar,THIRUTHANGAL,Safe
1150,TN,Virudhunagar,PARALATCHI,Safe
1151,TN,Virudhunagar,PADANTHAL,Safe
1152,TN,Virudhunagar,MANDAPASALAI,Safe
1153,TN,Virudhunagar,NENMENI,Safe
1154,TN,Virudhunagar,SATTUR,Safe
1155,TN,Virudhunagar,KALKURUCHI,Safe
1156,TN,Virudhunagar,VIRUDHUNAGAR,Safe
1157,TN,Virudhunagar,SEITHUR,Safe
1158,TN,Virudhunagar,NALLI,Safe
1159,TN,Virudhunagar,MALLI,Semi-critical
1160,TN,Virudhunagar,IYANKOLLANKONDAN,Semi-critical
1161,TN,Virudhunagar,SIVAKASI,Semi-critical
1162,TN,Virudhunagar,KOTTAIYUR,Semi-critical
1163,TN,Virudhunagar,WATRAP,Semi-critical
1164,TN,Virudhunagar,ELAYIRAM- PANNAI,Semi-critical
