"|","|__0","|__1","|__2","|__3","|__4","|__5","|__6","|__7","|__8","|__9","|__10","|__11","|__12","|__13","|__14","|__15","|__16","|__17","|__18","|__19","|__20","|__21","|__22","|__23","|__24","|__25","|__26","|__27","|__28","|__29","|__30","|__31","|__32","|__33","|__34","|__35","|__36","|__37","|__38","|__39","|__40","|__41","|__42","|__43","|__44","|__45","|__46","|__47","|__48","|__49","|__50","|__51","|__52","|__53","|__54","|__55","|__56","|__57","|__58","|__59","|__60","|__61","|__62","|__63","|__64","|__65","|__66","|__67","|__68","|__69","|__70","|__71","|__72","|__73","|__74","|__75","|__76","|__77","|__78","|__79","|__80","|__81","|__82","|__83","|__84","|__85","|__86","|__87","|__88","|__89","|__90","|__91"
"Date","1996-02-29","1996-05-31","1996-08-31","1996-11-30","1997-02-28","1997-05-31","1997-08-31","1997-11-30","1998-02-28","1998-05-31","1998-08-31","1998-11-30","1999-02-28","1999-05-31","1999-08-31","1999-11-30","2000-02-29","2000-05-31","2000-08-31","2000-11-30","2001-02-28","2001-05-31","2001-08-31","2001-11-30","2002-02-28","2002-05-31","2002-08-31","2002-11-30","2003-02-28","2003-05-31","2003-08-31","2003-11-30","2004-02-29","2004-05-31","2004-08-31","2004-11-30","2005-02-28","2005-05-31","2005-08-31","2005-11-30","2006-02-28","2006-05-31","2006-08-31","2006-11-30","2007-02-28","2007-05-31","2007-08-31","2007-11-30","2008-02-29","2008-05-31","2008-08-31","2008-11-30","2009-02-28","2009-05-31","2009-08-31","2009-11-30","2010-02-28","2010-05-31","2010-08-31","2010-11-30","2011-02-28","2011-05-31","2011-08-31","2011-11-30","2012-02-29","2012-05-31","2012-08-31","2012-11-30","2013-02-28","2013-05-31","2013-08-31","2013-11-30","2014-02-28","2014-05-31","2014-08-31","2014-11-30","2015-02-28","2015-05-31","2015-08-31","2015-11-30","2016-02-29","2016-05-31","2016-08-31","2016-11-30","2017-02-28","2017-05-31","2017-08-31","2017-11-30","2018-02-28","2018-05-31","2018-08-31","2018-11-30"
"Season","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH"
"MS","6.185140337","8.234369919","4.928105727","4.564937965","5.804023179","7.951108968","5.491316501","5.232803095","5.387545376","7.498281092","4.164264317","3.823367521","4.862804142","7.092184644","4.595903716","3.955547886","5.382460118","7.341944709","3.952742074","5.211649485","6.267460595","8.297494802","4.604157003","4.858859416","6.080478771","8.128644252","4.691361974","5.521727192","6.773595004","9.061659483","5.112718447","6.264391667","7.616389351","9.543996764","5.974444444","6.257777778","7.289393429","9.450501645","4.921789298","5.344084859","6.780549542","8.330558899","4.496515798","4.706396934","5.991341795","8.387627986","4.681492411","5.050041667","6.393977567","8.544101921","5.290285714","5.629487825","6.724081633","8.574883204","5.090046773","5.222525822","6.461584158","9.49899274","3.946632935","4.46224548","5.225789474","7.680556793","4.304328794","4.732497704","6.217122558","8.374523549","6.543224","5.543891892","7.009478918","8.760653153","4.08919862","4.677197683","5.98984543","7.608664688","5.140889507","5.808184264","6.657176849","8.454271544","6.348068834","6.289160494","8.877508143","10.11461586","5.258849879","4.962908983","6.513506187","9.202993939","5.660906307","5.653472305","7.091762221","10.40858974","6.1225","7.02839779"
"DD","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","4.26","5.05","2.99","2.825","3.604444444","5.712","1.75","3.364","3.96","5.033333333","1.05","3.863636364","3.71","5.398888889","2.317","3.126","3.862","5.04625","1.373333333","2.511111111","3.587","6.048888889","2.344545455","3.595454545","4.389090909","5.097272727","2.537","3.82","4.691818182","5.373","2.537","3.601111111","4.480909091","6.615714286","2.942222222","2.651111111","5.558181818","7.17875","2.8","4.065454545","4.080909091","9.485454545","2.467272727","3.29","6.05","7.176363636","2.390833333","3.970909091","4.787","6.393636364","2.901818182","4.322727273","4.666363636","6.3936","2.57625","2.255"
"KL","6.237759563","7.072541436","4.76681736","5.221898734","5.961730419","6.816605505","4.185890909","4.678163636","5.768390597","6.771775701","4.231045872","4.782763636","5.810783242","6.703694853","4.68060219","5.392237443","6.485098336","7.224109397","4.383520924","6.003903448","6.54099162","7.231612403","5.054165457","5.335877061","6.352033133","7.060793651","5.116145251","4.975671642","6.768986384","7.301579755","5.221343931","5.684917788","6.58378882","7.630630915","5.396321321","5.675301915","6.624709389","7.087862715","5.337866044","5.460824916","6.385279879","7.109952456","5.143975155","4.983422619","6.477291362","7.592670623","4.941335357","5.456966127","6.561720117","6.697529412","5.483859911","5.791961652","6.674546805","7.608515625","5.361664122","5.540540123","6.495126582","6.909762309","5.019024","5.116433225","6.295023041","6.997184466","4.789812287","5.427661017","6.451993569","7.375285962","4.789812","6.014737533","6.86858854","7.892845","5.242484342","5.620222017","6.720686275","7.412185749","4.742849817","5.673734043","6.484379661","7.082769432","5.286594488","5.44884715","6.355010417","7.500806335","5.732792208","6.321094063","7.272879277","7.950761905","5.114606299","5.761245902","6.759532279","8.91953125","6.3966","5.845433225"
"UK","5.87","6.4","5.22","4.58","5.2","6.39","4.95","6.07","6.32","6.56","6.35","4.6","5.53","9.02","7.3","5.77","6.08","7.33","4.2","5.85","5.94","7.57","5.05","6.05","5.85","7.19","4.2","5.85","5.53","9.02","7.3","5.77","5.53","9.02","7.3","5.77","7.223636364","13.20549296","10.13041667","10.42380282","11.57075758","12.97873016","8.291818182","9.168387097","10.08784615","12.86013889","9.463611111","8.12","9.415846154","11.0357377","6.323650794","7.664032258","8.733387097","10.44295082","9.253333333","8.844137931","9.093275862","11.36482143","7.0195","7.539830508","8.28","9.3","6.512881356","8.144642857","8.2004","11.6998","6.652727","9.262241379","10.62607143","12.43084746","6.752727273","7.464347826","8.465862069","12.19133333","9.57","7.705","8.215","10.5831746","9.033076923","5.542051282","7.62","9.316862745","7.291842105","7.81490566","9.672608696","9.305714286","6.858541667","8.277627119","6.288095238","16.35689655","19.88666667","10.50803922"
"AP","5.641587079","7.418521008","5.312447761","3.452762186","3.861293103","6.218089552","5.974752322","4.577874618","4.806","6.863292469","4.859647651","3.585233333","4.997112211","6.64771836","6.693187184","5.735181347","6.279677996","7.103636364","4.811056338","4.508247078","5.128401361","7.030867347","7.060873288","3.72548552","4.336376068","6.758780919","6.72501773","6.036690647","6.721592593","9.009981718","7.399317343","5.953675373","6.57456979","8.1775","7.899741602","6.104512922","11.17750992","12.94001988","9.942572864","6.003846939","7.235695793","8.833139785","7.782194323","7.509320175","9.351101322","10.77966518","7.72374289","5.854680135","7.211046771","8.746308571","6.604837262","6.009117647","7.126681818","6.28760095","6.13993135","4.856981567","5.267488479","5.752313625","4.319778325","2.987241379","3.447759036","5.515582418","4.437624703","4.251062802","4.773576642","6.756389549","5.067","4.452242798","5.150725389","6.486548295","5.28","3.371149111","4.100594406","5.714080664","5.159801865","4.559420935","4.839920455","6.386644144","5.498805461","4.741743227","4.345811088","6.770254042","5.377863741","4.802332928","6.012352273","7.768647059","6.146358244","4.295238663","5.034976077","6.516","6.549130435","5.745341463"
"KA","7.702217742","8.682528902","6.386348168","5.555011792","6.517652695","8.615242588","6.775954606","5.707362356","6.181925546","7.676049005","5.609123783","4.881553738","6.388846154","7.390947752","6.697613504","5.76263965","6.701685912","8.870742925","6.297808057","5.7421","6.908279678","8.742877193","7.418539604","6.457037037","6.917493857","9.372166065","8.395230415","7.984120941","8.939048193","8.299445629","6.518275229","6.523918033","9.844743935","10.93885042","8.360526316","8.290141509","9.159117998","10.57496021","8.114341801","6.551422594","7.534836245","8.891583333","7.63647806","7.52510395","8.546998972","9.757417012","7.573949904","6.640160226","7.53341954","9.141453321","7.181939698","6.910753968","7.945159113","9.312714571","7.438077304","6.189203629","6.847912525","8.685987654","6.559947034","5.942130479","6.859878173","8.297812808","6.956358025","6.947076142","8.214217822","9.826663327","7.0","8.172497925","8.440605263","12.25632634","7.111392065","6.55116622","7.60749017","8.853375681","6.976949569","5.989092604","7.178765505","8.465673926","7.06350092","6.003390388","6.444014688","8.411277778","7.093046398","7.233041775","8.833755274","8.675274725","8.389780427","6.458865337","7.461089421","11.88516129","6.209459459","7.23690589"
"PY","2.32","2.98","2.08","1.68","1.38","2.39","2.14","1.28","1.45","2.62","0.98","1.96","2.81","3.15","2.57","2.31","2.77","2.35","2.2","1.8","3.13","2.55","2.4","1.05","1.4","2.76","2.3","1.59","2.17","2.74","1.91","1.51","2.01","2.5","2.0","1.84","4.995454545","8.169","7.482857143","5.437","4.536","4.766","5.888888889","6.092","5.043","5.907","5.722","5.078","4.71","5.527","5.79","2.53","4.885","6.144444444","5.787","5.45","5.126666667","5.763333333","6.334285714","6.715","10.34571429","4.693333333","7.858888889","4.077","6.869090909","5.64","9.44","1.03","6.676666667","3.378888889","13.11666667","9.56","10.65076923","13.10846154","10.470625","12.025","9.558333333","13.74666667","12.85076923","11.50153846","13.388","10.91461538","10.45285714","10.4875","10.51","11.81666667","12.698","2.271666667","11.90272727","2.453333333","8.416","2.355"
"TN","6.896779661","8.825776","8.293285714","5.883353752","5.080691244","7.293392","8.371314103","5.411493002","4.258842593","7.45433432","7.144655172","5.573719247","4.571282051","6.906692547","8.708448753","5.920044709","5.943565022","7.835338785","8.056321168","6.748719154","5.961895504","7.810614035","9.171409314","6.872876884","6.744524422","9.032480315","10.32867305","8.367595908","8.38258427","11.01372093","10.53723373","9.743549784","9.155591241","10.51787297","10.51746165","7.650665722","7.451474104","9.159375813","10.02977099","6.359255456","4.49045512","6.705811856","7.621056063","5.775291074","5.40847348","8.476023622","8.275156658","6.239046358","5.159504685","6.474403927","7.058268398","5.074846939","4.925818713","8.047782609","8.835938804","7.714579025","5.999937695","8.361994302","8.269491779","6.743545052","4.545402124","6.81829582","7.430828025","5.101672414","4.655422886","8.427220708","8.71","6.155677966","7.413172303","8.309702128","8.991641541","8.565346386","7.848304821","10.15558069","10.16063866","7.06127907","7.282362805","7.835739385","8.340355872","5.644267857","15.1525","6.964499151","8.339192246","8.792367973","9.16829582","10.51264325","10.05726592","7.791683849","7.506943973","12.43761905","8.516146497","9.122266187"
