Date,Season,Raniganj,Forbesganj,Palasi,Araria,Narpatganj,Bhargama,Jokihat,Raniganj_Trend,Raniganj_SMA,Raniganj_EWMA,Raniganj_DES,Raniganj_TES,Raniganj_ARIMA,Forbesganj_Trend,Forbesganj_SMA,Forbesganj_EWMA,Forbesganj_DES,Forbesganj_TES,Forbesganj_ARIMA,Palasi_Trend,Palasi_SMA,Palasi_EWMA,Palasi_DES,Palasi_TES,Palasi_ARIMA,Araria_Trend,Araria_SMA,Araria_EWMA,Araria_DES,Araria_TES,Araria_ARIMA,Narpatganj_Trend,Narpatganj_SMA,Narpatganj_EWMA,Narpatganj_DES,Narpatganj_TES,Narpatganj_ARIMA,Bhargama_Trend,Bhargama_SMA,Bhargama_EWMA,Bhargama_DES,Bhargama_TES,Bhargama_ARIMA,Jokihat_Trend,Jokihat_SMA,Jokihat_EWMA,Jokihat_DES,Jokihat_TES,Jokihat_ARIMA
1996-02-29,POMRB,7.01,2.58,2.53,4.44,2.425,2.855,2.39,,,7.01,6.6790707087171235,6.3515225943477285,0.0,,,2.58,2.176905809363072,2.3402993660875704,0.0,,,2.53,3.0791248700293,2.5363930728337007,0.0,,,4.44,4.905226788240345,4.232887669398131,0.0,,,2.425,3.5372535971250056,2.434999667221417,0.0,,,2.855,2.2310394444000208,2.8649999999999998,0.0,,,2.39,2.9033922324210133,2.079263506552924,0.0
1996-05-31,PREMON,7.74,2.86,2.8433333333333333,4.7,3.1,3.4666666666666663,2.67,,,7.302,6.7789659907376505,7.755170111113612,7.009986215753589,,,2.692,2.1703801504457374,2.50722652351203,0.0,,,2.655333333333333,3.34700981055065,2.8186458316952088,5.6713204106824287e-08,,,4.5440000000000005,5.124594882681922,4.785126966239545,1.1603727021522316,,,2.6950000000000003,4.118084330771396,3.119445457653458,0.0,,,3.099666666666667,2.3547802786604994,3.486112650046168,1.354064067717732e-21,,,2.502,3.1625186017809663,3.028474750078639,-5.589703934868814e-23
1996-08-31,MONSOON,3.9,1.44,1.5466666666666669,3.26,1.5333333333333332,0.995,1.12,5.973750000000001,,5.9412,5.957232742432095,5.667183240476961,7.401769832244881,2.0437499999999997,,2.1912,1.9640969264346237,1.5690515365760564,0.0,2.3525,,2.2118666666666664,3.0687074636413008,1.5544592081262385,8.625573276422363e-08,3.92625,,4.0304,4.907171010755886,2.852732964906706,1.408398153458468,2.2645833333333334,,2.2303333333333333,3.5325263590321616,1.5616735752240964,0.0,2.3891666666666667,,2.2578,1.9002356806136314,1.0233409427490585,1.5767290773275973e-21,1.794375,,1.9491999999999998,2.9409621163965958,1.1601282087549973,-2.655294464716196e-22
1996-11-30,POMKH,5.83,1.51,2.49,3.41,2.0,2.24,1.18,5.913749999999999,6.119999999999999,5.89672,5.795817773971851,5.7216686947581366,5.965917540176846,1.9129166666666666,2.0974999999999997,1.91872,1.7966315182108423,1.8308849535661205,0.0,2.3525,2.3525,2.32312,3.0741468739241298,2.496376168245733,3.3825470177214894e-08,3.9275,3.9525,3.78224,4.697523389803863,3.8547846369262904,1.7718111824173874,2.2645833333333334,2.2645833333333334,2.1382,3.1166934676367526,2.0366883930549102,0.0,2.3891666666666667,2.3891666666666667,2.25068,1.828800332971531,2.2766892395957052,-7.310277007314685e-22,1.74875,1.84,1.6415199999999999,2.692888211381052,1.2096425246836227,-4.42375118821769e-22
1997-02-28,POMRB,5.84,2.15,2.53,4.23,2.425,2.855,2.025,6.1275,5.827499999999999,5.874032,5.677973589565429,5.997513377417052,6.110863799841729,1.8245833333333332,1.9899999999999998,2.011232,1.7507765321394888,2.495877644404786,2.579999806862744,2.3525,2.3525,2.4058719999999996,3.0515961457886247,2.5488382940251446,2.529999967971167,3.8987499999999997,3.8999999999999995,3.961344,4.6840539600729505,4.24626835741261,4.3583221642823,2.2645833333333334,2.2645833333333334,2.2529199999999996,2.914793156208299,2.4605488331385788,2.425,2.3891666666666667,2.3891666666666667,2.492408,1.9457785590494918,2.8994955201551433,2.85499967765416,1.7487499999999998,1.7487499999999998,1.794912,2.644683457685335,2.1980730650923452,2.3899998595863847
1997-05-31,PREMON,8.43,2.2433333333333336,2.8433333333333333,4.92,3.1,3.4666666666666663,2.67,6.276249999999999,5.999999999999998,6.8964191999999995,6.194641579086608,7.116714256816973,6.241946435337476,1.835,1.8358333333333334,2.1040725333333334,1.734915793211675,2.6271831854619405,2.859999785902111,2.3525,2.3525,2.580856533333333,3.1053994871433193,2.8223519027713992,2.84333324201593,3.90625,3.954999999999999,4.3448063999999995,4.831933853969303,4.763121525352698,4.558676826353164,2.2645833333333334,2.2645833333333334,2.5917519999999996,3.064405791833811,3.1348658780672656,3.0999999999999996,2.389166666666666,2.3891666666666667,2.8821114666666667,2.232914329459788,3.518434409622843,3.466666275260159,1.74875,1.7487499999999998,2.1449472,2.7471199256622976,2.9352997519116784,2.6699998431362535
1997-08-31,MONSOON,4.92,1.35,1.5466666666666669,2.81,1.5333333333333332,0.995,1.12,6.39875,6.254999999999999,6.10585152,5.7602161355118495,5.4918144803932005,5.799944688412878,1.8704166666666666,1.8133333333333335,1.80244352,1.596905572296605,1.4322550454798786,1.4399998922024615,2.3525,2.3525,2.1671805866666665,2.695803690365939,1.555562841606989,1.5466666191076903,3.96375,3.842499999999999,3.7308838399999997,4.4142614328453655,2.8690640342024376,3.269778676092751,2.330208333333333,2.2645833333333334,2.1683845333333327,2.394346310872053,1.5679486404794236,1.533333333333333,2.3891666666666667,2.3891666666666667,2.12726688,1.890343328518355,1.053513871341118,0.9949998876588053,1.74875,1.7487499999999996,1.7349683200000001,2.427244282256902,1.1677945291402303,1.1199999341994773
1997-11-30,POMKH,6.0,1.6833333333333331,2.49,3.92,2.0,2.24,1.18,6.13875,6.297499999999999,6.063510912,5.688805041749716,5.962994131809272,6.095103648904795,1.8199999999999998,1.856666666666667,1.7547994453333333,1.5295002851883144,1.6348539884253255,1.5099998869623035,2.3525,2.3525,2.296308352,2.62826091336251,2.49670482002359,2.4900000047623796,3.8925,3.969999999999999,3.806530304,4.296601140792507,3.797243376966525,3.2686676000897408,2.433333333333333,2.2645833333333334,2.10103072,2.105583739359958,2.034771158558979,2.0,2.3891666666666667,2.3891666666666667,2.1723601280000002,1.9009073701922787,2.304742906717368,2.23999974709118,1.8225,1.7487499999999998,1.512980992,2.135315768619882,1.2206303043006996,1.1799999306744493
1998-02-28,POMRB,6.65,2.26,2.53,4.18,2.95,2.855,2.025,5.925000000000001,6.499999999999999,6.2981065472,5.787322500482021,6.21397544450205,6.223961688966194,1.7558333333333331,1.8841666666666668,1.9568796672,1.564553292276634,2.3380501921035126,2.280054678564577,2.3525,2.3525,2.3897850112,2.5825140008008263,2.548936163462295,2.5300001014457836,3.8328124999999997,3.9574999999999987,3.9559181823999996,4.253446536434033,4.278632307406576,4.3818984119432915,2.4691666666666667,2.395833333333333,2.440618432,2.385672408729568,2.459364805535194,2.425,2.3891666666666667,2.3891666666666667,2.4454160768,2.081423513285092,2.92546380909617,2.855,1.8962499999999998,1.7487499999999998,1.7177885952,2.0786829041527493,2.1636270823861925,2.1477161984795905
1998-05-31,PREMON,5.54,1.73,2.8433333333333333,4.4,3.4,3.4666666666666663,3.26,5.97625,5.777499999999999,5.99486392832,5.60164019324398,7.540078010382336,7.1434568937013365,1.7066666666666666,1.7558333333333334,1.8661278003200001,1.5261064879329616,2.490315862110235,2.4298458758749875,2.3525,2.3525,2.571204340053333,2.649289956722815,2.822381047374681,2.843333377352278,3.8118749999999997,3.8274999999999992,4.13355090944,4.272153626536424,4.782438058820026,4.728289380214821,2.4675,2.470833333333333,2.8243710591999998,2.881164225785311,3.163057978879317,3.1,2.389166666666666,2.3891666666666667,2.8539163127466667,2.421216366353765,3.542355196216963,3.4666666666666663,1.89625,1.8962499999999998,2.33467315712,2.348261808495269,2.8716397749586435,2.669999904235877
