Date,Season,Ghosawari,Dulhin Bazar,Athmalgola,Patna Sadar,Bakhtiarpur,Naubatpur,Barh,Sampatchak,Paliganj,Fathua,Danapur/khagaul,Masaurhi,Bikram,Maner,Phulwarisharif,Daniwan,Bihta,Ghosawari_Trend,Ghosawari_SMA,Ghosawari_EWMA,Ghosawari_DES,Ghosawari_TES,Ghosawari_ARIMA,Dulhin Bazar_Trend,Dulhin Bazar_SMA,Dulhin Bazar_EWMA,Dulhin Bazar_DES,Dulhin Bazar_TES,Dulhin Bazar_ARIMA,Athmalgola_Trend,Athmalgola_SMA,Athmalgola_EWMA,Athmalgola_DES,Athmalgola_TES,Athmalgola_ARIMA,Patna Sadar_Trend,Patna Sadar_SMA,Patna Sadar_EWMA,Patna Sadar_DES,Patna Sadar_TES,Patna Sadar_ARIMA,Bakhtiarpur_Trend,Bakhtiarpur_SMA,Bakhtiarpur_EWMA,Bakhtiarpur_DES,Bakhtiarpur_TES,Bakhtiarpur_ARIMA,Naubatpur_Trend,Naubatpur_SMA,Naubatpur_EWMA,Naubatpur_DES,Naubatpur_TES,Naubatpur_ARIMA,Barh_Trend,Barh_SMA,Barh_EWMA,Barh_DES,Barh_TES,Barh_ARIMA,Sampatchak_Trend,Sampatchak_SMA,Sampatchak_EWMA,Sampatchak_DES,Sampatchak_TES,Sampatchak_ARIMA,Paliganj_Trend,Paliganj_SMA,Paliganj_EWMA,Paliganj_DES,Paliganj_TES,Paliganj_ARIMA,Fathua_Trend,Fathua_SMA,Fathua_EWMA,Fathua_DES,Fathua_TES,Fathua_ARIMA,Danapur/khagaul_Trend,Danapur/khagaul_SMA,Danapur/khagaul_EWMA,Danapur/khagaul_DES,Danapur/khagaul_TES,Danapur/khagaul_ARIMA,Masaurhi_Trend,Masaurhi_SMA,Masaurhi_EWMA,Masaurhi_DES,Masaurhi_TES,Masaurhi_ARIMA,Bikram_Trend,Bikram_SMA,Bikram_EWMA,Bikram_DES,Bikram_TES,Bikram_ARIMA,Maner_Trend,Maner_SMA,Maner_EWMA,Maner_DES,Maner_TES,Maner_ARIMA,Phulwarisharif_Trend,Phulwarisharif_SMA,Phulwarisharif_EWMA,Phulwarisharif_DES,Phulwarisharif_TES,Phulwarisharif_ARIMA,Daniwan_Trend,Daniwan_SMA,Daniwan_EWMA,Daniwan_DES,Daniwan_TES,Daniwan_ARIMA,Bihta_Trend,Bihta_SMA,Bihta_EWMA,Bihta_DES,Bihta_TES,Bihta_ARIMA
1996-02-29,POMRB,2.73,1.995,5.126666666666666,2.565,8.38,5.2075000000000005,6.28,4.26,1.23,2.73,5.584,3.44,3.6873333333333336,1.67,6.2187,6.63,5.422000000000001,,,2.73,3.7621457489878543,3.397365119985397,0.0,,,1.995,2.5293887528862906,2.2366353483854784,0.0,,,5.126666666666666,11.342253923273255,5.113354965075177,0.0,,,2.565,2.2792096997158624,2.546319927721136,0.0,,,8.38,7.096312807977995,8.352775787791453,0.0,,,5.2075000000000005,3.8837214698873783,5.224602636536288,0.0,,,6.28,6.14004024246508,5.897946629110437,0.0,,,4.26,9.056434724398295,4.030996108877558,0.0,,,1.23,6.7320292138114235,1.2399999999999998,0.0,,,2.73,2.677260360269083,2.698477292280683,0.0,,,5.584,8.883868895822568,5.564752274415551,0.0,,,3.44,2.6559019590362736,3.262222058366433,0.0,,,3.6873333333333336,6.383718392519019,3.6727630653651033,0.0,,,1.67,5.965628759975311,1.9617338553470949,0.0,,,6.2187,7.550685274596334,6.275672611787402,0.0,,,6.63,6.416595118080355,6.18480801877252,0.0,,,5.422000000000001,5.8191420062728465,5.419590097448327,0.0
1996-05-31,PREMON,3.3,4.29,8.709999999999999,3.45,8.3,7.067,6.58,7.275,4.23,3.3,7.539999999999999,4.18,5.248666666666667,4.18,6.979199999999999,5.66,5.656000000000001,,,2.958,4.311011153329531,5.506901257518357,2.729987567119,,,2.9130000000000003,2.542807042455573,3.641150871278664,1.9949980816654638,,,6.56,15.455716244736779,8.740373380669599,1.0163080891691442e-07,,,2.919,2.646439281786301,2.9596239803329123,2.5649965186235772,,,8.348,7.088009257911612,9.013048363187915,-2.3410451872440594e-09,,,5.951300000000001,4.386957809472629,7.071988562899875,6.069100958071084e-07,,,6.4,6.242771728117857,7.587093536637679,6.279981495017027,,,5.465999999999999,12.159413854454968,6.1296647750893625,4.2599880113406625,,,2.43,9.227197101256223,4.248836565096953,1.2299986079164171,,,2.958,2.6986946792802002,3.402540873603035,2.7299971661995937,,,6.3664,10.703990434205839,7.565312906012435,-1.103261520714224e-06,,,3.7359999999999998,2.7785507480256655,4.6151995665099514,2.1589244000940213,,,4.311866666666667,7.952015108052574,5.24191531931736,7.623337162836549e-07,,,2.674,9.617615861756876,4.222100420279875,1.6699966753709898,,,6.5229,8.19941805151888,6.936936223710521,5.651662254139779e-22,,,6.242,6.262488112939084,6.809500225972216,1.7866476395031106,,,5.515600000000001,5.996568040350182,5.699561740092679,0.0
1996-08-31,MONSOON,2.325,1.915,0.81,0.8400000000000001,2.35,5.7650000000000015,2.46,0.28,0.76,2.02,3.265000000000001,2.175,2.6644444444444444,0.87,5.3157999999999985,0.81,6.330000000000001,3.3075,,2.7048000000000005,4.342967864787605,2.0572143303790904,3.0640630321104476,2.424375,,2.5138,2.545364450680028,1.6217544031716968,3.436787145162482,5.265416666666667,,4.26,11.672029205611173,0.7649426152362926,7.220265488296595e-07,2.3600000000000003,,2.0874,2.249251871307963,1.645133224592945,3.156328754844999,6.775,,5.9488,7.078189266839267,2.429640517113615,-4.17901864643146e-09,5.441625000000001,,5.876780000000001,4.543624001165268,5.776589445400618,1.1672721804176246e-06,5.026249999999999,,4.824,5.734120829798927,2.5253492587744972,6.467245154580088,3.5612500000000002,,3.3915999999999995,7.551514551437988,3.075337087399393,6.1728254913288065,1.8625,,1.762,4.422548837090372,0.7865342500441221,2.9138238519276305,3.07375,,2.5828,2.516077149072129,2.0825666652040136,3.070515055297425,5.192875000000001,,5.12584,9.202605524792798,3.188847460514944,-8.370512009416508e-07,2.8899999999999997,,3.1115999999999997,2.443473367022552,1.7993837583996624,3.0430490961151486,3.422861111111111,,3.6528977777777776,7.280904495163292,2.65369083900288,1.0851297191416452e-06,2.15375,,1.9524,7.176965492043875,0.505986441815736,3.000434532521646,5.416206249999999,,6.040059999999999,8.043260730662968,5.333928773125286,-4.224108242000668e-21,4.6762500000000005,,4.0691999999999995,5.80596386782297,0.6403887096124246,1.8196742714707246,5.6485,,5.841360000000001,6.34074787437558,6.246376078346593,0.0
1996-11-30,POMKH,5.0,1.495,6.415000000000001,2.3000000000000003,7.81,3.727,4.65,1.99,1.22,4.37,4.3825,2.285,2.0909999999999997,1.53,3.151125,6.12,5.186,4.04875,3.33875,3.6228800000000003,5.231200776143241,3.334195496992878,2.664560584954033,2.379375,2.42375,2.10628,2.545981357496207,2.15173658669904,2.246717519203836,5.265416666666667,5.265416666666667,5.122,10.935946277454597,6.46898346763364,1.01289613802246e-06,2.26875,2.2887500000000003,2.17244,2.3242843610439707,2.052909405207596,1.700265770271801,7.1775,6.71,6.69328,7.069786241619373,6.993651038994596,-4.940519073145003e-09,5.441625,5.441625,5.0168680000000005,4.164756898692941,3.646865841540658,9.186543275771577e-07,5.16625,4.9925,4.7544,5.558861806014243,4.367398212523532,4.4772779273087595,3.701875,3.45125,2.8309599999999993,4.744975069557634,2.87572801107302,2.664681220699786,1.7974999999999999,1.86,1.5452,1.9470509254925383,1.2531276440545354,1.7226608625199478,3.095833333333333,3.1049999999999995,3.2976800000000006,2.7486720101778466,4.117240696100963,2.514524337301755,5.192875,5.192875,4.828504000000001,7.972402776102411,4.332127447737332,9.359047217396046e-07,2.8449999999999998,3.0199999999999996,2.78096,2.2157634607504844,2.487004735431004,2.988930893615218,3.4228611111111107,3.422861111111111,3.028138666666666,5.8807679969012945,2.146418895251661,1.6943483524678455e-07,2.33,2.0625,1.78344,4.7073408205473,1.1253382254505784,2.1549687874831287,5.416206249999999,5.416206249999999,4.884485999999999,6.995470400314274,3.0562982427375784,-1.5908573156117441e-21,4.785,4.805,4.88952,5.709473526525578,5.131527516867857,1.700933225184691,5.6485,5.6485,5.579216000000001,6.211956637969933,5.215265918184657,0.0
1997-02-28,POMRB,2.48,2.0,5.126666666666666,3.135,8.9,5.2075000000000005,6.55,5.14,1.25,2.48,5.584,2.4,3.6873333333333336,2.4,6.2187,5.6,5.422000000000001,4.944375000000001,3.27625,3.165728,5.030996296186152,3.233441389360585,2.987150784945844,2.2050000000000005,2.425,2.063768,2.548885158166977,2.320862150833915,1.9705045291757548,5.265416666666667,5.265416666666667,5.123866666666666,8.891609979784123,5.104938376063086,5.126665234433833,2.125,2.4312500000000004,2.557464,2.5990813323962967,2.9188768244753955,2.3774742410051855,7.55125,6.84,7.5759680000000005,7.061675675976107,8.360647450360894,8.161890749172098,5.441625,5.441625,5.0931208,4.269743114006358,5.239020540687623,5.207497563969696,5.32,5.06,5.47264,5.669758574939828,5.79961271212373,5.772097792132284,3.905,3.67125,3.7545759999999992,4.848334312019012,3.293507244720557,3.6691432390390384,1.7175,1.8650000000000002,1.42712,1.0476913304917326,1.2655020365452427,1.28435590595634,3.2079166666666667,3.0424999999999995,2.9706080000000004,2.6583276662747677,2.8155093687985926,2.9750072772583884,5.192875,5.192875,5.1307024000000006,7.303934971815443,5.612429965037862,5.583998185551634,2.745625,2.76,2.628576,2.0818098214532292,3.3820643219790236,3.196246980470155,3.422861111111111,3.422861111111111,3.291816533333333,5.275053281244894,3.6976254444007517,3.687332366552061,2.3937500000000003,2.245,2.030064,3.3794037566436548,2.263506101583059,1.565445882425678,5.416206249999999,5.41620625,5.418171599999999,6.977846178642988,6.29602116472945,6.218696912244353,5.04625,4.5475,5.173712,5.588808469295899,6.470740817553628,6.4156196870485385,5.6485,5.6485,5.516329600000001,6.123803007471019,5.42510656546454,3.8240678304138633
1997-05-31,PREMON,9.48,3.925,8.709999999999999,2.15,11.0,7.067,7.43,7.52,3.69,3.7266666666666666,7.539999999999999,4.86,5.248666666666667,4.86,6.979199999999999,7.56,5.656000000000001,5.005625,4.82125,5.6914368,7.346456666769138,4.933056472982871,3.2222626156137344,2.0954166666666665,2.33375,2.8082608000000002,2.5605764689523913,3.701384662822816,3.7647891913294953,5.265416666666666,5.265416666666667,6.55832,9.198774997193942,8.734682650493227,8.709997811158605,2.1025,2.10625,2.3944784,2.5537022041558264,3.4504902950174534,3.1898040223434667,7.46375,7.515,8.9455808,7.054116711071077,8.860504500444627,8.083972937731804,5.441625,5.441625,5.88267248,4.9311859901748845,7.083990664198926,7.066996044694943,5.39375,5.272499999999999,6.255584,5.9107811060706945,7.5775796659814825,6.346871160462409,4.22875,3.7324999999999995,5.2607456,6.753128147308411,6.009413701453205,6.4463505421071545,1.72625,1.73,2.3322719999999997,3.7760690499398133,4.269927388919938,3.9502771040600804,3.2979166666666666,3.149166666666666,3.2730314666666667,2.7895803456526695,3.3826378442374065,3.156754493327795,5.192875,5.192875,6.09442144,7.644665089038574,7.605428778874844,7.539998228733807,2.5354166666666664,2.9299999999999997,3.5211456,2.622642925403863,4.128893418985042,3.579213870528155,3.4228611111111116,3.422861111111111,4.074556586666667,5.471694437742052,5.258218215255257,5.248665221662198,2.4095833333333334,2.415,3.1620384,4.511781752604412,4.663682650183482,4.063066335829513,5.416206249999999,5.41620625,6.042582959999999,7.170235287326757,6.954328277157216,6.979196534635178,4.97375,5.0225,6.1282271999999995,5.604255946606609,6.178928543872564,5.202651684394665,5.6485,5.6485,5.572197760000001,6.087981206536336,5.703931951425307,3.989105062490006
1997-08-31,MONSOON,3.31,0.885,0.81,0.99,2.64,5.7650000000000015,2.84,1.66,0.66,2.49,3.265000000000001,0.7,2.6644444444444444,0.7,5.3157999999999985,1.0,6.330000000000001,5.34625,5.0675,4.73886208,7.1608689816248425,2.8113773980446353,3.9536351448879596,2.1338020833333333,2.07625,2.03895648,2.558361179847047,1.5532105698443972,2.081441844597622,5.265416666666667,5.265416666666667,4.258992,4.957245921829856,0.761094927070249,0.8100000852033464,1.9525,2.1437500000000003,1.8326870400000002,2.217112386139938,1.334684883708408,1.2874337216782767,7.08,7.587499999999999,6.42334848,7.044421189590678,2.5074452872183066,2.288835711150696,5.441625000000001,5.441625,5.835603488,5.185897165897817,5.786366221519105,5.764996867054642,5.32,5.367499999999999,4.8893504,5.474667692263292,2.7230985759304476,3.7248480667801434,4.339166666666666,4.077499999999999,3.82044736,3.9831209613684746,3.0944667352807045,1.9072770991137036,1.7615625,1.705,1.6633631999999998,1.6937554378017938,0.7388734044280318,0.8422630355070622,3.3912500000000003,3.266666666666666,2.95981888,2.7100429389431233,2.1618214566370235,2.4221755959535556,5.192875000000001,5.192875,4.962652864000001,5.7530783527518645,3.2226008414884695,3.2649996649357518,2.5552083333333337,2.5612499999999994,2.3926873599999996,2.092809273830002,2.031608998510727,2.2222691686763327,3.422861111111111,3.4228611111111107,3.510511729777778,4.290232603288568,2.6643810635966534,2.664443869738693,2.436979166666667,2.3725,2.17722304,2.0821593400701492,1.025408524096512,1.6855838406808097,5.416206249999999,5.41620625,5.751869775999999,6.743137390992787,5.348375961808262,5.315797360559043,4.84625,5.07,4.07693632,5.203766202748569,1.1336356567861987,1.349732594747305,5.6485,5.6485,5.875318656000001,6.2583326101767405,6.249838211551329,4.464468713854621
1997-11-30,POMKH,4.505,1.6483333333333334,6.415000000000001,1.97,6.82,3.727,4.86,3.2,1.39,4.62,4.3825,2.0783333333333336,2.0909999999999997,1.8266666666666669,3.151125,5.35,5.186,5.294375,4.94375,4.645317248,7.174260082920617,4.476040205672614,4.970976751532522,2.1723958333333337,2.114583333333333,1.8827072213333333,2.559608556486963,1.7920257668717938,1.3122916831931584,5.265416666666667,5.265416666666667,5.1213952,5.127672201905882,6.4663819202461745,6.414998091112478,1.82875,2.0612500000000002,1.8876122240000002,2.2137744039302447,2.014010193867965,1.9517701111312076,6.5287500000000005,7.339999999999999,6.5820090879999995,7.0358136020745725,7.289152393394975,7.606726342591317,5.441625,5.441625,4.9921620928,4.833659606837105,3.6546340661761714,3.726998508845064,5.215,5.419999999999998,4.87761024,5.3483888384075104,4.609095462107415,4.711243282347338,4.2370833333333335,4.379999999999999,3.5722684160000004,3.168459762506484,3.414169184467233,2.6131391479373063,1.7956249999999998,1.7475000000000003,1.5540179199999997,1.3047565899458735,1.1900367245338284,1.2468181355880539,3.45375,3.3291666666666657,3.623891328,3.001969029493085,4.436821139310978,4.102691853093055,5.192875,5.192875,4.7305917184,4.844313995554354,4.36052744618811,4.382498513915362,2.5770833333333334,2.5095833333333326,2.266945749333333,1.9776650312050708,2.0090300962814633,2.0235020258088117,3.4228611111111107,3.4228611111111107,2.9427070378666667,3.130438750483617,2.1534287481152736,2.0909996913924855,2.4035416666666665,2.4466666666666668,2.0370004906666668,1.5635316472129255,1.4196742687484902,1.882370704738145,5.416206249999999,5.41620625,4.711571865599999,5.634887996842082,3.0679181446077353,3.1511234353797395,4.82625,4.8775,4.586161792,5.100114762540132,5.847130271390979,5.9619888731265345,5.6485,5.6485,5.5995911936,6.007616281065281,5.218008661135717,3.657620023704591
1998-02-28,POMRB,5.7,2.15375,5.126666666666666,2.265,6.82,5.2075000000000005,5.75,4.8133333333333335,1.3625,2.9766666666666666,5.584,2.765,3.6873333333333336,2.3225,6.2187,5.35,5.422000000000001,4.80875,5.748749999999999,5.0671903488000005,7.427133119948372,3.5792607749670573,2.741846348606649,2.2098958333333334,2.153020833333333,1.9911243328000001,2.5631460342000594,2.1165214091232154,2.0261433100034676,5.265416666666667,5.265416666666667,5.123503786666666,4.719038249197225,5.10317938507495,5.126667535210412,1.9962499999999999,1.8437500000000004,2.0385673344,2.287955849825118,2.7660914000071637,2.442839743945832,6.11875,6.8199999999999985,6.677205452799999,7.027218658500961,8.554338315161862,8.535446572016602,5.441625,5.441625,5.078297255680001,4.925035105699068,5.24500998789761,5.207502013622424,5.2575,5.219999999999998,5.226566144,5.360932236112905,6.033666486463775,6.245090355598528,4.265208333333334,4.298333333333332,4.068694382933334,3.8660414054372976,4.088216943953402,4.734387170098707,1.838125,1.7756250000000002,1.477410752,1.1853636677906567,1.2272571446703475,1.2671865071357473,3.512916666666667,3.4533333333333323,3.3650014634666663,3.002482247436217,2.8008227928281553,2.8138667299179714,5.192875,5.192875,5.07195503104,4.821006905091011,5.63632564270751,5.583999601662572,2.5633333333333335,2.6008333333333327,2.4661674496,2.068417972339017,2.528138699558756,2.205775059803011,3.422861111111111,3.422861111111111,3.240557556053333,3.0730158895750765,3.7022219836671684,3.6873334734624583,2.3897916666666665,2.4272916666666666,2.1512002944,1.787705225076429,2.558603057936816,2.397366580874616,5.416206249999999,5.41620625,5.314423119359999,5.666167552005104,6.305009587215088,6.218700821222227,4.7787500000000005,4.8149999999999995,4.8916970752,5.005913451976641,6.130140725277235,5.57647116723261,5.6485,5.6485,5.52855471616,5.844614350969406,5.427279398931854,2.980372085443412
1998-05-31,PREMON,5.845,4.08,8.709999999999999,2.03,8.67,7.067,7.39,7.03,3.85,3.73,7.539999999999999,4.67,5.248666666666667,4.67,6.979199999999999,7.65,5.656000000000001,4.731875,4.839999999999999,5.378314209280001,7.559626513330568,6.950893125574898,7.184338377224781,2.1694791666666666,2.191770833333333,2.8266745996800005,2.575477935650064,3.6054879728517646,3.867100558890237,5.265416666666666,5.265416666666667,6.558102271999999,6.773042153880006,8.733493339350462,8.710001630997356,2.1174999999999997,1.8137500000000002,2.03514040064,2.283744437912257,2.8858782840310404,2.0573888502637803,5.9325,6.237499999999999,7.474323271679999,7.019111660807998,9.36793884162388,9.60117134949039,5.441625,5.441625,5.873778353408001,5.5515917660251315,7.088433574833492,7.067001314457959,5.26375,5.209999999999998,6.0919396864,5.6190373815114345,7.562281697488268,6.537414565730752,4.429166666666667,4.175833333333332,5.253216629760001,6.218678877435001,6.376203378660876,6.801629953874327,1.8581250000000002,1.8156250000000003,2.4264464512,4.794831333366312,4.065725259012694,3.9826136723390935,3.5091666666666668,3.4541666666666657,3.5110008780799995,3.131710144365461,3.828643601887685,3.617562315467736,5.192875,5.192875,6.059173018624,5.906081906300596,7.625534533890335,7.539999545510333,2.4797916666666664,2.553333333333333,3.34770046976,2.676630421723755,4.51132226491887,4.3331869268517105,3.4228611111111116,3.422861111111111,4.043801200298667,3.912572913669423,5.261232283253603,5.248666588406888,2.3377083333333335,2.3797916666666667,3.15872017664,4.353755697304276,4.837132251199125,4.595510750001569,5.416206249999999,5.41620625,5.980333871615999,5.979065842667482,6.960934777182737,6.979200921651495,4.6425,4.8374999999999995,5.995018245120001,5.068889466789887,6.684242777419315,6.641051811456735,5.6485,5.6485,5.579532829696001,5.773244193032696,5.705653295846155,3.1089975129597827
