Date,Season,Chehra Kalan,Sahdal Buzurg,Bidupur,Mehnar,Raja Pakar,Goraul,Mahua,Jandaha,Hajipur,Patepur,Chehra Kalan_Trend,Chehra Kalan_SMA,Chehra Kalan_EWMA,Chehra Kalan_DES,Chehra Kalan_TES,Chehra Kalan_ARIMA,Sahdal Buzurg_Trend,Sahdal Buzurg_SMA,Sahdal Buzurg_EWMA,Sahdal Buzurg_DES,Sahdal Buzurg_TES,Sahdal Buzurg_ARIMA,Bidupur_Trend,Bidupur_SMA,Bidupur_EWMA,Bidupur_DES,Bidupur_TES,Bidupur_ARIMA,Mehnar_Trend,Mehnar_SMA,Mehnar_EWMA,Mehnar_DES,Mehnar_TES,Mehnar_ARIMA,Raja Pakar_Trend,Raja Pakar_SMA,Raja Pakar_EWMA,Raja Pakar_DES,Raja Pakar_TES,Raja Pakar_ARIMA,Goraul_Trend,Goraul_SMA,Goraul_EWMA,Goraul_DES,Goraul_TES,Goraul_ARIMA,Mahua_Trend,Mahua_SMA,Mahua_EWMA,Mahua_DES,Mahua_TES,Mahua_ARIMA,Jandaha_Trend,Jandaha_SMA,Jandaha_EWMA,Jandaha_DES,Jandaha_TES,Jandaha_ARIMA,Hajipur_Trend,Hajipur_SMA,Hajipur_EWMA,Hajipur_DES,Hajipur_TES,Hajipur_ARIMA,Patepur_Trend,Patepur_SMA,Patepur_EWMA,Patepur_DES,Patepur_TES,Patepur_ARIMA
1996-02-29,POMRB,4.2556666666666665,5.0,6.13,4.8,5.206,4.975,5.78,5.204,6.13,4.58,,,4.2556666666666665,3.717082558375844,4.235850409205522,0.0,,,5.0,4.632787205922071,4.984558457941981,0.0,,,6.13,5.099855159964096,5.65128760775941,0.0,,,4.8,3.5230000960041203,4.81,0.0,,,5.206,8.149663149301416,5.178752509218096,0.0,,,4.975,3.1898921503002278,4.499782950983384,0.0,,,5.78,3.9871726887302033,5.241430783526543,0.0,,,5.204,4.952361183853968,5.192763808267417,0.0,,,6.13,6.64931051164127,5.272653581660333,0.0,,,4.58,6.865171387352605,4.624428364971502,0.0
1996-05-31,PREMON,6.076666666666666,7.0475,6.41,6.43,7.0775000000000015,5.8966666666666665,6.93,6.7875000000000005,6.41,6.05,,,4.984066666666667,4.201350047525883,6.099994995608037,4.3016010768256684e-07,,,5.819000000000001,5.077390794032353,7.125109726160192,1.5764786700425774e-06,,,6.242,5.0953052414753985,7.637759248529097,3.453535908489547,,,5.452,4.07994521583677,6.4481717451523535,4.799949214652972,,,5.954600000000001,9.742376908801907,7.154951804757884,5.536478513406205e-07,,,5.343666666666667,3.2021909750659296,6.004593111800251,4.974993475294235,,,6.24,4.135345853695759,6.319563670765679,5.779994645792764,,,5.837400000000001,5.784031225121003,6.832829302196497,3.8660518276652107,,,6.242,6.899793790702666,6.759335273547089,6.129981984332803,,,5.167999999999999,8.070573163147015,6.027976247895335,4.579994891773407
1996-08-31,MONSOON,4.333666666666667,4.9239999999999995,3.62,3.81,5.667999999999998,3.28,3.58,5.194,3.62,3.84,4.559833333333334,,4.723906666666666,4.01490162680115,4.357082420057596,7.361412870614391e-07,5.319541666666666,,5.461,4.8185720174016,4.885992573036349,2.632699334544553e-06,5.5625,,5.1932,5.0907593619112035,3.1838747841083554,5.372008128425832,4.63875,,4.7951999999999995,3.8608774010078926,3.8346001795566322,5.12106193372908,5.568708333333334,,5.83996,9.405099788027835,5.57528411608158,1.0094123634793432e-06,4.228958333333333,,4.5182,3.214537218637715,3.3842156055186314,5.571498540964904,4.90625,,5.176,4.110208525139395,4.336990503007702,6.50833245352309,5.497208333333334,,5.58004,5.724006677133818,5.125772301686808,5.081130785510917,5.5625,,5.1932,6.581262043192898,2.8000832463569445,6.289686790187376,4.67125,,4.636799999999999,7.059402987306853,3.377852264218543,5.341845515715114
1996-11-30,POMKH,3.5733333333333333,4.306666666666667,5.86,3.7,4.323333333333333,3.27,3.99,4.803333333333333,5.86,4.23,4.559833333333334,4.559833333333334,4.263677333333333,3.629742039142605,3.538964971104395,4.836850756173298e-07,5.319541666666666,5.319541666666666,4.999266666666667,4.441345476897904,4.357159651976261,1.193263423855558e-06,5.6425,5.505,5.45992,5.086217554448168,4.509162490386978,5.288308630971412,4.315,4.6850000000000005,4.35712,3.6666208326951644,3.7294002971269675,5.970375917326917,5.568708333333333,5.568708333333333,5.233309333333333,7.697455942093337,4.343327611563185,7.801855532287719e-07,4.040416666666666,4.355416666666667,4.0189200000000005,3.226931063907738,3.9183995221110663,4.2037168595998455,4.5725,5.07,4.7016,4.106168629725207,4.631538792868209,4.836132832315473,5.497208333333333,5.497208333333333,5.269357333333334,5.4443767299757555,4.8466986695675,4.613223439600844,5.6425,5.505,5.45992,6.651155449102517,4.062852902026833,5.158031982807762,4.71,4.675,4.474079999999999,6.118604871520278,4.342135615211793,4.782130408112423
1997-02-28,POMRB,4.2556666666666665,5.0,6.59,4.43,5.206,3.963333333333333,4.47,5.204,6.59,4.55,4.559833333333333,4.559833333333334,4.260473066666666,3.6410708636624833,4.253387175655426,4.255666528818037,5.319541666666667,5.319541666666666,4.999560000000001,4.4025639965421295,4.926079400721459,4.999998322740897,5.55375,5.62,5.911952,5.081679804411926,5.915322939708588,5.656240287343975,3.77875,4.5925,4.386272,3.7396442231941296,4.829551635263364,4.694664864198419,5.568708333333333,5.568708333333333,5.2223856,6.63959019036639,5.198947824490233,5.2059988900096466,3.7420833333333334,4.102499999999999,3.9966853333333336,3.239372694425084,4.433502566062746,4.532132309515816,4.29,4.7425,4.60896,4.126814535333687,5.174778405247038,5.194067485926624,5.497208333333334,5.497208333333333,5.243214399999999,5.36805306398242,5.193378405141086,5.123748507612849,5.55375,5.62,5.911952,6.8286583245702985,5.357216766510888,5.96088962976966,4.5475,4.6675,4.504447999999999,5.432503890767709,4.719604098204317,4.540329877996034
1997-05-31,PREMON,6.076666666666666,7.0475,6.59,4.21,7.0775000000000015,5.4,5.57,6.7875000000000005,6.59,6.39,4.559833333333333,4.559833333333334,4.986950506666666,4.4620920223915475,6.110994670374508,6.076665849501083,5.319541666666667,5.319541666666666,5.818736000000001,5.133819270750217,7.112439496382336,7.047496171619065,5.145,5.665,6.1831712,5.077146102844676,7.9516460151440285,6.246622286070876,3.5287499999999996,4.0375000000000005,4.3157632,3.769232313812728,6.391874247808311,5.902002962607092,5.568708333333333,5.568708333333333,5.964431360000001,6.894593326959839,7.169699549127881,7.0774977944735165,3.5739583333333336,3.978333333333332,4.5580112,3.2518622944475335,5.57400295597747,5.121437477538478,4.1475,4.4025,4.993376,4.204115967927885,5.876144050071339,5.764550018446823,5.497208333333333,5.497208333333333,5.86092864,6.034718052354363,6.833145442756778,6.635205121038229,5.145,5.665,6.1831712,6.976262859799839,6.843898462332151,6.2154088410921275,4.27,4.7525,5.258668799999999,5.989742257093955,6.106193497055519,5.291477454615812
1997-08-31,MONSOON,4.333666666666667,4.9239999999999995,2.73,1.74,5.667999999999998,1.39,2.68,5.194,2.73,2.2,4.559833333333334,4.559833333333334,4.725636970666667,4.47087679316106,4.363981801725724,4.333666105723303,5.319541666666666,5.319541666666666,5.4608416,5.067904051242859,4.883247406984539,4.923997758701232,4.7325,5.4425,4.80190272,5.072616417909593,3.4637021082193655,3.991594031921871,3.4624999999999995,3.52,3.2854579200000003,3.105992828602609,3.3689322627907763,3.9951439963744897,5.568708333333334,5.568708333333333,5.845858816,6.2408895535583975,5.586053740673795,5.667998201609526,3.4516666666666667,3.505833333333332,3.29080672,3.2644000487864546,2.93329035811799,3.614111767231585,4.04375,4.1775,4.0680256,4.1318303746166345,3.6158227632030107,4.044085976853021,5.497208333333334,5.497208333333333,5.594157184,5.835103729523049,5.125934920239121,5.180925185196008,4.7325,5.4425,4.80190272,6.379550780697765,2.884646436142166,4.358230270319676,4.17375,4.3425,4.035201279999999,4.004187218755873,3.625101152961588,4.438878214401964
1997-11-30,POMKH,3.5733333333333333,4.306666666666667,3.48,3.77,4.323333333333333,3.815,3.75,4.803333333333333,3.48,3.65,4.559833333333334,4.559833333333334,4.264715515733333,4.154345295568365,3.5432925051824236,3.5733329652575345,5.319541666666666,5.319541666666666,4.999171626666667,4.796801022081557,4.35656487691818,4.3066660746941565,4.71875,4.8475,4.273141632,5.068090779732126,4.4913975392789,5.587372821240659,3.7325,3.5375000000000005,3.4792747520000002,3.1333866431611925,2.903200612676156,3.6198269478470873,5.568708333333333,5.568708333333333,5.2368486229333335,5.026975038253523,4.351192191457368,4.323332345738906,3.214583333333333,3.642083333333332,3.500484032,3.2769861432668033,2.952526986478822,2.793957752667728,4.088749999999999,4.1175,3.94081536,4.114765640625601,3.8561801442055255,3.9736268962293178,5.497208333333333,5.497208333333333,5.277827643733334,5.45305904164216,4.846782318415124,4.781566138692055,4.71875,4.8475,4.273141632,5.923100402964317,4.147416081598816,5.5120820237314865,4.0825000000000005,4.1975,3.8811207679999993,3.4579166118347597,3.9701689731185064,4.089220582541974
1998-02-28,POMRB,4.2556666666666665,5.0,5.67,3.83,5.206,2.44,3.88,5.204,5.67,4.36,4.559833333333333,4.559833333333334,4.261095976106667,4.159350763410949,4.256101556754358,4.255666521272106,5.319541666666667,5.319541666666666,4.9995029760000005,4.805019624177166,4.925950535158124,5.000000759639514,4.83875,4.617500000000001,4.8318849792,5.063569195231343,5.296629210520769,5.554079503875629,3.9899999999999993,3.387500000000001,3.6195648512000003,3.2083647183366675,3.944609847320308,3.9362117605164593,5.568708333333333,5.568708333333333,5.2245091737600005,4.7504111808664335,5.204690978894745,5.206001087969762,3.1410416666666667,3.261249999999999,3.0762904192,3.289620764170679,3.96293877227594,4.432324393475564,4.04625,3.9699999999999998,3.916489216,4.104360035074367,4.5616475985547025,4.795197087105986,5.497208333333334,5.497208333333333,5.24829658624,5.309433614226709,5.193421433009732,5.179526666942653,4.83875,4.617500000000001,4.8318849792,5.87823279860365,5.441779920254718,5.89360217453593,3.93625,4.1499999999999995,4.0726724608,3.6015936070780517,4.280726597342882,4.121248206168633
1998-05-31,PREMON,6.076666666666666,7.0475,7.4,6.97,7.0775000000000015,5.026666666666667,6.52,6.7875000000000005,7.4,5.85,4.559833333333333,4.559833333333334,4.987324252330667,4.939424663668029,6.112697225366804,6.076666249533024,5.319541666666667,5.319541666666666,5.8187017856,5.553592628770705,7.112411576022888,7.047499493845465,4.75875,4.820000000000001,5.85913098752,5.05905165742707,7.256303007641691,5.572038401745278,3.9712499999999995,4.077500000000001,4.9597389107200005,4.27558984115253,4.9128309400516,5.041501149809218,5.568708333333333,5.568708333333333,5.965705504256001,5.798313200188662,7.173893520447096,7.077500424515967,3.1493750000000005,3.1679166666666663,3.8564409181866663,3.3023040986950543,4.806782828006743,4.591881601670432,3.858333333333333,4.2075,4.9578935296,4.230278256877417,5.270022490245832,5.42488729402164,5.497208333333333,5.497208333333333,5.863977951744,5.932253442960241,6.833167575727313,6.741083280297014,4.75875,4.820000000000001,5.85913098752,6.152867894571857,6.92846160554835,6.176534565697355,3.8375000000000004,4.014999999999999,4.78360347648,4.740832366132414,5.836083606813064,5.197678240910684
1998-08-31,MONSOON,4.333666666666667,4.9239999999999995,2.88,1.04,5.667999999999998,1.1749999999999998,1.39,5.194,2.88,1.57,4.559833333333334,4.559833333333334,4.7258612180650665,4.87315758180444,4.36504970390869,4.333666370867868,5.319541666666666,5.319541666666666,5.46082107136,5.468115083184902,4.883241357684389,4.923999387547049,4.624999999999999,4.857500000000001,4.667478592512,5.054538117008038,3.1513031835982503,3.309804339364557,4.12875,3.9025000000000003,3.391843346432,3.466305238349545,2.7632537524539593,2.564846511607648,5.568708333333334,5.568708333333333,5.8466233025536,5.7885206630398445,5.589116412193203,5.667999999999999,3.4345833333333338,3.114166666666666,2.783864550912,3.3150363344951543,2.1319428989802396,2.506224462445685,3.8516666666666666,3.885,3.5307361177599996,4.090963978700466,3.481247228021126,3.819977374148751,5.497208333333334,5.497208333333333,5.5959867710464,5.716227216782746,5.125946305148483,5.185090410216177,4.624999999999999,4.857500000000001,4.667478592512,5.592584845053549,2.9692095869608055,3.739335631123735,3.83875,3.857499999999999,3.498162085888,3.1289892942982798,2.891229477802693,3.2147939631944142
1998-11-30,POMKH,3.5733333333333333,4.306666666666667,2.69,4.32,4.323333333333333,4.096666666666667,3.536666666666666,4.803333333333333,2.69,3.49,4.559833333333334,4.559833333333334,4.264850064172373,4.4640448283570535,3.5439623308720636,3.5733331230706953,5.319541666666666,5.319541666666666,4.999159309482667,5.1500313348544875,4.356563566260545,4.306666581978406,4.665,4.660000000000001,3.8764871555072,5.050028602069465,4.296628238496436,5.182647873427531,4.3875,4.04,3.7631060078592,3.6970719031394546,3.0978324259674457,4.609901940800874,5.568708333333333,5.568708333333333,5.237307314865493,4.9782942282584175,4.353428724833909,4.323333333333333,3.6745833333333335,3.184583333333333,3.3089853972138665,3.3278176602844547,2.6128420581465455,3.1944408318988695,3.725416666666667,3.831666666666666,3.533108337322666,4.062686804123663,3.371480411115193,3.456844713038298,5.497208333333333,5.497208333333333,5.278925395961172,5.338961215982025,4.846788174662971,4.788961697083424,4.665,4.660000000000001,3.8764871555072,5.028721279042529,4.231979233103222,4.657965546903141,3.6975000000000002,3.8174999999999986,3.4948972515328,3.076033039816506,3.5179354103835587,3.4989800745986397
1999-02-28,POMRB,4.2556666666666665,5.0,5.39,4.54,5.206,4.44,4.04,5.204,5.39,4.53,4.559833333333333,4.559833333333334,4.26117670517009,4.375543149950618,4.256521694910565,4.255666552390816,5.319541666666667,5.319541666666666,4.9994955856895995,5.097691268375743,4.925950251187517,4.999999858463832,4.7775,4.590000000000002,4.48189229330432,5.045523130152012,4.9504392224181375,5.605220294378727,4.532500000000001,4.217499999999999,4.07386360471552,3.979049107429492,3.921370722109722,3.635375900168204,5.568708333333333,5.568708333333333,5.224784388919296,4.9241149975438,5.206324220172045,5.206,3.638958333333333,3.684583333333333,3.7613912383283203,3.3406482652670904,3.5434293515309436,3.8116169078961173,3.8054166666666664,3.871666666666666,3.7358650023935995,4.060487215970883,4.159179067495145,4.449067791364031,5.497208333333334,5.497208333333333,5.248955237576704,5.212109053734698,5.193424445386705,5.1848477506379655,4.7775,4.590000000000002,4.48189229330432,4.99012393067673,5.5263430625938685,5.697373186812085,3.4875000000000003,3.8599999999999985,3.90893835091968,3.747590180233955,3.9959955302310086,3.826340350323842
1999-05-31,PREMON,6.076666666666666,7.0475,8.0,8.33,7.0775000000000015,4.946666666666666,5.35,6.7875000000000005,8.0,4.55,4.559833333333333,4.559833333333334,4.987372689768721,5.064774017308765,6.112960750747839,6.076666385629827,5.319541666666667,5.319541666666666,5.8186973514137605,5.780069168090572,7.112411514497051,7.047499468604503,5.1475,4.740000000000002,5.889135375982592,5.041021696990505,6.926951084982152,5.4886384301248015,4.555000000000001,4.557499999999999,5.7763181628293125,5.459921462858049,5.74540853229362,5.926595890176345,5.568708333333333,5.568708333333333,5.965870633351578,6.097062705299633,7.175086204221814,7.0775000000000015,3.3033333333333332,3.664583333333333,4.235501409663659,3.353528339446149,5.348518390912009,5.497016345998929,3.9483333333333337,3.5791666666666666,4.38151900143616,4.125937074291109,5.037996814662204,5.734981713214678,5.497208333333333,5.497208333333333,5.864373142546023,5.856676109370888,6.833169125254457,6.7535747359965494,5.1475,4.740000000000002,5.889135375982592,5.44322682219914,7.013024744066948,6.446513218430014,3.28875,3.534999999999999,4.165363010551808,4.308776720807258,5.653562603305058,4.975609973965597
1999-08-31,MONSOON,4.333666666666667,4.9239999999999995,3.18,0.84,5.667999999999998,0.97,3.2,5.194,3.18,1.19,4.559833333333334,4.559833333333334,4.725890280527899,4.922750080906213,4.365214996266203,4.333666464033557,5.319541666666666,5.319541666666666,5.4608184108482565,5.628874915191013,4.883241344354035,4.923999741045114,5.5275,4.815000000000002,4.805481225589555,5.036524244652429,3.058369019052078,3.0631264353435634,4.6825,4.507499999999999,3.8017908976975874,4.479572862322335,2.5526570724879827,2.1494945084132357,5.568708333333334,5.568708333333333,5.846722380010946,6.109389687913035,5.589987376334394,5.667999999999998,2.816666666666667,3.6133333333333333,2.929300845798195,3.3664580734395573,2.3426087940614257,2.052098338670189,3.785,4.031666666666666,3.908911400861696,4.080248847884125,2.9649905002809858,2.7483021915616366,5.497208333333334,5.497208333333333,5.596223885527613,5.663862560555767,5.125947102204886,5.187606563768532,5.5275,4.815000000000002,4.805481225589555,5.012765783215865,3.053772730881083,3.533855366358366,2.9024999999999994,3.4399999999999986,2.9752178063310843,2.7539441801563016,2.1125427704150384,2.423948158749643
1999-11-30,POMKH,3.5733333333333333,4.306666666666667,5.35,4.7,4.323333333333333,1.6166666666666665,2.87,4.803333333333333,5.35,2.28,4.559833333333334,4.559833333333334,4.264867501650073,4.4595981131921105,3.5440660080331163,3.5733331834574313,5.319541666666666,5.319541666666666,4.99915771317562,5.251815669796984,4.3565635633723545,4.306666575303147,5.218749999999999,5.480000000000001,5.023288735353733,5.032030820698084,4.303652562660689,4.7871050163914415,4.587916666666667,4.602499999999999,4.161074538618553,4.689299656208973,3.8866723753693204,4.962573179419763,5.568708333333333,5.568708333333333,5.237366761339901,5.245393617928399,4.354064751374461,4.323333333333333,2.5454166666666667,2.993333333333333,2.4042471741455835,3.3794376588309096,2.974347625750302,3.396450242041512,3.495,3.865,3.4933468405170176,4.0177059736971135,3.5601410524703594,4.0536344928723,5.497208333333333,5.497208333333333,5.279067664649901,5.307639140246389,4.846788584658308,4.793014289486664,5.218749999999999,5.480000000000001,5.023288735353733,5.001564038115735,4.316542379281237,4.097022443441278,2.47875,3.137499999999999,2.69713068379865,2.2766719391326466,3.1403703851170026,3.107524906729013
2000-02-29,POMRB,4.2556666666666665,5.0,5.77,5.18,5.206,3.026666666666667,3.4,5.204,5.77,2.65,4.559833333333333,4.559833333333334,4.26118716765671,4.335440304037654,4.256586724860121,4.255666574064101,5.319541666666667,5.319541666666666,4.9994946279053725,5.149471396132395,4.925950250561755,4.999999879554046,4.7475,5.575000000000001,5.321973241212239,5.027541408737191,5.6323538093410495,6.224258487495705,4.642083333333334,4.762499999999999,4.568644723171131,5.004291723970014,4.512503687587851,3.883473765968504,5.568708333333333,5.568708333333333,5.2248200568039405,5.112705137620938,5.206788682187338,5.206,2.612708333333334,2.6399999999999997,2.653214971154017,3.3924672878446653,2.9443399428351924,3.0381846657554163,3.2412500000000004,3.705,3.456008104310211,3.9828353318380465,4.0886528927078905,4.1374731774220255,5.497208333333334,5.497208333333333,5.24904059878994,5.197966127885157,5.193424656282911,5.190280820103112,4.7475,5.575000000000001,5.321973241212239,5.077095914797704,5.610906235761973,5.987965723489904,2.5162500000000003,2.6674999999999986,2.67827841027919,2.232312357594455,3.533337494840331,3.4111356569950395
2000-05-31,PREMON,6.076666666666666,7.0475,5.15,6.933333333333334,7.0775000000000015,4.19,3.67,6.7875000000000005,5.15,3.04,4.559833333333333,4.559833333333334,4.9873789672606925,4.999622571073783,6.11300153981135,6.076666454538911,5.319541666666667,5.319541666666666,5.818696776743224,5.78807367445123,7.112411514361472,7.047499627772805,4.1325,4.862500000000001,5.253183944727343,5.023055997585717,7.532061645589386,7.171366023599984,4.874583333333334,4.413333333333332,5.514520167236012,5.82244539520839,7.023743535436939,6.866738900156513,5.568708333333333,5.568708333333333,5.965892034082366,6.203800507694842,7.175425380262245,7.0775000000000015,2.89625,2.4508333333333336,3.2679289826924105,3.405547153420827,4.343846461537593,4.734784924868096,3.210833333333333,3.2850000000000006,3.5416048625861265,3.9622212457578225,4.794904996392603,5.42004162179261,5.497208333333333,5.497208333333333,5.864424359273965,5.856480776627998,6.833169233736685,6.763044848304432,4.1325,4.862500000000001,5.253183944727343,5.044918909560552,7.097587920331174,6.8387207642127805,2.865,2.2899999999999983,2.822967046167514,2.5107105402871244,4.447646074948498,3.648069686635173
2000-08-31,MONSOON,4.333666666666667,4.9239999999999995,2.26,2.67,5.667999999999998,2.265,2.85,5.194,2.26,3.0,4.559833333333334,4.559833333333334,4.725894047023083,4.84694728847476,4.3652405805960885,4.333666512164738,5.319541666666666,5.319541666666666,5.460818066045934,5.604649677161782,4.88324134432466,4.9239997996326235,3.1937499999999996,4.6325,4.055910366836406,5.01857456707567,2.784534290857243,2.6370323832129445,4.840833333333333,4.870833333333333,4.3767121003416065,5.214903394610644,2.043563768708129,2.014738597509269,5.568708333333334,5.568708333333333,5.8467352204494185,6.148110129529873,5.5902350615758225,5.667999999999998,3.0429166666666667,2.7745833333333336,2.8667573896154463,3.418677449171292,1.3039255190937866,1.4608252196495184,3.281041666666667,3.1975000000000007,3.264962917551676,3.89974476722582,2.28647746596041,2.268567847123933,5.497208333333334,5.497208333333333,5.596254615564378,5.6727812081448885,5.125947158006711,5.188638234133211,3.1937499999999996,4.6325,4.055910366836406,4.502822699320873,3.1383358763916442,3.057512481452418,3.105,2.7424999999999984,2.8937802277005087,2.7431964430498548,0.8699483405389445,1.2241479687965553
