Date,Season,Parliament Street,Darya Ganj,Chanakya Puri,Connaught Place,Parliament Street_Trend,Parliament Street_SMA,Parliament Street_EWMA,Parliament Street_DES,Parliament Street_TES,Parliament Street_ARIMA,Darya Ganj_Trend,Darya Ganj_SMA,Darya Ganj_EWMA,Darya Ganj_DES,Darya Ganj_TES,Darya Ganj_ARIMA,Chanakya Puri_Trend,Chanakya Puri_SMA,Chanakya Puri_EWMA,Chanakya Puri_DES,Chanakya Puri_TES,Chanakya Puri_ARIMA,Connaught Place_Trend,Connaught Place_SMA,Connaught Place_EWMA,Connaught Place_DES,Connaught Place_TES,Connaught Place_ARIMA
1996-02-29,POMRB,5.34,4.94,12.845,4.9575,,,5.34,4.670955212927807,3.9705129210919283,0.0,,,4.94,5.171854772143582,4.986875,0.0,,,12.845,21.316844779096215,12.710063749622982,0.0,,,4.9575,3.341857053543839,4.967499999999999,0.0
1996-05-31,PREMON,4.91,5.15,21.645,3.895000000000001,,,5.168,4.764297671541588,5.912563280633654,5.339986333768287,,,5.024,5.154564956726931,5.241153047091414,-7.944024186672072e-14,,,16.365,29.602208900956967,14.413252674775368,12.84495661662222,,,4.5325,2.8237526349852833,3.9144459833795024,0.0
1996-08-31,MONSOON,1.84,4.32,10.086666666666666,3.51,3.6743750000000004,,3.8368,3.913605402937634,3.908116600646471,5.108200510173929,4.751250000000001,,4.7424,5.137326353834513,4.45284816913621,-1.3439015448320702e-13,12.979791666666667,,13.853666666666665,15.438369349775831,15.400146279733077,17.450587405693188,3.985625,,4.1235,2.4735479499635122,3.538340942749059,0.0
1996-11-30,POMKH,3.415,4.65,11.1575,3.58,3.610625,3.8762499999999998,3.6680800000000002,3.783146469837969,3.304954130894484,3.7528958724651167,4.7162500000000005,4.765000000000001,4.70544,5.120148194646926,4.821980810604867,-1.9766153850310908e-13,10.659916666666666,13.933541666666667,12.775199999999998,10.342151844915941,13.783573055950656,14.628350949060852,3.985625,3.985625,3.9061000000000003,2.3467720078353778,3.616689239595706,0.0
1997-02-28,POMRB,3.725,4.83,5.215,4.9575,4.196875,3.4725,3.6908480000000004,3.78358095988019,3.7945391686559473,3.824259526653738,4.7675,4.7375,4.755264,5.1030290607461435,5.126373490858814,3.7591015774855934,9.359708333333334,12.026041666666668,9.751119999999998,4.338816245253066,12.534128176631382,13.50061968614843,3.9856250000000006,3.9856249999999998,4.32666,2.773575105367868,4.993049151734091,4.9575
1997-05-31,PREMON,6.0150000000000015,4.98,10.716,3.895000000000001,4.768125,3.7487500000000002,4.6205088000000005,4.467609184227027,5.258857080450904,3.716855982920033,4.896250000000001,4.695,4.845158400000001,5.0859685111665245,5.344628344330724,3.9189014421155477,9.2991875,9.293791666666667,10.137071999999998,9.326289419627424,11.948076661393614,11.037814689855413,3.9856249999999998,3.9856249999999993,4.153996,2.8840182422172904,3.9298662934737454,3.895000000000001
1997-08-31,MONSOON,5.425,4.9,10.614,3.51,4.9887500000000005,4.6450000000000005,4.94230528,4.774470498062533,3.8382712009088955,3.9593302945052367,4.967500000000001,4.84,4.867095040000001,5.068964485236449,4.51950427708982,3.287311500959061,10.0015,9.425625000000002,10.3278432,11.646553374686988,10.335619488044802,10.946645012074077,3.985625,3.9856249999999993,3.8963976,2.9083502587254735,3.54461581407402,3.51
1997-11-30,POMKH,4.4,5.1,10.145999999999997,3.58,5.121250000000001,4.891250000000001,4.7253831680000005,4.685123654397167,4.448455771015383,4.722519859280717,5.03,4.952500000000001,4.960257024000001,5.052019063188048,4.895865077380794,3.5384255739489894,11.089500000000001,9.17275,10.255105919999998,11.38635548004447,10.436379467924711,10.854813001620442,3.985625,3.9856249999999993,3.76983856,2.9900939028279243,3.6147717482183985,3.58
1998-02-28,POMRB,4.505,4.95,11.845,4.9575,4.908125,5.086250000000001,4.6372299008,4.653382348055788,4.8854209374848265,4.828514969951503,5.04,4.9825,4.956154214400001,5.035129211578388,5.160918919457933,3.6753968864889504,11.557749999999999,10.83025,10.891063551999999,12.781186586348017,9.904256563496364,10.661834627662802,3.9856250000000006,3.9856249999999998,4.244903136,3.5547239749440904,4.991865393619859,4.9575
1998-05-31,PREMON,6.295,5.36,12.79,3.895000000000001,4.555625,5.15625,5.30033794048,5.1654059484405765,6.246531344859722,4.990907051396722,4.952500000000001,5.0775,5.117692528640001,5.018299283483673,5.351365297291785,3.789539646938918,11.86025,11.348749999999999,11.650638131199997,13.973184565693197,12.162032438161528,10.981563824572714,3.9856249999999998,3.9856249999999993,4.1049418816,3.7174671642536503,3.928971830021222,3.895000000000001
