Date,Season,Kalol,Gandhinagar,Mansa,Dehgam,Kalol_Trend,Kalol_SMA,Kalol_EWMA,Kalol_DES,Kalol_TES,Kalol_ARIMA,Gandhinagar_Trend,Gandhinagar_SMA,Gandhinagar_EWMA,Gandhinagar_DES,Gandhinagar_TES,Gandhinagar_ARIMA,Mansa_Trend,Mansa_SMA,Mansa_EWMA,Mansa_DES,Mansa_TES,Mansa_ARIMA,Dehgam_Trend,Dehgam_SMA,Dehgam_EWMA,Dehgam_DES,Dehgam_TES,Dehgam_ARIMA
1996-02-29,POMRB,11.315,23.493333333333336,1.3,12.0,,,11.315,67.66665168537116,35.08408384967407,0.0,,,23.493333333333336,154.49531286474325,23.503333333333334,0.0,,,1.3,0.016117301242012865,-3.097389072427241,0.0,,,12.0,28.35302146196052,28.27404110946126,0.0
1996-05-31,PREMON,40.983999999999995,151.85250000000005,1.79,11.75,,,23.1826,103.30568474101646,35.00933766218257,10.062153539101105,,,74.83700000000002,461.14630972000026,151.86995152354575,23.484422483865092,,,1.496,0.05089134740000026,2.6092978513561675,1.299606028522668,,,11.899999999999999,28.42221779883623,30.696999041788487,5.688836608888701
1996-08-31,MONSOON,39.056,289.375,1.85,35.98,36.584624999999996,,29.531959999999998,95.2978505233586,26.606861168731605,20.25857013409063,128.7659375,,160.6522,756.3104764303348,289.39756083056454,118.21092738406097,1.79125,,1.6376,0.15330624759603886,14.726154925759715,1.5756599582681756,19.43125,,21.531999999999996,28.491639675828612,28.27406180722403,3.7063975803752665
1996-11-30,POMKH,40.214,48.53,1.89,17.995,40.665749999999996,32.89225,33.804776,70.49609674767468,37.54841019646851,38.75889629604759,120.06104166666668,128.31270833333335,115.80332,191.24733572617217,48.55559456799204,199.77867847775687,1.9237499999999998,1.7074999999999998,1.7385599999999999,0.2648585237510761,1.6705594686419474,1.7016829764646417,19.59375,19.43125,20.117199999999997,28.56118880170651,24.31067586323305,21.545970875044542
1997-02-28,POMRB,40.854,27.11916666666667,1.97,12.0,39.9896875,40.277,36.62446559999999,50.14359698935002,35.904300065294834,37.88350255174332,78.48729166666666,129.21916666666667,80.32965866666666,27.77134137277107,23.51439909822003,67.76297297129713,1.93875,1.8749999999999998,1.8311359999999999,0.3903584334639888,-2.2519582348863594,1.7078856882884972,17.8925,19.43125,16.87032,28.630893560012233,28.618009991215338,-2.462889024940959
1997-05-31,PREMON,44.093999999999994,78.58750000000002,2.18,13.05,39.8634375,41.054500000000004,39.612279359999995,42.75222629593525,40.99396734893271,38.831939543029286,43.87729166666668,110.90291666666664,79.6327952,65.43566356726258,152.79456725276043,88.03762690491058,1.9025000000000003,1.9725,1.9706816,0.5600377955411916,3.375347812389542,1.9376215832749824,14.176875,19.756249999999998,15.342192,28.70077082544629,31.040967923519133,10.215257236652686
1997-08-31,MONSOON,30.5375,30.05,1.58,21.07,40.88799999999999,38.924875,35.982367616,28.580292362011782,32.074554748778105,40.26954990750576,42.13614583333334,46.071666666666644,59.799677120000005,23.962023835661682,271.56902996168174,95.02641389354972,1.9725000000000001,1.9049999999999998,1.8144089600000002,0.5203142854500225,15.322045660878857,2.052670948299645,14.595156250000002,16.028750000000002,17.6333152,28.770837338310525,28.618030689019804,2.020362548484761
1997-11-30,POMKH,47.7225,30.975,1.87,3.18,41.068999999999996,40.802,40.67842056959999,42.28708864695084,40.50100818343829,38.06624592496769,36.659687500000004,41.68291666666664,48.269806272000004,22.287780558437756,-33.95082132169699,65.01540118736816,2.05375,1.8999999999999997,1.8366453760000003,0.6553601025232187,1.87464243223706,1.8674042870381717,20.1690625,12.325000000000003,11.851989119999999,28.841032895034655,24.654644743989792,13.63923042791884
1998-02-28,POMRB,41.542,30.745,2.55,30.161250000000006,41.349312499999996,40.974000000000004,41.02385234176,43.08598465363244,39.676172360880585,34.77277616859773,38.50828125,42.589374999999976,41.2598837632,27.05996610048641,-54.1722795035375,68.43980434726224,2.1875,2.0449999999999995,2.1219872256,1.0097781653954587,-2.149270797356806,1.8299848031955248,25.3365625,16.865312500000005,19.175693472000003,28.911462871216138,28.961978870939504,-7.506208145274472
1998-05-31,PREMON,44.854,31.15,2.25,39.48,40.8268125,41.164,42.555911405055994,46.310077951069616,44.21127606180753,43.886070399720424,43.9321875,30.729999999999972,37.21593025792,30.96303918805013,39.82520024991511,61.0335033152072,2.4099999999999997,2.0624999999999996,2.17319233536,1.1123977653162158,3.6940148924270417,2.2656979163371602,30.904062500000002,23.472812500000007,27.2974160832,28.982086484163336,31.38493680445694,27.065188495761213
