Date,Season,Leh,Leh_Trend,Leh_SMA,Leh_EWMA,Leh_TES,Leh_ARIMA
1996-02-29,POMRB,,,,,,
1996-05-31,PREMON,,,,,,
1996-08-31,MONSOON,20.74,20.74,,20.74,20.437257456310874,0.0
1996-11-30,POMKH,,,,,,
1997-02-28,POMRB,,,,,,
1997-05-31,PREMON,,,,,,
1997-08-31,MONSOON,20.74,20.74,,20.74,20.812981128668895,0.0
1997-11-30,POMKH,,,,,,
1998-02-28,POMRB,,,,,,
1998-05-31,PREMON,,,,,,
1998-08-31,MONSOON,20.74,20.74,,20.74,20.815253654324103,0.0
1998-11-30,POMKH,,,,,,
1999-02-28,POMRB,,,,,,
1999-05-31,PREMON,,,,,,
1999-08-31,MONSOON,20.74,20.74,20.74,20.74,20.879023796893566,0.0
1999-11-30,POMKH,,,,,,
2000-02-29,POMRB,,,,,,
2000-05-31,PREMON,,,,,,
2000-08-31,MONSOON,20.74,20.74,20.74,20.74,20.843110761152445,0.0
2000-11-30,POMKH,,,,,,
2001-02-28,POMRB,,,,,,
2001-05-31,PREMON,,,,,,
2001-08-31,MONSOON,20.74,20.74,20.74,20.74,20.611947206189186,0.0
2001-11-30,POMKH,,,,,,
2002-02-28,POMRB,,,,,,
2002-05-31,PREMON,,,,,,
2002-08-31,MONSOON,20.74,20.74,20.74,20.74,20.700788065656187,0.0
2002-11-30,POMKH,,,,,,
2003-02-28,POMRB,,,,,,
2003-05-31,PREMON,,,,,,
2003-08-31,MONSOON,20.74,20.74,20.74,20.74,20.822290545753923,0.0
2003-11-30,POMKH,,,,,,
2004-02-29,POMRB,,,,,,
2004-05-31,PREMON,,,,,,
2004-08-31,MONSOON,20.74,20.74,20.74,20.74,20.832980849071305,0.0
2004-11-30,POMKH,,,,,,
2005-02-28,POMRB,,,,,,
2005-05-31,PREMON,,,,,,
2005-08-31,MONSOON,20.74,20.74,20.74,20.74,20.636271070457436,0.0
2005-11-30,POMKH,,,,,,
2006-02-28,POMRB,,,,,,
2006-05-31,PREMON,,,,,,
2006-08-31,MONSOON,20.74,20.74,20.74,20.74,20.675889392093136,0.0
2006-11-30,POMKH,,,,,,
2007-02-28,POMRB,,,,,,
2007-05-31,PREMON,,,,,,
2007-08-31,MONSOON,20.74,20.74,20.74,20.74,20.80069992070364,0.0
2007-11-30,POMKH,,,,,,
2008-02-29,POMRB,,,,,,
2008-05-31,PREMON,,,,,,
2008-08-31,MONSOON,20.74,20.74,20.74,20.74,20.836501578618137,0.0
2008-11-30,POMKH,,,,,,
2009-02-28,POMRB,,,,,,
2009-05-31,PREMON,,,,,,
2009-08-31,MONSOON,20.74,20.74,20.74,20.74,20.666854706804894,0.0
2009-11-30,POMKH,,,,,,
2010-02-28,POMRB,,,,,,
2010-05-31,PREMON,,,,,,
2010-08-31,MONSOON,20.74,20.74,20.74,20.74,20.66401258790021,0.0
2010-11-30,POMKH,,,,,,
2011-02-28,POMRB,,,,,,
2011-05-31,PREMON,,,,,,
2011-08-31,MONSOON,20.74,20.74,20.74,20.74,20.779675313756876,0.0
2011-11-30,POMKH,,,,,,
2012-02-29,POMRB,,,,,,
2012-05-31,PREMON,,,,,,
2012-08-31,MONSOON,20.74,20.74,20.74,20.74,20.836296677328445,0.0
2012-11-30,POMKH,,,,,,
2013-02-28,POMRB,,,,,,
2013-05-31,PREMON,,,,,,
2013-08-31,MONSOON,20.74,20.74,20.74,20.74,20.694887306227166,0.0
2013-11-30,POMKH,,,,,,
2014-02-28,POMRB,,,,,,
2014-05-31,PREMON,,,,,,
2014-08-31,MONSOON,20.74,20.74,20.74,20.74,20.659786365645676,0.0
2014-11-30,POMKH,,,,,,
2015-02-28,POMRB,,,,,,
2015-05-31,PREMON,,,,,,
2015-08-31,MONSOON,20.74,20.74,20.74,20.74,20.75929534995892,0.0
2015-11-30,POMKH,,,,,,
2016-02-29,POMRB,,,,,,
2016-05-31,PREMON,,,,,,
2016-08-31,MONSOON,20.74,20.74,20.74,20.74,20.831915274836774,0.0
2016-11-30,POMKH,,,,,,
2017-02-28,POMRB,,,,,,
2017-05-31,PREMON,,,,,,
2017-08-31,MONSOON,20.74,20.74,20.74,20.74,20.719395881089575,0.0
2017-11-30,POMKH,,,,,,
2018-02-28,POMRB,,,,,,
2018-05-31,PREMON,,,,,,
2018-08-31,MONSOON,20.74,20.74,20.74,20.74,20.661524225709915,0.0
2018-11-30,POMKH,,,,,,
