Date,Season,Sringeri,Narasimharajapura,Chikmagalur,Koppa,Kadur,Tarikere,Mudigere,Sringeri_Trend,Sringeri_SMA,Sringeri_EWMA,Sringeri_DES,Sringeri_TES,Sringeri_ARIMA,Narasimharajapura_Trend,Narasimharajapura_SMA,Narasimharajapura_EWMA,Narasimharajapura_DES,Narasimharajapura_TES,Narasimharajapura_ARIMA,Chikmagalur_Trend,Chikmagalur_SMA,Chikmagalur_EWMA,Chikmagalur_DES,Chikmagalur_TES,Chikmagalur_ARIMA,Koppa_Trend,Koppa_SMA,Koppa_EWMA,Koppa_DES,Koppa_TES,Koppa_ARIMA,Kadur_Trend,Kadur_SMA,Kadur_EWMA,Kadur_DES,Kadur_TES,Kadur_ARIMA,Tarikere_Trend,Tarikere_SMA,Tarikere_EWMA,Tarikere_DES,Tarikere_TES,Tarikere_ARIMA,Mudigere_Trend,Mudigere_SMA,Mudigere_EWMA,Mudigere_DES,Mudigere_TES,Mudigere_ARIMA
1996-02-29,POMRB,8.715,6.98,6.473333333333334,9.045,5.3133333333333335,9.668888888888887,5.51,,,8.715,7.269964838597145,8.632807252939891,0.0,,,6.98,6.42282570371553,7.2124325505332525,0.0,,,6.473333333333334,5.225954441582724,6.520530162562231,0.0,,,9.045,8.091081643072789,9.055,0.0,,,5.3133333333333335,5.007409563156782,4.267537099367377,0.0,,,9.668888888888887,8.699375251451281,9.816756936562042,0.0,,,5.51,4.987807303871636,5.70770372701101,0.0
1996-05-31,PREMON,10.715,9.47,8.443333333333333,7.8475,5.33,11.628749999999998,7.02,,,9.515,7.99800387500694,10.44860214056015,8.71496876884051,,,7.976,6.9582435054125,8.884225149117022,3.677814242904099,,,7.261333333333333,5.691354541927733,7.734343684456213,3.3775269667544126,,,8.565999999999999,7.552522075225956,7.864951523545706,5.499633127637609e-07,,,5.32,5.090917883258611,5.795524211984171,5.31330019422161,,,10.45283333333333,9.18228600524549,10.719600906693863,9.668871431207878,,,6.113999999999999,5.520567749055592,6.585646288517581,5.5099936910419345
1996-08-31,MONSOON,5.43,5.38,4.23,5.67,5.62,8.96125,5.02,8.084375,,7.881,6.919890664760268,6.150779011181083,9.731636603304024,6.641249999999999,,6.9376,6.65759820753129,4.318533706600769,5.26956468087919,5.8725,,6.0488,4.847810261019156,5.001892150466024,4.720631338094367,7.06625,,7.407599999999999,6.648250881979688,5.6925608305645286,1.682539404974942e-06,4.974583333333333,,5.44,5.225744306865174,6.415748521166744,5.322059652346974,9.611128472222221,,9.856199999999998,8.772458333995345,9.719720681875682,10.786493367831675,5.663749999999999,,5.676399999999999,5.225443039269126,4.508225804478258,6.295648221869297
1996-11-30,POMKH,7.58,5.1,4.6,6.904999999999999,4.113333333333333,8.544444444444443,5.18,8.001249999999999,8.11,7.7606,6.790366175512693,7.680336531628982,8.219266296893261,6.415,6.7325,6.20256,6.361361268622795,5.599705454214043,4.368186721161163,5.882083333333334,5.936666666666667,5.4692799999999995,4.36044741527743,4.714373614850989,3.879769125559457,6.7828125,7.366875,7.20656,6.23719219424903,6.93059456799204,2.5896456759347393e-06,4.9174999999999995,5.094166666666667,4.9093333333333335,4.953167044861177,3.40274821769359,5.436950035912072,9.29132986111111,9.700833333333332,9.331497777777777,8.374250982709578,8.549157504379005,9.923322260274578,5.6425,5.682499999999999,5.47784,5.071356356615415,5.320926352731404,5.814827053793605
1997-02-28,POMRB,8.51,6.25,5.960000000000001,6.64,4.3566666666666665,8.95125,5.36,8.16375,8.05875,8.06036,7.079620950984456,8.526499744980265,8.474530535958412,5.94375,6.55,6.221536,6.326829807962083,7.588547119681291,6.180808152660319,5.935520833333334,5.8083333333333345,5.665568,4.491093284811153,6.450937309461538,6.1162105959658915,6.725,6.765625,6.979936,5.900108864751931,9.069223659623532,9.045000467501843,4.95125,4.855,4.688266666666667,4.808476600773297,4.601003742634436,5.026483489063407,9.100663194444444,9.52142361111111,9.179398666666666,8.219331208071072,9.815915168182542,9.240066609753503,5.59875,5.645,5.430704,5.049880840102496,5.864770741544254,5.505220059574134
1997-05-31,PREMON,10.255,8.39,9.033333333333333,7.985,5.83,9.788,7.0,8.23625,7.9437500000000005,8.938216,8.017116918172588,10.314695963301938,10.102228666607731,5.420000000000001,6.280000000000001,7.088921600000001,6.684861050812507,8.858318360006441,8.059740993425796,5.7517708333333335,5.955833333333334,7.012674133333333,5.760336699850035,7.490582331372702,7.7813192049595035,6.484375,6.8,7.3819616,6.008620494458747,7.257329803180752,7.624696790730518,4.647708333333333,4.98,5.144960000000001,5.065356903743234,5.77475622028393,4.841178476489168,9.0835625,9.06123611111111,9.422839199999999,8.359625477904526,10.4016421795409,9.653290371362258,5.48,5.64,6.0584224,5.7394683080003475,6.663321912798238,6.238730529880122
1997-08-31,MONSOON,7.19,2.69,4.0675,5.069999999999999,5.3900000000000015,9.276666666666666,4.69,7.918125,8.383750000000001,8.2389296,7.78805641823454,5.936701758559826,5.860269307998853,4.97625,5.607500000000002,5.32935296,5.948657126832961,3.9095129095683157,4.809377662716161,5.311770833333334,5.915208333333334,5.834604479999999,5.219968481231622,5.085382807679771,4.511697350314402,6.2084375,6.649999999999999,6.45717696,5.47004510289251,5.162912863105874,5.208499355647057,4.180833333333333,4.9225,5.2429760000000005,5.149414439397496,6.537968899755128,5.15765682984995,8.919517361111112,9.140090277777777,9.364370186666665,8.322464784682257,8.728066534034088,8.975199947814097,5.3149999999999995,5.5575,5.51105344,5.3974776492988354,4.560647645439574,5.414688945778506
1997-11-30,POMKH,6.4,3.6,3.2925000000000004,5.58,1.915,8.092222222222222,4.56,7.515625,8.088750000000001,7.503357760000001,7.304021371691321,7.903120300631841,7.875762510919955,4.50875,5.232500000000002,4.637611776,5.511249145812513,4.361654471677982,3.634314675224195,4.8272916666666665,5.588333333333335,4.817762688,4.499503977803146,4.701312738722202,4.407506063583395,5.8478125,6.318749999999998,6.106306176,5.175460140462917,6.304669775516236,6.48070263533678,3.875000000000001,4.372916666666667,3.9117856000000004,4.350003696142063,3.4282587010514405,5.001357497044891,8.553083333333333,9.02703472222222,8.855511000888889,7.965873297587083,8.135762266738835,8.990462913604857,5.0675,5.4025,5.130632064,5.04553366055839,5.274473996631986,5.309986217293129
1998-02-28,POMRB,7.145,4.2,3.7475,5.7575,2.8200000000000003,8.091111111111111,4.66,6.921875,7.7475000000000005,7.360014656000001,7.1490222420463985,8.443736340978164,8.430713168065791,4.2612499999999995,4.7200000000000015,4.4625670656,5.262076774183292,6.25528981069109,5.398791263805552,4.385625,5.035208333333334,4.389657612800001,4.064206548305743,5.929808022626225,5.300011136823407,5.5484375,6.098124999999998,5.966783705600001,5.016419640668845,7.551939706206861,7.2986197733789435,3.4133333333333336,3.9887500000000005,3.4750713600000003,3.9731610425937767,4.015908719906877,4.230644715526478,8.167916666666667,8.811999999999998,8.549751044977778,7.721661307601965,9.385342552133174,8.67406198813022,4.80625,5.2275,4.9423792384,4.802053519259215,5.670029100737205,5.172562319317533
1998-05-31,PREMON,8.399999999999999,6.7,7.37,5.9825,4.92,7.716666666666666,5.72,6.51375,7.2837499999999995,7.7760087936,7.477434293860874,9.938060163782273,9.707788870637625,4.1875,4.297500000000001,5.3575402393600005,5.509671829639786,7.264558313958175,7.075705878459086,4.0378125,4.619375000000002,5.581794567680001,4.9748795725200265,6.305588661721802,7.461697979943374,5.4721874999999995,5.597499999999998,5.973070223360001,4.984557311567464,6.620929125258749,7.168610614123084,3.093541666666667,3.76125,4.053042816,4.2109296077304865,4.928386156178531,4.030708701867697,7.7315451388888885,8.294166666666666,8.216517293653334,7.44978579375196,9.78102590091867,9.015197088610533,4.64375,4.9075,5.25342754304,5.050518809047496,6.337947015680076,6.079200133367014
