Date,Season,Kushtagi,Yelbarga,Koppal,Gangawati,Kushtagi_Trend,Kushtagi_SMA,Kushtagi_EWMA,Kushtagi_DES,Kushtagi_TES,Kushtagi_ARIMA,Yelbarga_Trend,Yelbarga_SMA,Yelbarga_EWMA,Yelbarga_DES,Yelbarga_TES,Yelbarga_ARIMA,Koppal_Trend,Koppal_SMA,Koppal_EWMA,Koppal_DES,Koppal_TES,Koppal_ARIMA,Gangawati_Trend,Gangawati_SMA,Gangawati_EWMA,Gangawati_DES,Gangawati_TES,Gangawati_ARIMA
1996-02-29,POMRB,8.603333333333332,12.923333333333336,4.842499999999999,4.804285714285714,,,8.603333333333332,8.235726262990054,7.6238521038359455,0.0,,,12.923333333333336,12.348570275736819,11.846213428102704,0.0,,,4.842499999999999,4.678633948687685,4.342478941408125,0.0,,,4.804285714285714,5.302329971609093,4.400468564417158,0.0
1996-05-31,PREMON,9.396666666666668,12.05,5.073333333333333,5.9316666666666675,,,8.920666666666666,8.50384902059905,9.250712538578446,6.196892805004122,,,12.574000000000002,12.21055071331381,13.413511787854032,12.755099307892163,,,4.934833333333333,4.765261871842178,5.694232082021234,3.3203351830492,,,5.255238095238095,5.303205846386557,6.056268346220839,2.3598059037726427
1996-08-31,MONSOON,8.62,12.46,3.4625,5.29625,7.53625,,8.8004,8.49562621269824,9.445727363245092,7.677479243645582,11.737916666666667,,12.528400000000001,12.251671109900128,12.331585247369976,11.918937830966296,4.203177083333333,,4.345899999999999,4.449121213035995,4.364418637219612,4.182842080655009,4.636514880952381,,5.271642857142857,5.3040818652891515,5.380060670805162,3.1780082630784454
1996-11-30,POMKH,5.176666666666667,10.48,3.61625,3.185,6.922083333333334,7.949166666666666,7.350906666666667,7.582881336121162,6.925281219574257,7.889595536002311,11.318333333333335,11.978333333333335,11.709040000000002,11.633656397254553,11.327552521480047,12.318036425216247,4.266875,4.248645833333333,4.05404,4.244911629970479,3.2153157524299516,3.9525944652158245,4.376895833333333,4.804300595238095,4.436985714285714,5.30495802704713,3.7852307212362857,3.5828371398600356
1997-02-28,POMRB,5.3,11.0,4.47875,3.4619999999999997,6.772916666666666,7.123333333333333,6.530544,6.947129949798022,7.153084397457739,7.162901113775636,11.136041666666667,11.497500000000002,11.425424000000001,11.388734282342906,11.439199721939584,10.420094805703913,4.7059375,4.157708333333332,4.223924,4.294031663289095,4.165953623697189,4.1774766447875535,4.44928125,4.468729166666666,4.046991428571428,5.305834333777371,4.344616687932781,4.498140037884134
1997-05-31,PREMON,7.786666666666666,10.616666666666667,5.946666666666666,5.197000000000001,7.233333333333333,6.720833333333333,7.032993066666666,7.136498928553025,7.85960913777442,6.487060166892964,11.226041666666667,11.139166666666668,11.101921066666668,11.099488899325218,12.392729126797807,10.675539240196482,5.003052083333333,4.376041666666665,4.913021066666667,4.679617866285792,5.451365603608703,4.426963356854047,4.8706875,4.2850624999999996,4.506994857142858,5.306710786781746,5.701688297063685,5.0599848381252315
1997-08-31,MONSOON,9.036666666666667,12.435,6.101666666666668,6.610000000000001,8.002083333333333,6.825000000000001,7.834462506666666,7.604297172173138,7.983501743161767,6.6991499581105565,11.319166666666668,11.132916666666668,11.635152640000001,11.498386107135236,11.143812208994543,10.595195818631524,4.947927083333333,5.035833333333333,5.388479306666667,5.009932358642896,4.517066201589124,3.7912945847514714,5.240125000000001,4.6135,5.348196914285715,5.30758738580219,4.937219121241248,4.857233299175382
1997-11-30,POMKH,8.443333333333333,11.225,3.354,5.2425,8.474583333333333,7.641666666666668,8.078010837333334,7.790535260949683,6.073531000661694,6.0650515511057606,11.648333333333333,11.319166666666668,11.471091584,11.371378003809582,10.610441450971916,11.81424395842542,4.825375000000001,4.970270833333332,4.574687584,4.6096535907277705,4.249036053424529,4.6529200508855855,5.339,5.127875,5.305918148571429,5.308464128425735,3.750294629426101,3.9298748233581677
1998-02-28,POMRB,8.183333333333334,11.0,4.3,4.36,8.464166666666667,8.362500000000002,8.120139835733333,7.8584165957774434,7.6394588907278145,7.547031651301561,11.7625,11.319166666666668,11.282654950400001,11.212837282090833,11.313915307717545,11.204331407825121,4.503958333333333,4.925583333333332,4.4648125504000005,4.529311600928258,4.740460038715801,4.942463957494519,5.203303571428571,5.352375,4.927550889142857,5.309341015101201,4.795573917304004,4.644419015722166
1998-05-31,PREMON,8.683333333333332,13.25,5.145,5.09,8.014249999999999,8.586666666666668,8.345417234773333,8.03977693829005,9.124785279129183,8.891890811373216,10.833875,11.977500000000001,12.069592970240002,11.840139342790366,12.31815676305956,10.563324908279153,4.369977272727273,4.725166666666666,4.736887530240001,4.668581534555502,5.758963274502956,4.922969208987377,4.898746565934066,5.3256250000000005,4.992530533485715,5.310218047265726,6.256455194769795,5.508872782937008
