Date,Season,Tirumakudal Narsipur,Mysore,Heggadadevankote,Hunsur,Nanjangud,Krishnrajanagara,Piriyapatna,Tirumakudal Narsipur_Trend,Tirumakudal Narsipur_SMA,Tirumakudal Narsipur_EWMA,Tirumakudal Narsipur_DES,Tirumakudal Narsipur_TES,Tirumakudal Narsipur_ARIMA,Mysore_Trend,Mysore_SMA,Mysore_EWMA,Mysore_DES,Mysore_TES,Mysore_ARIMA,Heggadadevankote_Trend,Heggadadevankote_SMA,Heggadadevankote_EWMA,Heggadadevankote_DES,Heggadadevankote_TES,Heggadadevankote_ARIMA,Hunsur_Trend,Hunsur_SMA,Hunsur_EWMA,Hunsur_DES,Hunsur_TES,Hunsur_ARIMA,Nanjangud_Trend,Nanjangud_SMA,Nanjangud_EWMA,Nanjangud_DES,Nanjangud_TES,Nanjangud_ARIMA,Krishnrajanagara_Trend,Krishnrajanagara_SMA,Krishnrajanagara_EWMA,Krishnrajanagara_DES,Krishnrajanagara_TES,Krishnrajanagara_ARIMA,Piriyapatna_Trend,Piriyapatna_SMA,Piriyapatna_EWMA,Piriyapatna_DES,Piriyapatna_TES,Piriyapatna_ARIMA
1996-02-29,POMRB,5.113333333333333,9.2,8.401666666666667,7.677142857142857,5.663333333333334,7.184,4.482,,,5.113333333333333,3.340066517887661,4.183999431926666,0.0,,,9.2,9.476169922371533,9.440452769571928,0.0,,,8.401666666666667,8.479594731721521,8.337229616342446,0.0,,,7.677142857142857,6.656761596609617,6.520841752298446,0.0,,,5.663333333333334,4.974632370701047,4.917757568024116,0.0,,,7.184,5.792329666294158,7.194,0.0,,,4.482,4.297533943325807,4.644934015719569,0.0
1996-05-31,PREMON,6.853333333333333,12.4,9.191666666666666,8.526,7.323333333333332,4.387499999999998,6.002000000000002,,,5.809333333333333,3.7496389700790695,6.458715099319657,1.650017046369754,,,10.48,9.891621338156957,10.438269683944423,9.19999057442562,,,8.717666666666666,8.69639268537956,9.660638017661805,6.085846461800268,,,8.016685714285714,6.966636572506812,8.09231062355286,7.677131849224889,,,6.327333333333334,4.982703633172561,5.384720492375489,5.663317196766958,,,6.065399999999999,5.80121575312899,4.4069459833795,2.938835096384068,,,5.090000000000001,4.342359391405636,5.348462146583995,4.481989850970461
1996-08-31,MONSOON,3.533333333333333,10.208,8.578333333333335,8.332857142857142,4.1000000000000005,5.23,4.16,4.540416666666667,,4.898933333333333,3.540659309914579,5.560461533953583,2.4357495831767757,9.732624999999999,,10.371200000000002,9.885487933728871,10.349549351980162,11.587178012588058,8.424375,,8.661933333333334,8.607392399891278,7.874702940113579,7.032634065130071,6.767857142857142,,8.143154285714285,7.069348988370546,6.936249905740086,8.295327120261621,5.109583333333333,,5.436400000000001,4.990715923770629,4.487065511625354,6.494579364892504,5.175875,,5.73124,5.810115473446749,5.258340942749059,2.372366471556292,4.56575,,4.718,4.387623364806224,4.213582404243947,5.435221374666824
1996-11-30,POMKH,3.15,7.062499999999999,7.978333333333333,3.2439999999999998,3.6233333333333335,5.174,3.982,4.3533333333333335,4.6625,4.1993599999999995,3.309654014895125,3.139135776700216,2.30832360327748,9.720375,9.717625,9.04772,9.374684758699939,9.011859707166664,9.75865471268469,8.432083333333333,8.5375,8.388493333333333,8.331321736325421,7.198461707621072,7.356227944333114,6.166422619047618,6.945,6.183492571428571,5.069827411201742,6.201033987563617,8.014183191560168,4.73625,5.1775,4.711173333333334,4.998730332773736,3.401875682254132,5.692364036987593,5.1451875000000005,5.493874999999999,5.508344,5.819028846847116,5.210689239595705,3.853600732520664,4.4745,4.6565,4.4236,4.433355788086585,2.7483677030020317,4.583539016937585
1997-02-28,POMRB,4.136666666666667,9.32,7.496666666666667,6.26,5.12,4.6400000000000015,3.7560000000000002,4.277916666666666,4.418333333333333,4.174282666666667,3.2929933462561496,3.9781187743426,4.889739028879049,9.810875000000001,9.747625,9.156632,9.311875411344268,9.349286487487493,8.614447816036556,8.306458333333333,8.311250000000001,8.031762666666665,7.98124686364604,9.020910371454457,8.063945322925434,5.056565476190476,6.590714285714285,6.214095542857143,5.207385452673697,6.6401163791549065,5.46658041639404,4.6933333333333325,5.041666666666667,4.874704,5.0067908217138255,4.984473081060669,5.298117906442702,5.619750000000001,4.857874999999999,5.161006400000001,5.827955893575548,7.225864941207775,6.70736466076162,4.46575,4.4750000000000005,4.156560000000001,4.479560805910321,5.186369450389265,4.4066559673976915
1997-05-31,PREMON,6.333333333333332,12.182,10.158333333333333,5.131666666666667,4.88,6.686,5.9979999999999976,4.192499999999999,4.288333333333333,5.037902933333333,3.6670912605775525,6.023617013300079,6.272860560720288,9.9365625,9.693125,10.3667792,9.719639462721863,10.39918566364018,10.402334390568695,7.944791666666666,8.552916666666668,8.882390933333333,8.73832498979469,9.33766172630822,8.219621281717737,4.3709999999999996,5.742130952380952,5.781123992380952,4.8320389343054,7.7604227422513015,7.448581101616067,4.848333333333333,4.430833333333334,4.8768224,5.014858778098577,5.4513255690323135,5.719292309232266,5.6195,5.432499999999999,5.7710038400000006,5.836896638386146,4.293356233698265,3.340734930940446,4.287249999999999,4.473999999999999,4.893135999999999,4.526280950668449,5.693113004168989,4.801895330362174
1997-08-31,MONSOON,3.45,11.15,6.6066666666666665,2.8483333333333327,6.1999999999999975,6.728,4.093999999999999,3.956666666666667,4.2675,4.40274176,3.498155225354222,5.100115176530558,3.323279992660914,9.666999999999998,9.928625,10.68006752,9.893588049050907,10.26633731643198,10.62875540765673,7.867916666666667,8.060000000000002,7.972101226666667,7.910110110663439,8.368900377353429,8.963684368972187,3.8170416666666664,4.371,4.608007728761904,3.708795609939665,5.705087845675919,4.270882284229841,4.598749999999999,4.955833333333333,5.406093439999999,5.022968964562691,4.5532159399162975,4.756202983807428,5.4425,5.8069999999999995,6.153802304000001,5.845851099359,5.2686471286539325,5.895718569042579,4.171562499999999,4.457499999999999,4.573481599999999,4.573458398163344,4.504101027804758,4.747881843170619
1997-11-30,POMKH,2.55,7.126,7.0566666666666675,3.2440000000000007,2.763333333333333,3.674,2.62,3.6622916666666665,4.117500000000001,3.661645056,3.2079687091178206,2.7909060985338883,3.1022786704110805,8.6505,9.9445,9.258440512,9.391644648241538,9.181506981582139,9.75669940995697,7.751458333333334,7.829583333333336,7.6059274026666674,7.555352018807672,6.130180677019726,6.809590395311976,2.9928749999999997,4.371,4.062404637257143,3.261481426789611,3.7208902053766097,3.9815639484289944,4.311666666666666,4.740833333333332,4.348989397333333,5.031015488326036,3.468394551542718,4.785300493849057,5.349749999999999,5.4319999999999995,5.161881382400001,5.854819293003004,5.300503837479029,5.852571677784807,4.1145,4.116999999999999,3.7920889599999996,4.621104461887025,2.9835325273545097,4.284031623811711
1998-02-28,POMRB,2.85,7.1,7.803333333333334,1.8283333333333327,3.983333333333333,4.723999999999998,4.192500000000001,3.46875,3.7958333333333343,3.3369870336,3.0208679766896704,3.55501728621479,4.10391317317432,7.406750000000001,9.3895,8.395064307199998,8.969109270101233,9.492753494019833,8.76257825040031,7.854166666666667,7.906250000000003,7.684889774933334,7.606681896483051,8.045530551574071,7.221855530206489,2.995375,3.263083333333334,3.168776115687619,2.4527892067153707,4.8882563486563955,4.01957068345146,3.676979166666666,4.456666666666665,4.202726971733333,5.039101979653755,5.050824145296653,4.933699536792314,4.9087499999999995,5.452999999999999,4.98672882944,5.8638012463947735,6.560171114841879,5.169675926839666,4.040625,4.226125,3.9522533760000003,4.669270449330587,5.17355524883051,3.730779439110662
1998-05-31,PREMON,5.2650000000000015,6.2700000000000005,8.92,2.97,3.72,5.86,5.105,3.3462500000000004,3.5287500000000014,4.108192220160001,3.286021443472125,5.34370730323703,5.819891681675664,6.85625,7.9115,7.5450385843199985,8.483501904640784,9.959724830070448,8.9177415513324,8.120333333333333,7.596666666666669,8.17893386496,8.04872267538856,9.174642184314171,9.29678615615174,3.6606190476190474,2.722666666666667,3.0892656694125713,2.477562532041579,5.221648805880235,2.2851078126079445,3.167708333333333,4.166666666666665,4.00963618304,5.04719545953114,5.517458706123115,4.635829747800453,4.47575,5.246499999999999,5.336037297663999,5.87279698076922,4.978332300960298,4.968538957489617,4.218625,4.002875,4.4133520256,4.717951713899007,5.75006023006704,5.163833097690555
1998-08-31,MONSOON,2.97,7.111999999999999,8.666666666666666,5.03,2.2825,4.026,4.396,3.3006250000000006,3.4087500000000013,3.6529153320960006,3.1234815586794107,4.304695487726642,3.0852830505452733,6.9605,6.902000000000001,7.371823150591998,8.214127502596016,8.477124007786326,8.27283092196994,8.216833333333334,8.111666666666668,8.374026985642665,8.233238390456638,7.524515358506498,7.112325682171062,4.276113095238095,3.268083333333334,3.865559401647543,3.3358402025630047,3.277049867077765,3.1159083831185135,3.2764583333333337,3.1872916666666655,3.318781709824,5.055269782999956,4.619126922708595,5.176175967910366,4.4235,4.571,4.8120223785983995,5.881806512919172,5.625388196800445,6.00267344801902,4.4335625,4.078375000000001,4.40641121536,4.767128907085244,4.413557535053418,4.161751953936079
1998-11-30,POMKH,2.0500000000000003,6.7600000000000025,7.126,6.3842857142857135,2.606666666666667,2.912,3.742,3.236458333333334,3.2837500000000013,3.0117491992576007,2.8333238973251618,2.0892863710614957,2.635011656199569,7.360250000000001,6.810500000000002,7.1270938903552,7.9330218310293255,6.837650696996798,8.122763005809091,8.385166666666667,8.129000000000001,7.874816191385599,7.783640079354622,7.126140011089215,8.112661433637363,4.6653214285714295,4.0531547619047625,4.8730499267028105,4.374517070209345,2.646472535899579,1.7284495357362317,3.3068750000000007,3.148124999999999,3.0339356925610668,5.063364162272398,3.5335838197760125,3.9559473908962155,4.34325,4.3805,4.052013427159039,5.890829865066199,4.6726109358658485,3.876603508032132,4.531125,4.358875000000001,4.140646729216,4.816808029335612,2.9539361275243614,3.832907981736121
1999-02-28,POMRB,2.9850000000000003,8.3,8.506,3.612000000000001,5.010000000000002,5.0680000000000005,4.790000000000001,3.27125,3.3175000000000012,3.0010495195545603,2.753618516468371,2.91335551172275,3.3681490625848025,7.6695,7.110500000000002,7.59625633421312,7.946308779933429,7.636717640229197,7.546038201403111,8.54275,8.304666666666668,8.12728971483136,8.007868802964714,8.454339450668531,7.478052212246228,4.993535714285715,4.49907142857143,4.368629956021687,3.8174186432455124,5.051468535268611,5.016183076385092,3.2357291666666668,3.4047916666666667,3.8243614155366408,5.071524945267587,5.1159730273889386,4.098794322210339,4.797821428571429,4.4665,4.458408056295424,5.899867063199722,5.858092814981362,4.787307533801089,4.73325,4.50825,4.4003880375296,4.86702024432388,5.322758024338157,4.150250851100499
1999-05-31,PREMON,4.616666666666666,8.267999999999999,9.564,4.300000000000002,2.936666666666666,4.8740000000000006,5.287999999999999,3.4733333333333336,3.1554166666666674,3.647296378399403,2.974580330563138,4.933010301192942,5.52040275819433,7.753,7.610000000000002,7.864953800527871,7.952238541937242,8.857432682347254,8.008738575841523,8.678333333333333,8.465666666666667,8.701973828898815,8.536915434920214,9.769652113642913,9.592817323557778,4.866214285714286,4.83157142857143,4.3411779736130125,3.7963789583133236,5.860700609779115,3.4756191967258636,3.505416666666667,3.208958333333333,3.469283515988651,5.07965251538551,5.5827815797478415,4.152302439870148,5.585750000000001,4.220000000000001,4.624644833777254,5.90891812512011,5.037477687436324,5.385171425060766,5.009392857142858,4.554,4.75543282251776,4.917762718966788,5.968866535124864,5.3604567821968585
1999-08-31,MONSOON,3.896666666666667,7.587999999999999,9.283333333333333,6.3257142857142865,2.4966666666666666,8.64857142857143,5.83,3.5858333333333334,3.3870833333333343,3.7470444937063085,3.0454598981569476,3.8233298493697054,2.801990320192751,7.5298125,7.729000000000002,7.754172280316722,7.847859580115056,8.139490983959032,7.98530993552977,8.427833333333332,8.619833333333334,8.934517630672623,8.76601737700284,8.150567528210587,7.979955910190407,4.781142857142858,5.155500000000002,5.1349924984535225,4.627790765990329,4.11899569198565,4.650903167928474,3.8180208333333336,3.2624999999999993,3.080236776259857,5.087783203469701,4.68429588069021,3.459243198739039,5.898607142857143,5.375642857142858,6.234215471694924,5.9179830779068245,4.964667538725386,4.997894025408564,5.183607142857142,4.9125,5.185259693510655,4.969041643426707,4.6268044811056255,4.3044148102969135
1999-11-30,POMKH,2.74,6.952000000000001,7.5939999999999985,4.069999999999999,4.55,4.592857142857143,4.517142857142857,3.6877500000000003,3.559583333333334,3.344226696223785,2.9107521011007984,2.0266433643349293,2.692843116575873,7.333874999999999,7.777000000000002,7.433303368190034,7.658615184268279,6.700692927795392,8.01237635521684,7.945083333333334,8.736833333333335,8.398310578403574,8.289846979460982,7.746245115810417,8.14440915194694,5.53375,4.5769285714285735,4.708995499072113,4.164755204184061,3.621665553767123,3.0706786471516323,4.4428125000000005,3.7483333333333326,3.668142065755914,5.0959725562742895,3.598779573444025,3.7597150946058213,6.386571428571429,5.795857142857145,5.5776721401598115,5.927061931404738,4.250217457532153,5.266025078094772,5.507607142857143,5.106285714285714,4.918012958963536,5.020834333155877,3.3567196502532193,4.373817933455402
2000-02-29,POMRB,3.195,6.3225,6.0340000000000025,5.2457142857142856,5.567500000000001,5.89,5.408571428571428,3.779583333333334,3.6120833333333344,3.284536017734271,2.8790134718852953,3.0745345382155738,3.64196562530919,7.508708333333333,7.282625000000002,6.98898202091402,7.399682862378534,7.580894341048937,8.343726638567745,7.596958333333333,8.118833333333335,7.452586347042146,7.418409991341834,8.978064163848316,8.024848209629189,5.978928571428572,4.985357142857144,4.923683013728982,4.397991763631186,5.060720009967834,3.5965968803107904,5.295208333333333,3.8877083333333324,4.427885239453548,5.104197593425366,5.181508839871752,4.43823359304079,6.4973214285714285,6.001357142857144,5.702603284095886,5.93615471477686,5.81030863404214,5.468994089734972,5.721428571428571,5.26092857142857,5.114236346806693,5.073179730016682,5.783354806931644,4.677516637856167
