Date,Season,Shahpur,Shorapur,Yadgir,Shahpur_Trend,Shahpur_SMA,Shahpur_EWMA,Shahpur_DES,Shahpur_TES,Shahpur_ARIMA,Shorapur_Trend,Shorapur_SMA,Shorapur_EWMA,Shorapur_DES,Shorapur_TES,Shorapur_ARIMA,Yadgir_Trend,Yadgir_SMA,Yadgir_EWMA,Yadgir_DES,Yadgir_TES,Yadgir_ARIMA
1996-02-29,POMRB,6.753636363636364,4.746,7.0539999999999985,,,6.753636363636364,6.207024203234675,6.648927645744334,0.0,,,4.746,4.620350871249709,4.151374923051418,0.0,,,7.0539999999999985,6.822289070894813,6.521086976185761,0.0
1996-05-31,PREMON,8.51818181818182,5.720833333333332,8.690000000000001,,,7.4594545454545464,6.962156787448787,8.331063567417614,3.320597604809094,,,5.135933333333334,4.721576829542493,5.452716353793429,1.7918977048521127,,,7.7084,7.170607000275947,8.725518029752175,4.56289128705645
1996-08-31,MONSOON,5.767272727272728,3.6875,4.451428571428571,6.720151515151516,,6.78258181818182,6.496914249503505,6.254184813889936,4.566722087190395,4.388979166666666,,4.55656,4.517731283429873,4.315869671896825,2.414911094441136,6.051214285714286,,6.4056114285714285,6.661240721775156,6.695522324688596,5.899128366457413
1996-11-30,POMKH,5.8525,3.684166666666666,4.554285714285714,6.820549242424242,6.722897727272728,6.410549090909091,6.14794726720447,5.940302421720233,4.495241946134769,4.5196875,4.459625,4.207602666666666,4.332095326582409,3.652131829451262,2.52450485033674,6.058,6.187428571428572,5.665081142857143,6.266412676990697,4.441390767189516,4.624369528541267
1997-02-28,POMRB,6.7316666666666665,4.180833333333333,5.9642857142857135,7.069261363636364,6.717405303030303,6.538996121212121,6.244018555604842,6.568048972960615,6.648772483352323,4.964479166666666,4.318333333333333,4.196894933333333,4.2393280450380395,4.177150140995592,4.566690111561743,6.585107142857143,5.915,5.784762971428571,6.209096230108951,5.831005538530064,6.485666186008008
1997-05-31,PREMON,9.343333333333334,7.331666666666668,9.834,7.136642045454545,6.923693181818183,7.660731006060606,7.473220490066667,8.267027205211697,8.347038148436551,5.162509469696969,4.721041666666667,5.4508036266666675,4.634018346184447,5.438627077972114,5.304090813736835,7.138428571428571,6.201,7.404457782857143,6.886047898534325,7.849638259756569,7.661794509008047
1997-08-31,MONSOON,6.9318181818181825,5.634999999999999,7.524285714285715,6.884155303030303,7.214829545454546,7.369165876363637,7.502102594322399,6.444370802308512,6.062044876436683,5.319393939393939,5.207916666666667,5.524482175999999,4.756253121684933,4.411396449547003,4.181095779496068,7.438982142857143,6.969214285714285,7.452388955428573,7.004475439739264,6.758730255221391,5.293378934131376
1997-11-30,POMKH,5.226999999999999,3.3209090909090917,5.908,6.500689393939394,7.058454545454547,6.512299525818182,6.759448543564694,6.409061657625538,6.25681254866738,5.209090909090909,5.117102272727273,4.643052941963637,4.525205074335399,3.872591323666006,4.314827520675244,7.5166964285714295,7.307642857142857,6.8346333732571445,6.798537598257107,5.903852554736046,6.256043800547985
1998-02-28,POMRB,5.337272727272726,5.799166666666667,7.015,6.245170454545454,6.709856060606062,6.0422888064,6.155946317543365,6.72395514076949,6.340967662971092,4.637689393939393,5.521685606060607,5.105498431844849,4.6836190132261555,4.358232521990406,4.249884286213515,7.259285714285714,7.570321428571427,6.906780023954287,6.838114787338013,7.242908157997319,6.809158678575659
1998-05-31,PREMON,7.669999999999999,4.83090909090909,9.405,6.0220056818181815,6.291522727272728,6.69337328384,6.629309602361853,7.979696406295513,8.557218005370704,4.204324494949495,4.896496212121213,4.9956626954705445,4.68971802122543,5.716665324037606,6.8478199155373325,6.680541666666667,7.4630714285714275,7.906068014372572,7.317159452745147,9.093616269908793,9.150116647833793
