Date,Season,Jhabua,Meghnagar,Petlawad,Thandla,Ranapur,Jhabua_Trend,Jhabua_SMA,Jhabua_EWMA,Jhabua_DES,Jhabua_TES,Jhabua_ARIMA,Meghnagar_Trend,Meghnagar_SMA,Meghnagar_EWMA,Meghnagar_DES,Meghnagar_TES,Meghnagar_ARIMA,Petlawad_Trend,Petlawad_SMA,Petlawad_EWMA,Petlawad_DES,Petlawad_TES,Petlawad_ARIMA,Thandla_Trend,Thandla_SMA,Thandla_EWMA,Thandla_DES,Thandla_TES,Thandla_ARIMA,Ranapur_Trend,Ranapur_SMA,Ranapur_EWMA,Ranapur_DES,Ranapur_TES,Ranapur_ARIMA
1996-02-29,POMRB,1.75,4.25,6.583333333333332,3.12,0.96,,,1.75,0.9510517241274137,1.884363048715454,0.0,,,4.25,4.353525322149723,4.069153562300249,0.0,,,6.583333333333332,7.506524955266447,5.86461690274332,0.0,,,3.12,5.446188035493166,3.6617106951756355,0.0,,,0.96,2.3163734140823284,1.1775660400115475,0.0
1996-05-31,PREMON,4.96,12.1,9.406666666666668,4.92,2.75,,,3.034,1.7048608444057574,4.532635609411646,1.1839380600039047,,,7.39,6.031511405878647,9.61587425560908,4.249964490072741,,,7.712666666666667,9.022751803372506,11.633502048290529,6.583192739336034,,,3.84,6.327065897579218,5.9863818157615,-3.9574303866307233e-14,,,1.6760000000000002,2.3261025162873463,2.4444059568851015,4.4468767903489997e-07
1996-08-31,MONSOON,0.155,0.1,1.8233333333333333,0.25,1.125,2.006875,,1.8823999999999999,0.8844125754422149,0.7321555658779695,3.0396888582644226,3.8249999999999997,,4.473999999999999,4.603156954201465,2.332688499356678,8.443953150772021,5.324166666666667,,5.356933333333334,8.360361187305001,0.618678640201848,8.013922933185023,2.6637500000000003,,2.404,6.3814343101883875,0.7945615932449641,-1.0135411738403419e-13,1.72,,1.4556,2.3358724690355754,0.7560842888716326,1.5705722303077674e-06
1996-11-30,POMKH,0.9,0.15,3.9333333333333336,2.4,1.6,2.135625,1.9412500000000001,1.4894399999999999,0.6580733744747609,0.7013861836507016,0.7068414873159414,3.1062499999999997,4.15,2.7443999999999997,3.529653689053897,3.6748815705433806,5.062448237906093,5.044583333333334,5.4366666666666665,4.787493333333334,8.070604503322517,2.5785209626610035,5.858774160576698,2.50875,2.6725,2.4024,6.6926712068284075,3.0657413865152963,-1.0995494100869012e-13,1.8324999999999998,1.6087500000000001,1.51336,2.345683460699577,1.5136978964502068,1.4616006715729946e-06
1997-02-28,POMRB,2.275,1.65,5.683333333333334,3.05,1.85,2.241875,2.0725000000000002,1.803664,0.918432678042641,1.9658176774456666,1.5170534940553826,2.7187499999999996,3.5,2.30664,3.052218813033644,3.135483200270955,3.0451683673973164,4.831250000000001,5.211666666666667,5.145829333333333,8.105283488977364,6.16392344863077,6.035299032889934,2.3612499999999996,2.6549999999999994,2.66144,7.031723509397042,4.597560622109868,2.0522665555528707,1.82625,1.83125,1.6480160000000001,2.355535661848881,1.3602191990704289,0.9600011521509381
1997-05-31,PREMON,5.465,8.95,8.07,3.75,2.76,2.3206249999999997,2.1987500000000004,3.2681984,2.0279217057889007,4.8225392708344454,4.680020485508806,2.88,2.7125,4.963984,4.3337742738159015,8.667318150593129,7.0246083472531105,4.685416666666667,4.8774999999999995,6.3154976000000005,8.650994529357472,11.660362542217694,7.867884785914194,2.285,2.3624999999999994,3.096864,7.408418202231329,6.823509929048579,3.23626649144878,1.8187499999999999,1.8337500000000002,2.0928096,2.3654292508472348,3.0696068657978466,3.1046731904606646
1997-08-31,MONSOON,0.5,0.15,1.4533333333333331,0.24,1.065,2.43375,2.2850000000000006,2.16091904,1.2659862545077953,1.1231461208083635,0.8199748303182006,2.8962499999999998,2.725,3.0383904,3.3250708739086052,-0.35289222251663066,0.7916854188955487,4.458333333333334,4.784999999999999,4.370631893333334,7.417665843663637,0.33578714209805405,2.8216973223110253,2.04625,2.3599999999999994,1.9541184,7.124419968453153,1.473424559035248,0.16444443554106788,1.7912499999999998,1.81875,1.6816857599999997,2.3753643806956513,1.1888669735447797,1.2417966012946013
1997-11-30,POMKH,1.185,1.39,3.1366666666666667,1.8,1.6,2.3531250000000004,2.3562500000000006,1.770551424,1.026948902285837,1.0707629707268982,0.9535775720744181,2.0425,3.035,2.3790342399999997,2.8382897488741916,1.5646065702674008,0.6083670522173197,4.255416666666667,4.5858333333333325,3.877045802666667,6.595765751881605,2.2758410564015312,4.017254017712421,2.02625,2.2099999999999995,1.8924710400000002,6.9883649151432605,3.6625961353404257,1.5786665811945069,1.829375,1.81875,1.649011456,2.385341243705751,1.6685693657118128,1.5132740408864935
1998-02-28,POMRB,2.8950000000000005,0.54,4.663333333333334,1.74,1.63,2.2943750000000005,2.511250000000001,2.2203308544,1.4035799803602782,2.2955406640615994,2.1280231894945887,1.35875,2.7575,1.6434205439999998,2.2771621923985466,2.5313833426242316,1.9133838797311822,4.293749999999999,4.330833333333333,4.191560814933334,6.172892324336365,5.749024741385764,5.296055690916466,2.245,1.8824999999999996,1.831482624,6.759719830236295,5.056642312776451,2.429762642001146,1.8931250000000002,1.7637500000000004,1.6414068735999998,2.395360011123687,1.6105611695486026,1.6055738519681007
1998-05-31,PREMON,4.2,3.23,7.466666666666666,4.9,3.285,2.3656250000000005,2.195000000000001,3.0121985126400004,2.057634323788856,5.288681137168876,5.31617074561308,1.2725,1.3275000000000001,2.2780523264,2.4568692448581246,8.295260669947135,7.095012499689524,4.431666666666667,4.179999999999999,5.5016031556266665,6.459092698065177,11.108003184222072,7.191255762309013,2.1700000000000004,2.17,3.0588895744,6.965644497666457,7.084023474393212,3.3996049273815254,1.856875,1.8950000000000005,2.29884412416,2.4054208719495747,2.8580129911363126,2.7621707378747646
1998-08-31,MONSOON,1.295,0.4,2.3633333333333333,0.84,1.05,2.450625,2.393750000000001,2.325319107584,1.5907974551410724,0.7757187992665346,0.00992341692688603,1.2325,1.3900000000000001,1.52683139584,1.9559606729482168,-2.359996264736619,-2.3242246640863575,5.077416666666666,4.407499999999999,4.246295226709333,5.500793080531146,-0.2281519561909091,1.708223677762935,2.553125,2.32,2.17133374464,6.4743494412855425,1.7893576593750513,0.19290255242105436,1.7818749999999999,1.8912500000000008,1.799306474496,2.415523971871065,1.30478727536385,1.2313261546346257
1998-11-30,POMKH,0.96,0.45,3.33,0.6,1.3250000000000002,2.6781250000000005,2.337500000000001,1.7791914645504,1.2093133266657676,1.2602319522948169,1.4753612912876757,1.9175,1.1550000000000002,1.096098837504,1.586806658116668,0.11820314285737354,-0.9759205316907213,6.623666666666667,4.455833333333332,3.8797771360255995,4.865800715437162,2.0467361917251123,3.2973747141316196,3.338125,2.0199999999999996,1.542800246784,5.895667005326137,3.945925491043866,1.6464128783454188,1.6212499999999999,1.8225000000000011,1.6095838846975998,2.4256695083718065,1.7590717727918235,1.644549780039565
1999-02-28,POMRB,3.8,1.16,9.636,6.005,1.3050000000000002,2.968125,2.5637500000000006,2.58751487873024,1.8697260466442558,2.29022538254316,2.332049009882134,2.590625,1.3100000000000003,1.1216593025023998,1.466362310932913,0.842337438143554,-0.1504968425517656,8.742916666666666,5.698999999999998,6.18226628161536,5.836538592357482,5.61588501559701,4.7561466396618295,4.4775,3.0862499999999993,3.3276801480704004,6.125145082446619,5.161192560159566,1.8691323094232055,1.395,1.741250000000001,1.48775033081856,2.435857657331879,1.6054554579692337,1.4309832304846377
1999-05-31,PREMON,5.115,8.09,14.864,6.915,2.325,3.6941666666666664,2.7925000000000004,3.5985089272381443,2.7470803220088174,5.711178548932408,5.040404611272129,3.34875,2.5250000000000004,3.90899558150144,2.935701105504078,6.65291191492611,4.273259269379521,10.319375,7.548333333333333,9.654959768969217,8.160480733405407,12.134747725277474,7.959592049090901,6.591874999999999,3.5899999999999994,4.76260808884224,6.471851820876372,7.472867673246877,3.4234730330731846,1.4356250000000002,1.501250000000001,1.8226501984911363,2.446088606046764,2.8919667933378577,2.9551437873919095
1999-08-31,MONSOON,2.7,0.925,11.92,7.939999999999999,0.2,4.349166666666666,3.1437500000000003,3.2391053563428867,2.5554684779250927,1.4296732270813521,1.312730074166406,4.57,2.6562500000000004,2.715397348900864,2.4378529815045455,-0.2232457377869781,0.8016752445595383,10.8835,9.9375,10.560975861381529,9.675170005371337,2.2457970306921755,4.094053108593727,8.376249999999999,5.364999999999999,6.033564853305344,6.953907885783244,2.2956839474832904,0.43368508234212944,1.698125,1.2887500000000012,1.1735901190946818,2.456362509129012,0.7366952362806909,0.7056868735803483
1999-11-30,POMKH,5.363333333333333,5.99,6.385,10.415,2.5,4.710625,4.244583333333333,4.088796547139065,3.317433435676047,2.26714851920491,1.914144339115336,5.2125,4.041250000000001,4.025238409340519,3.20052737182265,1.2100994832351324,1.3866940912955648,11.1436875,10.70125,8.890585516828917,9.629002389400204,6.129663696755494,6.6957822946874925,10.15,7.818749999999999,7.786138911983206,7.80235547265128,4.878628967115089,0.9290780740913509,1.88,1.5825000000000011,1.704154071456809,2.4666795823817496,1.0254551664994584,0.9113442046388232
2000-02-29,POMRB,4.636666666666666,5.3900000000000015,11.094,10.465,2.23,5.658124999999999,4.453749999999999,4.307944594950105,3.6034242300489168,4.893325418923455,5.426023032633864,5.404375,5.098750000000001,4.571143045604312,3.6446057374525784,3.3315768991269095,2.7191295338861057,11.311625000000001,11.065750000000001,9.77195131009735,10.678134829483803,9.465298585922998,9.93538275820155,11.333124999999999,8.933749999999998,8.857683347189923,8.635047939191484,6.8488540069758885,3.1095672673847643,2.25875,1.813750000000001,1.9144924428740855,2.4770399865718935,1.5913712181635487,1.5621262901067214
2000-05-31,PREMON,7.17,9.0,15.4875,16.645,2.855,6.715208333333333,4.967499999999999,5.452766756970064,4.668647013686378,7.484123766704647,5.659923247795826,5.071250000000001,5.326250000000001,6.342685827362587,4.7949240858840225,9.937971198011127,6.998413180831511,11.399750000000001,11.221625,12.05817078605841,12.769407741344901,15.440904704472752,13.282400784554785,10.810624999999998,11.366249999999999,11.972610008313954,10.440946166482732,9.396157473663354,4.682186739053083,2.643125,1.9462500000000011,2.2906954657244514,2.4874439108529898,3.1085288071173323,3.0951972974056625
2000-08-31,MONSOON,8.225,1.55,12.64,7.675,2.7,7.538958333333333,6.34875,6.561660054182038,5.78482520777848,3.3351731964807336,3.0280192933330197,5.91125,5.482500000000001,4.425611496417552,3.990606551172768,2.250108228576355,4.063889672992703,12.026125,11.401625,12.290902471635047,13.956290235921982,4.942535754603414,9.468833625620157,10.583749999999998,11.299999999999999,10.253566004988372,10.786277598654504,4.988810811704582,3.5561083526488733,3.04875,2.5712500000000014,2.454417279434671,2.4978915317772192,1.074513558959648,0.8146631274608301
2000-11-30,POMKH,8.295,2.7,6.37,6.5,3.075,8.285,7.081666666666666,7.254996032509222,6.601503880925264,5.873672395243377,6.885740677418835,7.69125,4.66,3.735366897850531,3.638776112720358,3.9052488298105756,4.957316783296378,12.9691875,11.397874999999999,9.922541482981028,13.294033899463948,8.377347370535148,8.910809288434777,9.734375,10.32125,8.752139602993022,10.861630274402934,7.456204582064628,4.4737568745380365,3.8306250000000004,2.7150000000000016,2.7026503676608025,2.5083830371150486,2.869051159651523,2.9275396775687232
2001-02-28,POMRB,8.295,15.4,16.12,12.565,4.9,8.043958333333334,7.996249999999999,7.670997619505533,7.1821988550130955,8.182692716152928,6.367763666623254,8.22625,7.1625,8.401220138710318,6.231937758835189,3.5400142216837778,4.34702676165891,12.238000000000001,12.654375,12.401524889788618,14.978230960993784,11.1989691945108,12.14561165461723,8.44875,10.846249999999998,10.277283761795813,11.824281560862122,8.998317526208533,6.549518768160639,4.431875,3.3825000000000016,3.581590220596482,2.518918622783319,2.6792836655373997,2.675209465016751
2001-05-31,PREMON,9.48,13.23,18.006,7.75,6.44,7.208541666666667,8.573749999999999,8.39459857170332,8.009691581784505,10.94689071661013,8.510077036861945,9.545,8.219999999999999,10.33273208322619,7.712577120685425,12.56924895196557,11.999019004499196,11.59625,13.284000000000002,14.643314933873171,16.981585479096875,17.922492638717543,16.22674537090576,8.821874999999999,8.622499999999999,9.266370257077488,11.95523261077339,11.672552952921995,9.41479616681428,4.7006250000000005,4.278750000000001,4.724954132357889,2.529498471646061,4.420448090734465,4.127021059754332
2001-08-31,MONSOON,3.986666666666667,1.6,4.272,6.285,3.925,6.621666666666668,7.514166666666664,6.6314258096886585,6.6890863087183865,6.25618462105496,6.5864221010510775,10.41375,8.2325,6.839639249935715,6.217680906508157,5.437381498112428,6.875573670166419,11.401250000000001,11.192000000000002,10.494788960323902,15.200850964455352,7.4325089900201124,12.934524354807474,9.6175,8.274999999999999,8.073822154246493,11.768318995934743,6.4059247887818564,6.1480270400307155,4.82875,4.585000000000002,4.404972479414734,2.540122737184733,3.8820345488788632,3.858470781615966
2001-11-30,POMKH,5.8500000000000005,13.2,9.604,10.875,4.0,6.229791666666667,6.902916666666664,6.318855485813195,6.399701584122457,5.4300708937040625,4.558621962173557,10.1975,10.857499999999998,9.383783549961429,7.694992992239643,5.99296584703634,7.74424955062461,11.1965,12.000500000000002,10.13847337619434,14.62064390650344,8.400718592960473,8.825487722677765,12.280625,9.368749999999999,9.194293292547897,12.225037623870731,8.60105316939653,6.610225166125755,4.86125,4.816250000000002,4.24298348764884,2.550791626668915,4.593977879291182,3.9564908466056163
2002-02-28,POMRB,6.045,11.85,11.326,14.555,5.0,6.058333333333334,6.340416666666664,6.209313291487917,6.26345097399835,6.798511945704604,5.882870252680453,10.806250000000002,9.969999999999999,10.370270129976857,8.512884457778783,11.167858747095437,13.402873860329292,11.931499999999998,10.802000000000003,10.613484025716605,14.368943484306847,11.951697842491596,14.402649845388327,14.834375000000001,9.866249999999999,11.338575975528737,13.200153578142912,10.463520454454546,9.101588269870806,4.671875,4.841250000000002,4.5457900925893036,2.5615053349228853,4.871613023807824,4.400184573058887
2002-05-31,PREMON,8.595,15.05,21.162,27.065,6.6,5.695625000000001,6.119166666666664,7.163587974892751,7.05381686418358,9.155808662598574,7.411382904737852,10.612499999999999,10.424999999999997,12.242162077986116,9.854753044098269,14.19921357677875,13.736518791502885,12.23025,11.591000000000001,14.832890415429963,16.534445440966774,17.415172864033266,16.691512391375902,14.416875000000001,14.695,17.629145585317243,16.14314582311724,13.042459419332705,9.488883464797073,4.23125,4.881250000000002,5.367474055553583,2.572264054990021,5.803679225263755,5.713283999711753
2002-08-31,MONSOON,3.5,4.65,6.996,7.4,2.25,5.254375,5.997499999999997,5.698152784935651,5.853972469014375,4.890925808429828,3.865388259295578,9.790000000000001,11.187499999999996,9.20529724679167,8.53149423228248,6.131668920773246,7.140072526679697,12.512749999999999,12.272000000000002,11.69813424925798,14.963077449924933,7.75738429765504,10.720216134495066,12.615625,14.973750000000003,13.537487351190347,15.910224843348992,9.197872121375392,5.480631951066192,3.706875,4.462500000000002,4.12048443333215,2.58306792834079,4.101923286921435,3.6827759359553522
2002-11-30,POMKH,3.435,8.6,9.27,6.42,2.1500000000000004,5.159375000000001,5.393749999999996,4.7928916709613905,4.994166981052788,4.477716137392654,4.44317343675629,9.428749999999999,10.037499999999998,8.963178348075001,8.416184004772042,9.873249071351218,10.664290176991976,14.264875,12.188500000000001,10.726880549554789,13.931134072019237,9.270602224644552,10.104597333092263,8.713125,13.860000000000003,10.690492410714207,15.391961494376844,11.412183676122062,6.904887556193881,3.3150000000000004,4.000000000000002,3.3322906599992903,2.593917178614496,3.912244942381753,3.2610421249003325
2003-02-28,POMRB,4.93,9.87,13.92,4.6,2.655,5.27875,5.114999999999997,4.847735002576834,4.907711131531287,5.158770946703178,4.235286589518494,9.915000000000001,9.542499999999997,9.325907008845,8.614647538544649,10.934087842925482,14.986375311860265,14.940333333333335,12.837000000000002,12.004128329732874,14.053403249067575,12.548095647222874,14.0097867848361,5.2425,11.371250000000003,8.254295446428523,14.481939745143109,12.857889569235793,10.711371015272514,3.089375,3.413750000000002,3.0613743959995743,2.6048120012388214,4.048070531217495,3.2639961176110686
2003-05-31,PREMON,8.95,14.14,32.585,5.8,5.8100000000000005,5.228541666666667,5.203749999999996,6.4886410015461005,6.244131395750791,7.76267547587404,7.0466363809701384,11.1375,9.314999999999998,11.251544205307,9.727082178139472,13.452971898793994,13.492614567267303,14.4525,15.692750000000002,20.236476997839723,18.95012711655008,18.465365266446355,18.903219831248517,3.79125,6.055000000000002,7.272577267857114,13.682160597194349,14.760826762327444,13.979955590524511,3.123125,3.2162500000000027,4.160824637599745,2.6157526088171865,4.694146460833685,4.566176454289956
