Date,Season,Mandla,Nainpur,Narayanganj,Bijadandi,Niwas,Bichhiya,Mawai,Mohgaon,Mandla_Trend,Mandla_SMA,Mandla_EWMA,Mandla_DES,Mandla_TES,Mandla_ARIMA,Nainpur_Trend,Nainpur_SMA,Nainpur_EWMA,Nainpur_DES,Nainpur_TES,Nainpur_ARIMA,Narayanganj_Trend,Narayanganj_SMA,Narayanganj_EWMA,Narayanganj_DES,Narayanganj_TES,Narayanganj_ARIMA,Bijadandi_Trend,Bijadandi_SMA,Bijadandi_EWMA,Bijadandi_DES,Bijadandi_TES,Bijadandi_ARIMA,Niwas_Trend,Niwas_SMA,Niwas_EWMA,Niwas_DES,Niwas_TES,Niwas_ARIMA,Bichhiya_Trend,Bichhiya_SMA,Bichhiya_EWMA,Bichhiya_DES,Bichhiya_TES,Bichhiya_ARIMA,Mawai_Trend,Mawai_SMA,Mawai_EWMA,Mawai_DES,Mawai_TES,Mawai_ARIMA,Mohgaon_Trend,Mohgaon_SMA,Mohgaon_EWMA,Mohgaon_DES,Mohgaon_TES,Mohgaon_ARIMA
1996-02-29,POMRB,4.938571428571429,2.845,2.13,1.55,2.255,3.398333333333333,4.24,1.91,,,4.938571428571429,3.867142549776155,4.560406572450268,0.0,,,2.845,1.6497166862810138,4.6181043335197725,0.0,,,2.13,3.2464662856861244,1.688726845515193,0.0,,,1.55,7.799668671723989,1.7575,0.0,,,2.255,4.694407394516599,3.219881152293048,0.0,,,3.398333333333333,3.81535772794013,3.977591776488698,0.0,,,4.24,12.082824604499804,6.114374866351216,0.0,,,1.91,9.706087738720464,3.580539984068274,0.0
1996-05-31,PREMON,6.8375,7.3125,2.73,5.15,4.0150000000000015,5.078333333333333,9.16,6.933333333333334,,,5.698142857142857,4.171264876206011,6.916163404137117,1.6039509018856912,,,4.632000000000001,2.183545069314747,5.721879669623528,2.7020341098850297e-07,,,2.37,3.8828332445838063,3.380681336880093,2.129996412898843,,,2.99,14.125356474708509,5.5270637119113575,1.549995422277821,,,2.9590000000000005,6.953650704028507,4.8433220701372015,-2.920132612326785e-10,,,4.070333333333333,4.051980877686054,4.781374625382845,3.3983252407134397,,,6.208,18.091393602046885,9.551956681883535,1.3853780546853605,,,3.9193333333333333,18.191387720035667,5.9100776969907045,1.9099853730375786
1996-08-31,MONSOON,3.98375,2.6625,0.475,0.95,1.475,3.06,7.53,0.6499999999999999,4.779040178571429,,5.012385714285714,3.7419764485369256,3.643923588327721,2.4333651800703358,4.5490625,,3.8442000000000007,1.7565583182014466,2.2715829556235034,8.83556232274154e-07,1.5643749999999998,,1.6119999999999999,3.5008467357953355,0.6163793952411474,2.474257487917154,2.2750000000000004,,2.174,10.068542841644515,1.4604537258001389,3.5224086235226686,2.46,,2.3654,7.961430875103059,1.1732032527173804,-8.751919502002573e-10,3.8958333333333335,,3.6662,3.823466055979863,2.242769864707464,4.300254355120435,7.862500000000001,,6.736800000000001,18.025462133144128,4.598856683416314,3.0856675401415496,3.8525,,2.6115999999999997,10.009025777888496,1.3502718816834958,3.8772333088622006
1996-11-30,POMKH,3.905,4.5525,1.2,1.35,1.96,3.5933333333333337,8.5,4.533333333333333,4.715468749999999,4.916205357142857,4.569431428571429,3.438450603867394,3.952251725597413,2.4020168007097036,4.736875,4.343125000000001,4.1275200000000005,1.947073538022376,3.8237359201466634,8.468579926195177e-07,1.663125,1.6337499999999998,1.4471999999999998,3.240039708120548,1.3175162604524213,1.5726233853677745,2.4,2.25,1.8444,5.5222820885049915,1.9600561653845943,2.2284650971950652,2.5450000000000004,2.4262500000000005,2.20324,8.718368858111148,3.7094811268702728,-1.108997015019445e-09,4.1066666666666665,3.7825,3.6370533333333332,3.752999641274388,3.5170600473943874,3.7912633594470795,8.73,7.3575,7.442080000000001,15.97527473005454,7.369649047352125,3.1821742750003414,4.12125,3.506666666666667,3.3802933333333334,7.206626851424027,2.9911737931731093,4.113536456807041
1997-02-28,POMRB,3.84125,4.4925000000000015,1.575,1.75,2.525,4.305,8.28,4.676666666666667,4.80671875,4.641875,4.2781588571428575,3.2374172420654292,4.700255158422093,4.760895343672713,4.7759375,4.755000000000001,4.273512,2.1850666961459027,4.856339892298448,2.8450001147428488,1.90625,1.4949999999999999,1.4983199999999999,3.02383659805732,1.7306707875371403,1.9775818939678738,2.5625,2.3,1.8066400000000002,2.8309761864961884,2.163196431714824,1.6422736390735548,2.593125,2.4937500000000004,2.331944,9.189380689765954,3.2122784025715,1.4608229880377426,4.182916666666666,4.009166666666667,3.904232,3.8437963754911424,4.181941507843735,3.5907954053451676,8.47625,8.3675,7.777248,12.687226573650168,5.748913486716111,4.275746085745442,4.59,4.198333333333333,3.8988426666666665,5.306303748325388,3.6965258290779603,2.65015605070898
1997-05-31,PREMON,7.42625,7.1675,4.075,5.95,4.425,5.8583333333333325,12.06,6.316666666666666,4.779375,4.7890625,5.537395314285714,4.189257171301122,6.836054219033513,6.239394384077243,4.798125000000001,4.718750000000001,5.4311072000000005,3.1568293496267694,6.318350329572918,7.515031170847008,2.053125,1.8312499999999998,2.528992,3.6476710445953584,3.422568028716239,2.367509623897032,2.8525,2.4999999999999996,3.4639840000000004,5.384087699531636,5.799098398255162,4.656223246708422,2.6112499999999996,2.5962500000000004,3.1691664,9.91851957684625,4.845365618432797,2.6009775156235713,4.031041666666667,4.2041666666666675,4.685872533333333,4.23479730883734,5.220536742912223,4.362071195744985,7.6375,9.092500000000001,9.4903488,12.9667692233406,10.316384987299516,9.447516472661913,4.825,4.0441666666666665,4.865972266666667,6.051018832763235,6.323569845443244,4.985734063578008
1997-08-31,MONSOON,4.125,3.12,1.0750000000000002,1.45,1.45,2.89,2.6,5.016666666666667,4.672499999999999,4.824375,4.972437188571428,4.107839835005201,3.719909590218635,4.121957959056413,4.6440625,4.833125000000001,4.5066643200000005,3.0472137071630865,2.6795717320058663,2.76455766670224,2.166875,1.9812499999999997,1.9473952,3.122809339452886,0.6583910435704932,1.058214972840954,3.05875,2.6249999999999996,2.6583904,2.72372754595021,1.7392538381957143,1.3409260923178792,2.565,2.5900000000000003,2.4814998399999997,8.989109048775692,1.2160001308714143,0.9555272313943718,3.6489583333333333,4.161666666666668,3.96752352,3.9326233296508537,2.795887595489416,4.21417070068537,7.08875,7.860000000000001,6.73420928,6.135733266158894,6.824643290658242,7.771230966083258,4.129166666666666,5.135833333333333,4.926250026666667,5.119882008820827,1.6481413800828162,2.5644852738719472
1997-11-30,POMKH,3.5450000000000013,4.2725,1.775,3.17,2.13,2.5483333333333333,6.72,2.046666666666667,4.378281250000001,4.734375,4.401462313142858,3.8773297460146874,3.950711708195566,4.0145410225233125,4.3634375,4.7631250000000005,4.412998592,3.2647563131728585,4.244310452543821,4.645035559771459,2.16,2.125,1.87843712,2.822931013080702,1.3595814210758723,1.4062023767484968,2.78125,3.0799999999999996,2.86303424,2.7582807484772993,2.213369496558207,1.55442139401309,2.39,2.6325000000000003,2.3408999039999996,7.941319307931809,3.693698520039825,1.269717541532597,3.2129166666666666,3.9004166666666675,3.399847445333333,3.6241571025178705,3.828410863439233,3.9488167853574243,6.38625,7.415000000000001,6.728525568,5.402626699920201,7.97312299699834,5.998042758500576,3.4050000000000002,4.514166666666666,3.7744166826666667,2.293301751344684,3.745715703844663,4.609382003366048
1998-02-28,POMRB,3.34625,3.54,1.91,1.58,1.985,2.293333333333333,5.67,1.596666666666667,4.068883928571429,4.610625000000001,3.979377387885715,3.630356822422778,4.487714972913782,4.3413677792018435,4.154375,4.525,4.0637991552,3.289951512179056,5.098828339085177,3.8733499017163258,2.05375,2.20875,1.891062272,2.574835638289677,1.7727870629969673,1.8952812272722517,2.47,3.0374999999999996,2.349820544,1.6453470828158014,2.736146566985231,1.9123453227722638,2.2968750000000004,2.4975,2.1985399424,6.664074515925056,3.2245462324139327,1.877551738691186,2.8449999999999998,3.397500000000001,2.9572418005333327,3.3285526399248533,4.039810494910101,3.584712895180324,6.40875,6.762500000000001,6.3051153408000005,4.711791629062489,6.513801804164356,6.13211874406155,2.925,3.7441666666666666,2.903316676266667,1.1750027738017839,4.0872819626569,4.199233400895393
1998-05-31,PREMON,5.5675,5.875,3.685,3.9,3.5650000000000004,4.381666666666667,9.05,3.603333333333333,4.028844246031746,4.1459375000000005,4.614626432731429,4.094896465890472,6.910041829054004,6.596984875323362,4.1421875,4.201875,4.78827949312,3.9476399278598366,6.257072647951588,7.243010561192106,2.0425,2.11125,2.6086373632,2.9436137789445502,3.464712403430269,3.1741106538729635,2.44625,2.5249999999999995,2.9698923264,3.4124968430881433,6.424453529104625,5.268488248240615,5.854583333333334,2.2824999999999998,2.7451239654400004,5.924088225584673,4.827614796610517,3.315029659863034,3.055625,3.0283333333333347,3.527011746986666,3.524966662418314,4.453345872397683,3.9071734896386543,6.757499999999999,6.010000000000002,7.403069204480001,7.46216026149154,10.337833076424413,9.9547507250271,2.7666666666666666,3.065833333333333,3.1833233390933335,3.1330004595960084,6.324776313511332,5.8950689437147545
