Date,Season,Khekra,Binauli,Baraut,Chhaprauli,Pilana,Baghpat,Khekra_Trend,Khekra_SMA,Khekra_EWMA,Khekra_DES,Khekra_TES,Khekra_ARIMA,Binauli_Trend,Binauli_SMA,Binauli_EWMA,Binauli_DES,Binauli_TES,Binauli_ARIMA,Baraut_Trend,Baraut_SMA,Baraut_EWMA,Baraut_DES,Baraut_TES,Baraut_ARIMA,Chhaprauli_Trend,Chhaprauli_SMA,Chhaprauli_EWMA,Chhaprauli_DES,Chhaprauli_TES,Chhaprauli_ARIMA,Pilana_Trend,Pilana_SMA,Pilana_EWMA,Pilana_DES,Pilana_TES,Pilana_ARIMA,Baghpat_Trend,Baghpat_SMA,Baghpat_EWMA,Baghpat_DES,Baghpat_TES,Baghpat_ARIMA
1996-02-29,POMRB,17.7975,11.6,10.25,7.85,15.42,11.31,,,17.7975,26.601051298975257,17.7975,0.0,,,11.6,11.650612268201668,11.585933708915952,0.0,,,10.25,11.366521503947654,10.252196480290545,0.0,,,7.85,10.042445835728408,7.377545595438823,0.0,,,15.42,12.97264378859963,10.852819020553099,0.0,,,11.31,11.447431063528967,11.255845578403767,0.0
1996-05-31,PREMON,23.465,11.6,10.4,9.15,9.07,12.69,,,20.064500000000002,31.23702375988523,23.465000000000003,2.202061291077283e-19,,,11.6,11.65910351706239,11.870907030126823,11.599968049497011,,,10.309999999999999,11.363913698837758,10.3218222067296,10.126579458427821,,,8.370000000000001,11.11644018827043,10.157757698291796,1.792657112516302,,,12.879999999999999,11.476767233146377,14.304085467674334,15.419901549899295,,,11.862000000000002,11.899015997895969,12.544823034263242,11.309992622452235
1996-08-31,MONSOON,21.57333333333333,11.6,9.27,7.3,8.3,10.81,19.775624999999998,,20.668033333333334,31.728089468307314,21.573333333333334,6.661127699532021e-20,11.6,,11.6,11.663360517503273,12.381867920140063,11.600017393916662,10.403749999999999,,9.893999999999998,11.361306083372087,9.856694719788319,10.271806471894326,8.385,,7.942,10.901531039501757,7.854902347069204,1.772592877062783,9.594999999999999,,11.047999999999998,10.259241323247677,12.234258280582289,11.889283577338926,11.41125,,11.441200000000002,11.51743749635243,11.696570336107037,11.878472985159533
1996-11-30,POMKH,16.266666666666666,11.6,10.3,8.69,8.75,10.96,19.775625,19.775624999999998,18.907486666666667,26.90636323731312,16.26666666666667,1.0699085961734573e-20,11.6,11.6,11.6,11.6654947209698,11.822892979682226,11.599988078874231,11.0825,10.055,10.0564,11.358699440316647,8.354560529610229,9.320234516038363,8.938749999999999,8.2475,8.2412,10.995565114202622,8.30241858536398,2.7735482455351357,8.95875,10.385000000000002,10.128799999999998,9.681457399460626,9.023731098336786,10.284862940478217,11.28875,11.4425,11.248720000000002,11.325631679767328,10.868974325183583,11.895838956127072
1997-02-28,POMRB,17.7975,11.6,13.04,8.95,9.1,11.06,19.775624999999998,19.775624999999998,18.463492000000002,23.138275506262296,17.797500000000003,17.797494294223167,11.983125000000001,11.6,11.6,11.666564681966936,11.012711023268475,11.600025651141065,11.88375,10.7525,11.249839999999999,11.356094389172519,11.70023777151009,10.212988319330373,9.466249999999999,8.522499999999999,8.524719999999999,10.946465149613855,7.492538507817881,7.77225594995026,9.274999999999999,8.805000000000001,9.717279999999999,9.459628779406467,9.093003788541221,9.653221972604644,11.347500000000002,11.38,11.173232000000002,11.238011512601737,11.088578145772143,10.925677238692026
1997-05-31,PREMON,23.465,11.6,13.04,12.48,10.3,11.96,19.775624999999998,19.775624999999998,20.464095200000003,23.40210114533146,23.465,23.46499247725505,12.741875,11.6,11.6,11.667101095928091,11.702054397439635,11.599997923655302,12.354999999999999,11.4125,11.965903999999998,11.35348993656567,13.062609223790892,12.473283258536009,9.495,9.354999999999999,10.106832,12.258861401566024,9.773738120558978,9.271959683020231,9.53125,9.112500000000002,9.950368,9.783390894495554,10.680240213236837,9.432495908403109,11.4825,11.197500000000002,11.487939200000003,11.503372487858611,12.379891256549437,11.68405954409162
1997-08-31,MONSOON,21.57333333333333,14.665,13.04,8.19,9.6,12.01,19.775624999999998,19.775624999999998,20.907790453333334,22.43961235423822,21.57333333333333,21.573326417045905,13.353333333333333,12.366249999999999,12.826,13.20467590653856,12.25878067132286,11.60000190725895,12.180624999999997,12.355,12.3955424,11.350886082358578,12.500390831953638,12.27660274993221,8.66,9.577499999999999,9.340099200000001,11.379442891465635,8.133154098888857,7.955308953138978,9.572500000000002,9.437500000000004,9.8102208,9.71433229743533,10.594480281926469,9.774653709218418,11.4175,11.4975,11.696763520000001,11.691921659409664,10.909845569577243,10.967713701499223
1997-11-30,POMKH,16.266666666666666,14.605,10.3,8.03,9.5,10.84,19.775625,19.775624999999998,19.051340938666666,18.712353845317438,16.266666666666666,16.26666145166626,13.964166666666666,13.117499999999998,13.537600000000001,13.945429173006149,14.317046360238159,14.428103030331494,11.841249999999999,12.355,11.55732544,11.348281833405123,12.083256150120866,12.326981663818096,7.47125,9.4125,8.81605952,10.38894499324739,9.055638422522419,8.57977247932495,9.5325,9.625000000000004,9.68613248,9.633390775149943,8.585622489752268,9.706060728120287,11.33625,11.4675,11.354058112,11.394961567242033,11.246311955797118,11.755905713775618
1998-02-28,POMRB,17.7975,13.486666666666665,11.645,2.93,8.68,10.66,19.775624999999998,19.775624999999998,18.5498045632,17.135256785819962,17.7975,17.797501354128244,14.460625,13.589166666666662,13.517226666666666,13.75587801764866,14.050020778031719,14.826278220125975,11.440625,12.00625,11.592395264,11.345678670248295,11.836978368864347,10.428705577138896,6.961250000000001,7.9075,6.461635712,7.506879186439137,8.517438580794161,8.267612417776402,10.2725,9.520000000000003,9.283679487999999,9.26882785822836,9.14054877273447,9.625260786277837,11.16,11.3675,11.0764348672,11.139618122548809,11.222774790965794,11.16777355460577
1998-05-31,PREMON,23.465,14.6,11.72,8.99,10.4,11.71,19.775624999999998,19.775624999999998,20.515882737920002,19.725081969421108,23.465,23.465001785341723,14.582083333333333,14.339166666666662,13.950335999999998,14.219260852549791,13.71099593081247,13.407500388223136,11.205,11.67625,11.643437158400001,11.343076132375675,11.723781982910277,11.693628012506885,6.78375,7.034999999999999,7.4729814272,7.5992711152595005,10.431012541311354,9.591254643842843,10.8375,9.545000000000002,9.7302076928,9.704157888959713,10.53667059753741,9.254824449615548,10.76,11.305,11.32986092032,11.350721602050777,12.151545311624405,11.482243493689165
