Date,Season,Patiyali,Kasganj,Soron,Sidhpura,Amanpur,Sahawar,Ganj Dundwara,Patiyali_Trend,Patiyali_SMA,Patiyali_EWMA,Patiyali_DES,Patiyali_TES,Patiyali_ARIMA,Kasganj_Trend,Kasganj_SMA,Kasganj_EWMA,Kasganj_DES,Kasganj_TES,Kasganj_ARIMA,Soron_Trend,Soron_SMA,Soron_EWMA,Soron_DES,Soron_TES,Soron_ARIMA,Sidhpura_Trend,Sidhpura_SMA,Sidhpura_EWMA,Sidhpura_DES,Sidhpura_TES,Sidhpura_ARIMA,Amanpur_Trend,Amanpur_SMA,Amanpur_EWMA,Amanpur_DES,Amanpur_TES,Amanpur_ARIMA,Sahawar_Trend,Sahawar_SMA,Sahawar_EWMA,Sahawar_DES,Sahawar_TES,Sahawar_ARIMA,Ganj Dundwara_Trend,Ganj Dundwara_SMA,Ganj Dundwara_EWMA,Ganj Dundwara_DES,Ganj Dundwara_TES,Ganj Dundwara_ARIMA
1996-02-29,POMRB,3.995,8.63,7.399999999999999,4.9,1.82,4.88,5.4,,,3.995,4.390671229803231,4.265788594202584,0.0,,,8.63,8.758326699978142,8.710436493383988,0.0,,,7.399999999999999,7.0357394893679475,7.307980997756132,0.0,,,4.9,5.062681739392459,4.901516673198792,0.0,,,1.82,2.2152492858931874,1.81992311035774,0.0,,,4.88,5.051962319950287,5.1654985569372185,0.0,,,5.4,5.4480248544464835,5.4,0.0
1996-05-31,PREMON,4.99,8.9,7.05,5.285,2.73,5.7,5.4,,,4.393,4.607140562779318,4.887577284173026,3.9949986743536563,,,8.738,8.760870943648165,9.320020152015523,3.943226393944016,,,7.259999999999999,7.040774455475837,7.725624368800955,7.399992021979091,,,5.054,5.122242298942195,5.251725661438177,4.899999879559626,,,2.184,2.03487139033764,2.802583912490655,1.819999225426945,,,5.208,5.407188670489761,5.34841129935901,4.879998526676178,,,5.4,5.450245066123431,5.4,5.3999998190065766
1996-08-31,MONSOON,4.5,8.5,6.44,5.85,0.48,4.73,5.4,4.9275,,4.4357999999999995,4.604600146123438,4.416397972930602,4.801428434882299,8.797916666666666,,8.642800000000001,8.762822627995204,9.091402776961218,2.8624695815648877,6.805000000000001,,6.9319999999999995,6.885282505210468,6.600974174005563,7.237891969755171,5.12375,,5.3724,5.315800918418203,5.953828915751624,5.2202871569602864,1.95,,1.5024,1.4652165412878937,1.3943729416545407,2.392949366256356,6.48,,5.0168,5.000209906579894,5.005138799408343,5.520817780562357,5.44625,,5.4,5.452466182582752,5.4,5.399999911586512
1996-11-30,POMKH,5.54,8.586666666666666,6.706666666666666,4.72,2.25,8.7,5.585,5.055,4.75625,4.87748,4.927378595309316,4.3832335669089115,4.22056410937178,9.051666666666666,8.654166666666667,8.620346666666666,8.764899678984728,7.956463707789959,7.042803466949929,6.776250000000001,6.899166666666667,6.841866666666666,6.839947498878952,6.393445283533261,6.887833989699335,4.988124999999999,5.18875,5.11144,5.158511386730113,4.900581710150317,5.516935186242629,2.11875,1.8199999999999998,1.80144,1.4101464598526112,1.591368566437798,1.2851366540187552,6.93125,6.0024999999999995,6.49008,7.108089263480939,5.221236452636825,4.806570025030487,5.44625,5.446250000000001,5.474,5.454688205165837,5.585,5.39999979672037
1997-02-28,POMRB,5.365,9.78,6.6466666666666665,4.38,2.86,8.7,5.4,4.933125,5.09875,5.072488,5.096984393276187,4.889906875471632,5.106294405066216,9.321666666666667,8.941666666666666,9.084208,8.768732862803532,8.662313184487813,8.614301380108667,6.9520833333333325,6.710833333333333,6.763786666666666,6.79077638064298,7.16091347987696,7.028675452245399,4.9174999999999995,5.05875,4.818864,4.9527663699355715,4.779772260900174,4.742138801509126,2.4225000000000003,2.0799999999999996,2.2248639999999997,1.5396515539296491,1.8674947438980758,1.9073936789561978,6.9887500000000005,6.957499999999999,7.374048,7.99845514764073,7.2380878107013285,7.479674949606105,5.44625,5.446250000000001,5.4444,5.456911132296603,5.4,5.409075390839465
1997-05-31,PREMON,4.64,9.78,7.573333333333334,4.72,3.04,5.49,5.4,4.918749999999999,5.01125,4.899492799999999,4.988556191870476,5.813235692142464,5.055623127095392,9.383333333333333,9.161666666666667,9.3625248,8.77256141973283,9.254937896842245,9.39827180140098,7.04,6.841666666666668,7.087605333333333,6.996295666587114,6.950751136412142,6.740684737450955,4.9175,4.9174999999999995,4.779318399999999,4.891671589832892,4.95415866418721,4.898673373139259,2.72625,2.1574999999999998,2.5509184,1.7315033278674272,2.934266217669192,2.77108599114591,7.0725,6.9049999999999985,6.620428800000001,6.531190694487321,8.51010410684505,8.054848789909133,5.44625,5.446250000000001,5.42664,5.459134965316345,5.4,5.409196754745447
1997-08-31,MONSOON,3.875,9.78,7.323333333333332,5.85,2.6,5.4,5.4,4.856249999999999,4.855,4.48969568,4.674510646593327,4.826341644413085,4.584388042049889,9.093749999999998,9.481666666666667,9.529514879999999,8.776385355357531,9.049912358874401,8.684834093362,6.94875,7.062500000000001,7.181896533333333,7.082960006900455,6.694534618669239,6.756985378865484,5.0475,4.917499999999999,5.207591039999999,5.146325474699881,5.460065862098203,5.394001926652322,2.6025,2.6874999999999996,2.57055104,1.8288648794222337,1.3344552902316786,1.21144280876383,6.614999999999999,7.072499999999999,6.132257280000001,5.8597370069523675,6.065366554967896,5.283557487776482,5.44625,5.446250000000001,5.415984,5.461359704594232,5.4,5.408815498831227
1997-11-30,POMKH,6.05,7.8,6.526666666666666,4.72,2.56,8.7,5.585,4.708125000000001,4.982500000000001,5.113817407999999,5.13509253321818,4.374777065573709,4.584614886564277,8.9025,9.285,8.837708928,8.777286708382944,8.507870230792108,9.058832149855295,6.832083333333333,7.017500000000001,6.919804586666666,6.939085769388073,7.083225184117807,7.23795943460508,5.3187500000000005,4.917499999999999,5.012554623999999,5.0339425456380456,4.608437573608071,5.14031032243355,2.4225,2.7649999999999997,2.566330624,1.926386194101836,2.148372198180338,2.665231937690881,6.146249999999999,7.072499999999999,7.159354368000001,7.471152549895753,6.0382481185387515,6.749251525476472,5.44625,5.446250000000001,5.4835904,5.463585351472258,5.585,5.557116969902022
1998-02-28,POMRB,4.355,8.25,6.096666666666668,5.42,1.56,5.04,5.4,4.57875,4.73,4.8102904448,4.92609051718825,5.091048533895467,5.727866873665921,8.9025,8.9025,8.602625356799999,8.778850147693694,9.274131928294835,8.700983970647442,6.546666666666667,6.880000000000001,6.590549418666667,6.72050412542632,7.065425186052433,7.043611241619107,5.46,5.177499999999999,5.175532774399999,5.136906404313871,4.522308724674046,4.529608231605092,2.2425,2.44,2.1637983744,1.7927099430865758,2.4823322740252314,2.5085909739280043,5.872499999999999,6.1575,6.3116126208,6.050044553438133,7.545883013086867,8.177488650614382,5.44625,5.446250000000001,5.45015424,5.46581190437494,5.4,5.4074418983217845
1998-05-31,PREMON,4.465,9.78,7.19,5.85,2.9,5.4,5.4,3.8625000000000003,4.68625,4.67217426688,4.8152349986859075,5.524745010812307,4.089899153193607,8.9025,8.9025,9.073575214079998,8.782666492408476,9.437389504895398,9.217132661655945,6.038333333333333,6.784166666666667,6.8303296512000005,6.844299458509625,7.106307887746966,6.770088485936824,5.459999999999999,5.459999999999999,5.4453196646399995,5.32657941571388,5.4053236429127525,5.463271789954168,1.7862500000000001,2.4050000000000002,2.4582790246399995,1.9982857658653257,3.1306581655124144,2.484285918302677,4.8375,6.135,5.94696757248,5.656501414800098,6.344903257556409,4.537868147358982,5.44625,5.446250000000001,5.430092544,5.468039364644175,5.4,5.407423494526459
