Date,Season,Chamraon,Suar,Milak,Shahabad,Bilaspur,Chamraon_Trend,Chamraon_SMA,Chamraon_EWMA,Chamraon_DES,Chamraon_TES,Chamraon_ARIMA,Suar_Trend,Suar_SMA,Suar_EWMA,Suar_DES,Suar_TES,Suar_ARIMA,Milak_Trend,Milak_SMA,Milak_EWMA,Milak_DES,Milak_TES,Milak_ARIMA,Shahabad_Trend,Shahabad_SMA,Shahabad_EWMA,Shahabad_DES,Shahabad_TES,Shahabad_ARIMA,Bilaspur_Trend,Bilaspur_SMA,Bilaspur_EWMA,Bilaspur_DES,Bilaspur_TES,Bilaspur_ARIMA
1996-02-29,POMRB,4.07,3.92,3.475,5.799999999999999,4.854,,,4.07,4.506824643917014,4.590295732150945,0.0,,,3.92,3.9058929837409058,3.7861618670410873,0.0,,,3.475,5.9644823101716895,3.686911189165902,0.0,,,5.799999999999999,3.7426121459185047,5.314596454235813,0.0,,,4.854,6.39175177021556,6.046582792980514,0.0
1996-05-31,PREMON,4.96,4.84,4.92,6.1675,6.33,,,4.426,4.391027089709087,5.8714165547487145,2.07145413795605,,,4.288,4.169425140343706,4.589451652062289,2.8884184041647814,,,4.053,7.404637342501998,4.111074325429743,2.048256952165735,,,5.946999999999999,3.7801417200516045,5.975786688866103,5.7999816594067966,,,5.4444,6.39476245998885,6.531692638407295,1.668584506466167
1996-08-31,MONSOON,4.335,2.235,1.135,2.67,4.946666666666666,4.852500000000001,,4.3896,4.1669363974402325,3.8721648692504087,2.734289928295796,3.4891666666666667,,3.4668,3.5741208291875957,3.4749888222436116,3.7178483663902937,3.07,,2.8858,5.984089674584379,2.2942694621858206,2.9985736095806867,4.803125,,4.6362,3.817803136041171,4.011827022574729,5.9472145028752905,5.372166666666667,,5.245306666666666,6.3976113540517785,5.925519779928878,2.3967646384885115
1996-11-30,POMKH,5.285,3.2433333333333336,2.905,4.4,4.64,5.2749999999999995,4.6625000000000005,4.7477599999999995,4.230203620569718,3.945526879424305,2.9814661687699955,3.4512500000000004,3.5595833333333333,3.3774133333333336,3.4607556897638174,3.2737955938349934,3.1872378044671863,3.2868749999999998,3.1087499999999997,2.8934800000000003,5.298393870644961,3.0363646787940564,1.7060356252157338,4.7184375,4.759375,4.54172,3.8559567779823998,3.830266576318164,5.0430973190560975,5.5562499999999995,5.192666666666667,5.003183999999999,6.400425153332011,5.391806626412073,2.72245411773833
1997-02-28,POMRB,5.59,3.356666666666667,3.165,6.15,6.29,5.64375,5.0425,5.084656,4.364043927748357,4.699725222804655,3.994791106215192,3.781458333333334,3.4187499999999997,3.3691146666666674,3.415638050503951,3.352278893401849,3.3635698181033504,3.7856249999999996,3.0312499999999996,3.002088,4.660470950607887,4.052294950856957,3.2570009579262917,4.903125,4.846875000000001,5.185032,3.894608907577344,5.649962799221384,4.443512305000308,5.68,5.551666666666667,5.5179104,6.403434207949487,6.088776008877858,4.602385086477351
1997-05-31,PREMON,6.82,5.1000000000000005,6.965,5.1400000000000015,6.366666666666667,5.814375,5.5075,5.7787936,4.775192726796489,6.330613445733546,5.090588109840105,4.3875,3.4837499999999997,4.061468800000001,3.9054994634824167,4.092180171545779,4.053918698600144,4.331875,3.542499999999999,4.5872528,6.072212717701938,4.306815252494768,4.4053827613457575,4.989583333333334,4.590000000000001,5.1670192,3.9335748820406278,6.201893244200083,5.419176195281696,5.662916666666666,5.560833333333333,5.857412906666667,6.406453355204985,6.573885870544094,6.342176601358409
1997-08-31,MONSOON,5.425,4.616666666666666,3.08,5.175,5.9,5.87,5.78,5.63727616,4.774284477100089,4.678707220571152,4.762966676823455,4.91875,4.079166666666667,4.283547946666667,4.10236799954519,3.348533679646713,2.6269451880104158,5.295624999999999,4.028749999999999,3.98435168,5.1110421440084135,3.1442494268979715,2.403255526844033,4.39,5.2162500000000005,5.1702115200000005,3.972929592533942,3.438532373952532,4.5048537358047485,5.287083333333333,5.799166666666666,5.874447744000001,6.409418630878286,5.967713012001287,4.685997665254745
1997-11-30,POMKH,5.5600000000000005,5.71,5.33,2.5866666666666664,3.55,5.841875,5.84875,5.606365696,4.815179678432988,4.822355859458755,5.083620837356483,5.207291666666666,4.695833333333334,4.854128768000001,4.5665085150071825,4.375503096560324,4.165380527279609,5.645625000000001,4.634999999999998,4.522611008,5.3702867391744915,4.994584371027336,3.689019220674531,4.007083333333333,4.762916666666667,4.1367935786666665,4.0124966883777775,4.514264193006644,5.06730064802495,4.963333333333334,5.526666666666666,4.9446686464,6.412108287007314,5.433999869100314,4.658321808328421
1998-02-28,POMRB,5.76,5.1400000000000015,8.45,3.1666666666666665,4.373333333333334,5.635,5.89125,5.6678194176,4.904364597047361,5.42732369189434,4.85307275064624,4.928958333333334,5.1416666666666675,4.9684772608,4.719535663351032,5.122371740210879,4.726710746446539,5.05375,5.956249999999998,6.0935666047999995,7.252421167490243,6.135787236285046,4.126152558387824,3.5506249999999993,4.017083333333334,3.7487428138666665,4.052495905832173,5.877659551427636,5.247496860285551,4.716666666666667,5.0475,4.716134521173334,6.414895829235465,6.1309692383747425,5.496779885372133
1998-05-31,PREMON,6.425,5.625,4.48,5.06,5.6933333333333325,5.0575,5.7925,5.97069165056,5.1442680889228845,6.919948874635203,5.9374219330808735,4.275625000000001,5.272916666666667,5.2310863564800005,4.971213236197265,5.868756544125066,5.700759638841813,4.338749999999999,5.334999999999998,5.448139962879999,6.586563592447098,9.814990573256406,8.080649734745847,3.0389583333333334,3.9970833333333333,4.273245688319999,4.093021748453412,5.282523572393279,4.116939772912016,4.3566666666666665,4.879166666666666,5.107014046037333,6.417839765887502,6.616079077218004,5.352263835936102
