Date,Season,Karimpur-i,Shantipur,Kaliganj,Hanskhali,Krishnaganj,Krishnanagari,Krishnanagar-ii,Tehata-i,Ranaghati & Ii,Haringhata,Tehata-ii,Chakdah,Chapra,Navadwip,Karimpur-ii,Nakashipara,Karimpur-i_Trend,Karimpur-i_SMA,Karimpur-i_EWMA,Karimpur-i_DES,Karimpur-i_TES,Karimpur-i_ARIMA,Shantipur_Trend,Shantipur_SMA,Shantipur_EWMA,Shantipur_DES,Shantipur_TES,Shantipur_ARIMA,Kaliganj_Trend,Kaliganj_SMA,Kaliganj_EWMA,Kaliganj_DES,Kaliganj_TES,Kaliganj_ARIMA,Hanskhali_Trend,Hanskhali_SMA,Hanskhali_EWMA,Hanskhali_DES,Hanskhali_TES,Hanskhali_ARIMA,Krishnaganj_Trend,Krishnaganj_SMA,Krishnaganj_EWMA,Krishnaganj_DES,Krishnaganj_TES,Krishnaganj_ARIMA,Krishnanagari_Trend,Krishnanagari_SMA,Krishnanagari_EWMA,Krishnanagari_DES,Krishnanagari_TES,Krishnanagari_ARIMA,Krishnanagar-ii_Trend,Krishnanagar-ii_SMA,Krishnanagar-ii_EWMA,Krishnanagar-ii_DES,Krishnanagar-ii_TES,Krishnanagar-ii_ARIMA,Tehata-i_Trend,Tehata-i_SMA,Tehata-i_EWMA,Tehata-i_DES,Tehata-i_TES,Tehata-i_ARIMA,Ranaghati & Ii_Trend,Ranaghati & Ii_SMA,Ranaghati & Ii_EWMA,Ranaghati & Ii_DES,Ranaghati & Ii_TES,Ranaghati & Ii_ARIMA,Haringhata_Trend,Haringhata_SMA,Haringhata_EWMA,Haringhata_DES,Haringhata_TES,Haringhata_ARIMA,Tehata-ii_Trend,Tehata-ii_SMA,Tehata-ii_EWMA,Tehata-ii_DES,Tehata-ii_TES,Tehata-ii_ARIMA,Chakdah_Trend,Chakdah_SMA,Chakdah_EWMA,Chakdah_DES,Chakdah_TES,Chakdah_ARIMA,Chapra_Trend,Chapra_SMA,Chapra_EWMA,Chapra_DES,Chapra_TES,Chapra_ARIMA,Navadwip_Trend,Navadwip_SMA,Navadwip_EWMA,Navadwip_DES,Navadwip_TES,Navadwip_ARIMA,Karimpur-ii_Trend,Karimpur-ii_SMA,Karimpur-ii_EWMA,Karimpur-ii_DES,Karimpur-ii_TES,Karimpur-ii_ARIMA,Nakashipara_Trend,Nakashipara_SMA,Nakashipara_EWMA,Nakashipara_DES,Nakashipara_TES,Nakashipara_ARIMA
1996-02-29,POMRB,3.49,3.8825,2.973333333333333,4.205,6.33,1.85,2.94,4.3100000000000005,4.55,3.23,4.745,3.9,3.5833333333333326,3.63,3.34,3.0533333333333332,,,3.49,3.224557866194068,3.6181837618769523,0.0,,,3.8825,3.6262215052740294,3.9854609392855385,0.0,,,2.973333333333333,1.6732285881312319,2.981857706135401,0.0,,,4.205,3.0275213896135527,3.9057587975760337,0.0,,,6.33,8.575834324293888,6.33,0.0,,,1.85,1.4750806428373489,1.977956206401332,0.0,,,2.94,2.9715459222977074,3.2881690005097592,0.0,,,4.3100000000000005,2.6154313806289684,3.56020496831716,0.0,,,4.55,4.006360805605844,4.416167686897527,0.0,,,3.23,3.2749605975684775,3.324250554214644,0.0,,,4.745,7.110976918637046,4.76625,0.0,,,3.9,3.25533346185207,4.313172783417923,0.0,,,3.5833333333333326,2.2126504161303373,3.7389968017492836,0.0,,,3.63,5.062024911871033,3.5008834975474907,0.0,,,3.34,6.031633086429559,3.579605372669667,0.0,,,3.0533333333333332,2.527592421396976,3.0158751655164218,0.0
1996-05-31,PREMON,5.325,4.975,4.37,5.255,7.7200000000000015,3.23,4.75,4.68,6.176666666666668,5.04,6.09,5.59,6.45,4.46,4.984999999999999,4.426666666666667,,,4.224,3.237141139110841,4.9766624437075,3.4899975555391562,,,4.3195,4.058921063902294,4.859500368984698,3.882498386798599,,,3.532,2.12395378882414,4.407772749653217,2.9733305376683132,,,4.625,3.251742590884219,5.076595543127562,4.204995872051802,,,6.886000000000001,9.695108165561068,7.7200000000000015,1.1918032710887707,,,2.402,1.765864485351023,3.2219146680416655,1.8499981426693954,,,3.664,4.426701002026928,4.248805667674744,2.9399979531189397,,,4.458,2.7822390864201245,5.075332620480192,4.309998699291563,,,5.200666666666667,4.424373849603036,5.769158195689636,1.4977592078379964,,,3.9539999999999997,4.6532597384794325,4.657665213693284,3.2299964653827202,,,5.2829999999999995,8.398928325980616,6.13132271468144,1.3799510760979115,,,4.5760000000000005,3.5279413970349403,5.440213058795478,3.8999953994728633,,,4.7299999999999995,3.2124525890766167,5.827096151693455,3.5833249242110448,,,3.9619999999999997,5.8051122236895925,4.40253293966739,3.629994880626831,,,3.9979999999999998,7.614704416063859,4.966700229325641,1.6598717371897673,,,3.602666666666667,2.7539442143334685,4.258193841934093,3.0533305292968387
1996-08-31,MONSOON,3.21,3.37,1.7333333333333334,2.545,4.585,0.33,2.75,0.8,4.08,1.79,2.5,3.255,2.0525,1.4225,2.385,1.6666666666666667,3.8387500000000006,,3.8184000000000005,3.2497735012161426,3.35351472950461,4.736879580846625,3.9043749999999995,,3.9397,3.8181547246882035,3.4370089843385285,4.610803626476274,3.0266666666666664,,2.812533333333333,1.976326977750569,1.8725066010060518,3.8956341604420075,3.795625,,3.793,3.0795695232374065,2.782686540151401,4.853768023259364,5.920625000000001,,5.9656,8.513208686721295,4.585,0.5837679602065131,1.61625,,1.5732,1.549482230021192,0.928847526772318,2.746179405924835,3.1587499999999995,,3.2984,4.484944223897322,2.723230619238437,4.139941393038837,2.59,,2.9947999999999997,2.6619190310035443,1.6604749662336276,4.651023531136217,4.590833333333333,,4.7524,4.06605935951589,4.058354772038275,1.7273666961819099,3.0774999999999997,,3.0884,4.188210101777804,2.1529501363423154,4.346352059969909,4.245,,4.1697999999999995,7.52020497012606,2.5602245033417486,1.4963435562956673,3.9931249999999996,,4.0476,3.5600804760033236,3.254703107402577,4.924068440400681,3.6387083333333337,,3.659,2.994231876530985,2.4435404348148184,4.898318253900807,3.1384375,,2.9461999999999997,4.871375188388644,1.9035247604295664,4.045145137270796,3.59625,,3.3527999999999993,6.474376270280421,2.375670632039892,2.6022810461764965,2.9112500000000003,,2.828266666666667,2.229984398136473,1.9060422679131865,3.912105007178004
1996-11-30,POMKH,3.175,3.29,3.01,3.165,4.955,0.88,2.19,1.34,3.6,2.04,3.495,3.05,2.5316666666666667,2.905,3.335,2.3400000000000003,3.851875,3.8000000000000007,3.56104,3.26245515851651,3.0592352344570974,3.422635756199999,3.995625,3.8793749999999996,3.6798200000000003,3.582038967548376,3.182694106624802,3.6817073372694513,3.0254166666666666,3.021666666666667,2.89152,2.13592807406812,2.6177244505877524,2.4345292652300157,3.8834375,3.7925000000000004,3.5418,3.015332165557637,3.0034455749183744,3.5747981763789687,5.728750000000001,5.897500000000001,5.5613600000000005,7.40308129203789,4.955,1.0611794648343618,1.88375,1.5725,1.29592,1.4399388224905132,1.151211760735133,1.2106267717169892,3.2037500000000003,3.1574999999999998,2.85504,4.078168666477162,2.3591445761850047,3.012142840619136,2.3875,2.7825,2.33288,2.587749137941051,1.7246324033273654,1.0519463816966748,4.5975,4.601666666666667,4.29144,3.654883832502208,3.7567338211652097,1.8760852899686244,3.0612500000000002,3.0249999999999995,2.66904,3.7789774084426258,2.116745040534987,2.825807141482216,4.241874999999999,4.2075000000000005,3.8998799999999996,6.80619045341299,3.572964634140872,1.240805482907343,4.08125,3.9487500000000004,3.64856,3.566390736039777,3.2678445486372176,3.8830582618102647,3.4767916666666667,3.654375,3.2080666666666664,2.9073940844725668,2.8151966715718357,4.303810108878694,3.2434374999999998,3.1043749999999997,2.9297199999999997,4.494753849890531,2.501631560052683,3.1698880613259264,3.6787499999999995,3.5112499999999995,3.3456799999999998,5.633341387461293,2.6564269285641444,2.0338535118108236,3.0225,2.8716666666666666,2.63296,2.030967448988606,2.2816505016898265,2.571543429886724
1997-02-28,POMRB,3.8,4.0825,3.0133333333333336,4.23,6.5150000000000015,2.2,2.95,2.77,4.463333333333333,3.65,5.045,4.255,3.458,3.9025,4.02,3.37,3.585,3.877500000000001,3.656624,3.2751863079608023,3.7355727350303383,3.427520614175317,4.0084375,3.9293749999999994,3.840892,3.6998432268355814,4.04176664314975,3.747563292718846,3.0595833333333333,3.031666666666667,2.9402453333333334,2.297310143603752,2.9955264577539515,2.9866515486934606,3.9862500000000005,3.7987500000000005,3.81708,3.1200993469818896,3.944676470491825,4.031243663466306,5.434375000000001,5.943750000000001,5.9428160000000005,7.154733831777701,6.33,6.17543902028137,2.16875,1.6600000000000001,1.657552,1.559573359554013,1.8295494081038977,1.5786011872171366,3.315,3.1599999999999997,2.893024,3.995731067673077,3.375977458558725,2.759560243806169,2.3787499999999997,2.3975,2.507728,2.6202110330647757,3.505293094285925,4.1447087395467825,4.522916666666667,4.579999999999999,4.360197333333333,3.707126986950196,4.4688618578050106,4.427660813043461,2.9375,3.1299999999999994,3.0614239999999997,4.0789131288448495,3.3548035793510675,2.9806005289980195,4.12375,4.2825,4.357927999999999,6.631553933589089,4.835081421119153,4.56528427440509,4.16875,4.0375000000000005,3.891136,3.6901577759681374,4.26856900816256,3.7945238095710714,3.2977291666666666,3.6230416666666665,3.30804,3.0643367667624974,3.645445498593606,3.3852197379518447,3.3325,3.1725000000000003,3.3188319999999996,4.495502489268152,3.566974668252353,3.5275719736221918,3.4637499999999997,3.6812499999999995,3.6154079999999995,5.141321917586287,3.6502098002019787,3.2513678910857644,3.1399999999999997,2.950833333333333,2.927776,2.209920010836158,3.0687354054002203,2.9004809454667906
1997-05-31,PREMON,5.12,5.505,4.319999999999999,5.9325,6.0,5.02,5.1,4.6,6.316666666666666,4.49,5.765,5.94,5.28,5.0275,4.965,5.0,3.3,3.826250000000001,4.2419744,3.2879671475095034,5.194803746017053,5.118843233122769,3.9753124999999994,4.061874999999999,4.5065352,4.391041521326442,4.968296861529746,4.824411559537406,3.060416666666667,3.019166666666667,3.4921472,2.761981920654381,4.424241235968433,4.0069380411580955,4.00875,3.9681250000000006,4.663247999999999,3.484411399040479,5.115513215996598,4.986928848585755,5.386875000000001,5.513750000000001,5.965689600000001,6.655224716615263,7.741523545706373,7.549891961788555,2.3575,2.1075,3.0025312,2.161793939885657,3.188104299036989,2.8583065515983064,3.5337499999999995,3.2474999999999996,3.7758144,4.927074848393124,4.310462993520161,4.106775011205137,2.4425,2.3775,3.3446368,2.7810131519371257,4.359885467279647,3.562652081856998,4.524583333333333,4.614999999999998,5.142785066666667,4.555152363579203,5.803776147054828,5.939608512499359,2.97875,2.9924999999999997,3.6328544000000003,4.645453482778836,4.771156737063168,4.569327196832551,4.1693750000000005,4.20125,4.9207567999999995,6.65811274711379,6.208179297600215,5.885628620797648,4.313124999999999,4.125000000000001,4.7106816,3.9815656870139806,5.4574701166959105,5.2133377554876565,3.262922619047619,3.330541666666667,4.096824,3.69585646123098,5.853382702345103,6.084900990111111,3.344375,3.314375,4.0022991999999995,4.924220302738115,4.470705514798353,4.210656413362699,3.1662500000000002,3.6762499999999996,4.155244799999999,5.2266641224070245,5.091518540753035,5.027308000128693,3.1849999999999996,3.094166666666667,3.7566656,2.9207690234618586,4.311054083766418,4.083258544094081
1997-08-31,MONSOON,1.28,2.9425,2.0566666666666658,2.69,3.95,0.82,3.29,0.81,3.3433333333333333,1.35,1.88,3.605,1.7900000000000005,1.5675,0.685,2.033333333333333,3.2625,3.343750000000001,3.05718464,3.300797835233947,3.3503163074433036,3.3775570883825625,4.0234375,3.9549999999999983,3.88092112,3.9716836932946586,3.69966895576664,3.8765114201191473,3.0049999999999994,3.0999999999999996,2.917954986666666,2.679379077156786,1.8852775757346272,2.241074098834244,4.0475,4.004375000000001,3.8739487999999995,3.3584344569948583,2.821604215160792,3.133838413098554,5.424375,5.355,5.1594137600000005,5.287504549243249,4.405958479446904,3.988340809020444,2.5637499999999998,2.23,2.1295187199999996,2.010139028476483,1.3143776584363343,1.7530195504624695,3.7787499999999996,3.3824999999999994,3.58148864,4.688670942126927,2.8817988412596973,3.340483384266104,2.50625,2.38,2.3307820799999996,2.661483851726738,1.0650743711569253,1.7411372737523219,4.7004166666666665,4.430833333333332,4.423004373333333,4.133024975914334,4.1066416212087775,4.054965816910622,3.1175000000000006,2.8824999999999994,2.71971264,3.6529351920488833,2.125141318226223,2.2084622968955188,4.33,4.04625,3.7044540799999996,5.0064665445217065,2.6109224688925394,2.319799734161073,4.4625,4.212500000000001,4.26840896,4.0304384970803815,3.323470578804122,3.6961788842891727,3.263321428571429,3.264916666666667,3.1740944,3.3509425582121053,1.675787400765315,1.870151567471737,3.3462500000000004,3.350625,3.0283795199999997,3.8028670069040578,1.9634428062618619,1.781704922896267,3.111875,3.2512499999999998,2.7671468799999994,2.8921049422769327,2.487605418419987,2.3310240149567054,3.215,3.185833333333334,3.0673326933333334,2.6725951305319215,1.958902512353991,2.398132706285586
1997-11-30,POMKH,2.825,3.4525,2.6933333333333334,3.2,5.21,1.9,3.4,1.84,4.35,2.81,4.48,3.855,2.5157142857142856,2.855,2.655,2.333333333333333,3.17375,3.2562500000000005,2.9643107840000003,3.313678603054956,2.0481519114661597,2.1246798287478788,4.020625000000001,3.9956249999999986,3.709552672,3.785927511753825,3.193242183677506,3.1433556464586685,2.9537499999999994,3.020833333333333,2.828106325333333,2.7356105633003573,2.6533759894799793,2.99665496971525,3.9949999999999997,4.013125000000001,3.60436928,3.3141371544799005,3.042363250283706,3.282511404629389,5.3149999999999995,5.418750000000001,5.179648256,4.904319211658477,4.705663880223649,4.765627813939858,2.42,2.485,2.0377112319999995,2.0449582576671657,1.5607621788156703,1.184936321168494,3.6837500000000003,3.684999999999999,3.5088931839999997,4.450220058446918,2.645910594621646,2.738057533175727,2.3675,2.505,2.134469248,2.622972630884791,1.400037753583776,1.2356411870871524,4.644583333333333,4.618333333333332,4.393802623999999,4.165428158123962,3.7032058970380093,3.2348170112414874,3.05125,3.0749999999999993,2.7558275840000004,3.4329599504084394,2.0011540086215063,2.047665330834869,4.4,4.2924999999999995,4.014672448,4.656663338560103,3.581741106317838,3.1316797890326264,4.4275,4.413750000000001,4.103045376,4.097650319516823,3.380148342129707,3.35332617417444,3.2173214285714287,3.260928571428572,2.910742354285714,3.2018714676525253,2.3266913973899226,2.407207743227591,3.2506249999999994,3.3381250000000002,2.959027712,3.3622272244202587,2.5961042797481544,2.9731969314309077,3.065000000000001,3.08125,2.7222881279999998,2.4010997647026318,2.607165889814878,2.391517278352705,3.1599999999999997,3.184166666666667,2.773732949333333,2.541084865022612,2.334510748711609,2.5076686649245064
1998-02-28,POMRB,3.85,4.305,2.8866666666666667,4.505,6.5600000000000005,2.83,3.7,2.78,5.12,3.99,5.3450000000000015,4.645,3.4771428571428573,3.9675,4.2650000000000015,3.616666666666666,3.0137500000000004,3.2687500000000007,3.3185864704,3.3266096427894873,3.070293518348733,3.454792499035014,4.0225,4.051249999999999,3.9477316032,3.959887425182689,4.1078219775554565,4.016885380300786,2.8686458333333333,2.9891666666666663,2.8515304618666666,2.8253135019831204,3.008194418632886,2.876091380197807,3.876458333333334,4.081875000000001,3.9646215679999997,3.468938244859718,3.9835941458441244,4.140073614970135,5.16375,5.4300000000000015,5.731788953600001,5.3781006978523145,6.155988503298423,6.484441566005987,2.2800000000000002,2.6425,2.3546267391999995,2.233266566227367,2.379457748423097,2.2692369854605046,3.4650000000000003,3.8724999999999996,3.5853359103999995,4.337192906850811,3.9730389711010323,3.354041944024751,2.1325000000000003,2.5075,2.3926815487999997,2.6539021305277095,3.379534290456812,3.697388446345945,4.38625,4.782499999999999,4.6842815744,4.513569562413985,4.519557956862148,4.745694897326519,2.9675000000000002,3.1599999999999997,3.2494965504,3.7460717665379812,3.427812266979328,3.488803595346943,4.4125,4.3675,4.5468034688,4.758322322507152,4.955662455413456,5.09589524666999,4.231875,4.511250000000001,4.3198272256,4.238542532031685,4.488105934655883,4.219800681580099,3.1183035714285716,3.2657142857142865,3.1373025554285716,3.3057885124100688,3.417333277866586,3.3555852200353513,3.1374999999999997,3.354375,3.3624166272,3.471260969057263,3.6561606527122534,3.71450278460667,3.0700000000000003,3.1425,3.3393728768000006,3.116609428053257,3.5448360977605744,3.4222231248374877,3.0837499999999993,3.2458333333333336,3.1109064362666663,2.825508785646407,3.121595652487688,3.116569957447676
1998-05-31,PREMON,4.359999999999999,5.260000000000002,4.036666666666666,5.237500000000002,5.08,3.24,3.59,3.48,5.213333333333334,3.62,6.025,5.27,4.892857142857143,4.1975,4.3450000000000015,4.3133333333333335,2.9018749999999995,3.0787500000000003,3.73515188224,3.339591147037753,4.903677804571969,5.107838524518277,4.038020833333334,3.9899999999999993,4.47263896192,4.500313451128959,5.091500629127539,5.245173927657655,2.7685416666666667,2.918333333333333,3.3255849437866667,3.1724985039636437,4.427534860084345,4.072996011962788,3.886666666666667,3.908125000000001,4.4737729408,3.7327627775984817,5.154430892140742,5.537541743849621,4.9350000000000005,5.200000000000001,5.47107337216,5.099487982712969,7.170697948634363,6.730315362150501,2.28125,2.1975000000000002,2.70877604352,2.479262112071885,3.756427754250832,4.041527569311187,3.295,3.4949999999999997,3.5872015462399998,4.152054910545928,4.958926560723999,4.852639821579023,1.9574999999999998,2.2275,2.82760892928,2.7327436088333177,4.442729033526043,3.842682014485807,4.187708333333333,4.506666666666666,4.895902277973334,4.856172252875,5.933071493995267,6.2441327023666675,2.91,2.9424999999999994,3.39769793024,3.8172205025414563,4.901025176900059,4.668946458751325,4.026250000000001,4.432499999999999,5.13808208128,5.169550849972605,6.201023535239736,5.819671599760741,4.0696875,4.343750000000001,4.69989633536,4.436841456156861,5.703395652953863,5.635381229833351,3.0123809523809526,3.168928571428572,3.8395243904000003,3.772637773068164,5.685195851388156,5.686031776125155,3.0609374999999996,3.1468750000000005,3.6964499763200003,3.690516126935915,4.567781299411093,4.595584580652975,3.1031250000000012,2.9875000000000007,3.741623726080001,3.803188198378313,5.017315263700604,5.090657152919514,3.0516666666666663,3.0741666666666667,3.591877195093333,3.3172384125001715,4.3639143328258925,4.561878919526267
