Date,Season,Thoubal,Bishnupur,Imphal East,Senapati,Thoubal_Trend,Thoubal_SMA,Thoubal_EWMA,Thoubal_DES,Thoubal_TES,Thoubal_ARIMA,Bishnupur_SMA,Bishnupur_EWMA,Bishnupur_TES,Imphal East_SMA,Imphal East_EWMA,Imphal East_TES,Imphal East_ARIMA,Senapati_SMA,Senapati_EWMA,Senapati_TES
1996-02-29,POMRB,2.01,2.4,3.515,3.375,,,2.01,2.9167995494172234,2.0103177035441417,0.0,,2.4,2.4,,3.515,3.5578125000000003,0.0,,3.375,3.375
1996-05-31,PREMON,2.53,,4.2,,,,2.218,3.3999826014159797,2.530300686687138,0.0,,,,,3.789,4.280644044321329,3.396364756487052,,,
1996-08-31,MONSOON,1.2,,,,1.7318749999999998,,1.8108,3.07884639906887,1.2002837632874646,0.0,,,,,,,,,,
1996-11-30,POMKH,1.1875,2.35,2.7325,3.15,1.7318749999999998,1.7318749999999998,1.56148,2.6512688928360175,1.187766965052075,0.0,,2.38,2.35,,3.3664,2.8460997580013965,3.6768760220752914,,3.285,3.15
1997-02-28,POMRB,2.01,2.4,3.515,3.375,1.7318749999999998,1.731875,1.740888,2.553105148291971,2.0099468580294535,2.01,,2.388,2.4,3.490625,3.42584,3.656827726108477,4.026731690152139,,3.321,3.375
1997-05-31,PREMON,2.53,,4.2,,1.7318749999999998,1.731875,2.0565328000000003,2.651890720640625,2.5299632693076783,2.5300000000000002,,,,3.661875,3.735504,3.6760062518540537,3.7077955751815304,,,
1997-08-31,MONSOON,1.2,,,,1.7318749999999998,1.7318749999999998,1.71391968,2.1600517913401527,1.1999788608033528,1.2,,,,,,,,,,
1997-11-30,POMKH,1.1875,2.35,2.7325,3.15,1.7318749999999998,1.7318749999999996,1.5033518080000001,1.7428281045787422,1.1874935921815586,1.1875,2.375,2.3728,2.35,3.295000000000001,3.3343024,4.4566015846080544,2.759496237780203,3.2625,3.2526,3.15
1998-02-28,POMRB,2.01,2.4,3.515,3.375,1.7318749999999998,1.7318749999999996,1.7060110848,1.7448982986393065,2.009991457751605,2.01,2.375,2.38368,2.4,3.490625000000001,3.40658144,2.829464930052592,3.9245566882205436,3.2625,3.3015600000000003,3.375
1998-05-31,PREMON,2.53,,4.2,,1.7318749999999998,1.7318749999999996,2.03560665088,1.9884547311234075,2.5299901758666223,2.53,,,,3.661875000000001,3.723948864,3.714067853016993,3.7755046168903075,,,
1998-08-31,MONSOON,1.2,,,,1.7318749999999998,1.7318749999999994,1.701363990528,1.6670233558358563,1.1999897075209014,1.2,,,,,,,,,,
1998-11-30,POMKH,1.1875,2.35,2.7325,3.15,1.7318749999999998,1.7318749999999996,1.4958183943168,1.4108081879076493,1.1874900091143412,1.1875,2.375,2.370208,2.35,3.295000000000001,3.3273693183999997,3.8690954887930893,2.7460854870530307,3.2624999999999997,3.240936,3.15
1999-02-28,POMRB,2.01,2.4,3.515,3.375,1.7318749999999998,1.7318749999999996,1.70149103659008,1.5524843581117322,2.0099901924214167,2.01,2.375,2.3821247999999997,2.4,3.490625000000001,3.40242159104,4.219533112200225,3.8362266339442996,3.2624999999999993,3.2945615999999998,3.375
1999-05-31,PREMON,2.53,,4.2,,1.7318749999999998,1.7318749999999996,2.032894621954048,1.9192626591441824,2.5299903021181915,2.53,,,,3.661875000000001,3.721452954624,2.9459453476402024,3.882674337835253,,,
1999-08-31,MONSOON,1.2,,,,1.7318749999999998,1.7318749999999994,1.6997367731724287,1.6797279083311325,1.19999038104195,1.2,,,,,,,,,,
1999-11-30,POMKH,1.1875,2.35,2.7325,3.15,1.7318749999999998,1.7318749999999996,1.4948420639034572,1.4689005688813075,1.1874904698194555,1.1875,2.375,2.36927488,2.35,3.295000000000001,3.3258717727744,3.8682609183952454,2.8638275661924943,3.262499999999999,3.23673696,3.15
2000-02-29,POMRB,2.01,2.4,3.515,3.375,1.7318749999999998,1.7318749999999996,1.7009052383420742,1.6382390726208669,2.00999056229601,2.01,2.375,2.3815649279999995,2.4,3.490625000000001,3.40152306366464,3.6627020552461884,3.8224782766486896,3.2624999999999993,3.292042176,3.375
2000-05-31,PREMON,2.53,,4.2,,1.7318749999999998,1.7318749999999996,2.0325431430052445,2.0221687759132774,2.529990654654309,2.53,,,,3.661875000000001,3.720913838198784,4.15458165940508,3.790079418322594,,,
2000-08-31,MONSOON,1.2,,,,1.7318749999999998,1.7318749999999994,1.6995258858031466,1.7812024090587726,1.1999907453289724,1.2,,,,,,,,,,
2000-11-30,POMKH,1.1875,2.35,2.7325,3.15,1.7318749999999998,1.7318749999999996,1.494715531481888,1.5570605242981779,1.1874908348946795,1.1875,2.375,2.3689389567999997,2.35,3.295000000000001,3.3255483029192705,3.1662806824814815,2.8175061873470213,3.262499999999999,3.2352253055999998,3.15
2001-02-28,POMRB,2.01,2.4,3.515,3.375,1.7318749999999998,1.7318749999999996,1.7008293188891328,1.7091737345266722,2.009990923602301,2.01,2.375,2.3813633740799998,2.4,3.490625000000001,3.401328981751562,3.640845461893665,3.8433670749354647,3.2624999999999993,3.2911351833599998,3.375
2001-05-31,PREMON,2.53,,4.2,,1.7318749999999998,1.7318749999999996,2.0324975913334797,2.0736672083935086,2.529991011501215,2.53,,,,3.661875000000001,3.7207973890509374,3.638265503760172,3.7800953116252565,,,
2001-08-31,MONSOON,1.2,,,,1.7318749999999998,1.7318749999999994,1.6994985548000878,1.814358711342584,1.1999910985577253,1.2,,,,,,,,,,
2001-11-30,POMKH,1.1875,2.35,2.7325,3.15,1.7318749999999998,1.7318749999999996,1.4946991328800527,1.5751107576983068,1.1874911847678256,1.1875,2.375,2.3688180244479997,2.35,3.295000000000001,3.3254784334305625,4.225677713925349,2.769391758098566,3.262499999999999,3.234681110016,3.15
