,AN,AN_PROJECTION
1996-02-29,,
1996-05-31,,
1996-08-31,,
1996-11-30,,
1997-02-28,,
1997-05-31,,
1997-08-31,,
1997-11-30,,
1998-02-28,,
1998-05-31,,
1998-08-31,,
1998-11-30,,
1999-02-28,,
1999-05-31,,
1999-08-31,,
1999-11-30,,
2000-02-29,,
2000-05-31,,
2000-08-31,,
2000-11-30,,
2001-02-28,,
2001-05-31,,
2001-08-31,,
2001-11-30,,
2002-02-28,,
2002-05-31,,
2002-08-31,,
2002-11-30,,
2003-02-28,,
2003-05-31,,
2003-08-31,,
2003-11-30,,
2004-02-29,,
2004-05-31,,
2004-08-31,,
2004-11-30,,
2005-02-28,,
2005-05-31,,
2005-08-31,,
2005-11-30,,
2006-02-28,,
2006-05-31,,
2006-08-31,,
2006-11-30,,
2007-02-28,,
2007-05-31,,
2007-08-31,,
2007-11-30,,
2008-02-29,,
2008-05-31,,
2008-08-31,,
2008-11-30,,
2009-02-28,,
2009-05-31,,
2009-08-31,,
2009-11-30,,
2010-02-28,,
2010-05-31,,
2010-08-31,,
2010-11-30,,
2011-02-28,,
2011-05-31,,
2011-08-31,,
2011-11-30,,
2012-02-29,,
2012-05-31,,
2012-08-31,,
2012-11-30,,
2013-02-28,,
2013-05-31,1.6992753619999998,
2013-08-31,,
2013-11-30,1.06453125,
2014-02-28,,
2014-05-31,2.965492958,
2014-08-31,,
2014-11-30,1.7038235290000001,
2015-02-28,,
2015-05-31,2.374464286,
2015-08-31,,
2015-11-30,1.254920635,
2016-02-29,,
2016-05-31,2.684920635,
2016-08-31,,
2016-11-30,1.334347826,
2017-02-28,,
2017-05-31,2.261764706,
2017-08-31,,
2017-11-30,1.019032258,
2018-02-28,,
2018-05-31,1.189710145,
2018-08-31,,
2018-11-30,1.154117647,
2019-02-28,,
2019-05-31,,
2019-08-31,,
2019-11-30,,
2020-02-29,,
2020-05-31,,
2020-08-31,,
2020-11-30,,
2021-02-28,,
2021-05-31,,
2021-08-31,,
2021-11-30,,
