,DD,DD_PROJECTION
1996-02-29,,
1996-05-31,,
1996-08-31,,
1996-11-30,,
1997-02-28,,
1997-05-31,,
1997-08-31,,
1997-11-30,,
1998-02-28,,
1998-05-31,,
1998-08-31,,
1998-11-30,,
1999-02-28,,
1999-05-31,,
1999-08-31,,
1999-11-30,,
2000-02-29,,
2000-05-31,,
2000-08-31,,
2000-11-30,,
2001-02-28,,
2001-05-31,,
2001-08-31,,
2001-11-30,,
2002-02-28,,
2002-05-31,,
2002-08-31,,
2002-11-30,,
2003-02-28,,
2003-05-31,,
2003-08-31,,
2003-11-30,,
2004-02-29,,
2004-05-31,,
2004-08-31,,
2004-11-30,,
2005-02-28,4.26,
2005-05-31,5.05,
2005-08-31,2.99,
2005-11-30,2.825,
2006-02-28,3.604444444,
2006-05-31,5.712000000000001,
2006-08-31,1.75,
2006-11-30,3.364,
2007-02-28,3.96,
2007-05-31,5.033333333,
2007-08-31,1.05,
2007-11-30,3.8636363639999995,
2008-02-29,3.71,
2008-05-31,5.398888889,
2008-08-31,2.3169999999999997,
2008-11-30,3.1260000000000003,
2009-02-28,3.862,
2009-05-31,5.04625,
2009-08-31,1.3733333330000002,
2009-11-30,2.511111111,
2010-02-28,3.5869999999999997,
2010-05-31,6.048888889,
2010-08-31,2.344545455,
2010-11-30,3.595454545,
2011-02-28,4.389090909,
2011-05-31,5.097272727,
2011-08-31,2.537,
2011-11-30,3.82,
2012-02-29,4.691818182,
2012-05-31,5.372999999999999,
2012-08-31,2.537,
2012-11-30,3.6011111110000003,
2013-02-28,4.480909091,
2013-05-31,6.615714286,
2013-08-31,2.942222222,
2013-11-30,2.651111111,
2014-02-28,5.5581818179999996,
2014-05-31,7.17875,
2014-08-31,2.8,
2014-11-30,4.065454545,
2015-02-28,4.0809090910000005,
2015-05-31,9.485454545,
2015-08-31,2.4672727269999997,
2015-11-30,3.29,
2016-02-29,6.05,
2016-05-31,7.1763636360000005,
2016-08-31,2.3908333330000002,
2016-11-30,3.9709090910000002,
2017-02-28,4.787,
2017-05-31,6.393636364,
2017-08-31,2.901818182,
2017-11-30,4.322727273,
2018-02-28,4.666363636,
2018-05-31,6.3936,
2018-08-31,2.57625,
2018-11-30,2.255,
2019-02-28,,
2019-05-31,,
2019-08-31,,
2019-11-30,,
2020-02-29,,
2020-05-31,,
2020-08-31,,
2020-11-30,,
2021-02-28,,
2021-05-31,,
2021-08-31,,
2021-11-30,,
