,DL,DL_PROJECTION
1996-02-29,8.1502,7.647337899910608
1996-05-31,8.937115385,8.845689368217819
1996-08-31,6.606964286,8.462752950336839
1996-11-30,7.016610169,7.573839742640979
1997-02-28,7.354727273,7.177271834557144
1997-05-31,8.353448276,8.147075481131196
1997-08-31,7.360377357999999,7.85939219907265
1997-11-30,7.56254902,7.642514143891606
1998-02-28,7.622830189,7.473437736868572
1998-05-31,9.0512,8.459374412965804
1998-08-31,6.7324,8.33277472797634
1998-11-30,6.727115385,7.570524568986153
1999-02-28,7.4496226420000005,7.036414519549242
1999-05-31,8.5592,8.12055035538376
1999-08-31,8.334166667,7.942742141136661
1999-11-30,8.641346153999999,8.162476929729902
2000-02-29,8.776458332999999,8.246624907791665
2000-05-31,9.708695652000001,9.523567488826286
2000-08-31,8.322391304,9.143891827192832
2000-11-30,9.272790698,8.756715041249242
2001-02-28,10.06478261,8.84098283865365
2001-05-31,10.38395349,10.561885054012317
2001-08-31,9.100731707000001,9.95102148852268
2001-11-30,10.53564103,9.542229992776244
2002-02-28,10.19638889,9.832581051002498
2002-05-31,11.63243902,11.187275663045254
2002-08-31,13.02179487,10.829619016266081
2002-11-30,12.00780488,11.907154178213865
2003-02-28,12.20777778,11.697381760924554
2003-05-31,11.73581395,13.331002468935003
2003-08-31,9.737804878,11.894241205004333
2003-11-30,9.066585366,10.825876655110733
2004-02-29,8.244358973999999,9.753887701265356
2004-05-31,10.20731707,10.072549621246747
2004-08-31,9.534864865,9.636655794122206
2004-11-30,9.674318182,9.598438377915075
2005-02-28,14.26152542,9.445811136062675
2005-05-31,15.62716667,13.201514025301867
2005-08-31,15.08674797,13.647090795726555
2005-11-30,15.380887099999999,14.328900495581342
2006-02-28,15.61777778,14.504243771062326
2006-05-31,17.09218978,16.76752451309426
2006-08-31,15.88405797,16.020908482198987
2006-11-30,15.77807143,15.906356491152156
2007-02-28,16.14394366,15.466849470505537
2007-05-31,16.2939375,17.59318412971226
2007-08-31,15.49651163,16.04022155517514
2007-11-30,18.47861111,15.725641038397749
2008-02-29,10.42221053,16.677311731715303
2008-05-31,15.70093407,15.129710765144917
2008-08-31,14.79510989,14.59571783355267
2008-11-30,14.96786885,14.659524658829485
2009-02-28,15.14494624,14.467315010852758
2009-05-31,15.82194737,16.487541562112185
2009-08-31,15.99273684,15.295938880033075
2009-11-30,15.20042105,15.597588413490467
2010-02-28,15.65673684,15.03799538781348
2010-05-31,16.52716578,17.086667015297525
2010-08-31,13.22941176,15.908798436976634
2010-11-30,12.81643312,14.546388498420978
2011-02-28,12.36798507,13.37721988577419
2011-05-31,13.49330827,14.356039801485196
2011-08-31,12.90047619,13.199639687187748
2011-11-30,13.33398374,13.03148219746387
2012-02-29,13.50325203,12.885160969024328
2012-05-31,14.777000000000001,14.70430170202525
2012-08-31,14.073,13.963253464633599
2012-11-30,15.33936508,13.988882465432276
2013-02-28,15.41755906,14.317961481892391
2013-05-31,16.13266129,16.553766948341078
2013-08-31,14.82637097,15.472201513495687
2013-11-30,14.98731092,15.112718688526485
2014-02-28,14.739495800000002,14.69833507238326
2014-05-31,14.77608696,16.39400582577515
2014-08-31,15.33615385,14.763983783016453
2014-11-30,14.64591304,15.009341481481611
2015-02-28,14.7527193,14.483571393510656
2015-05-31,15.09026549,16.28144691547902
2015-08-31,14.18159292,14.857092950406631
2015-11-30,14.494070800000001,14.488731880262776
2016-02-29,10.82232558,14.155897241447748
2016-05-31,15.78623762,13.942548451735039
2016-08-31,14.31848739,14.072607546297679
2016-11-30,14.490504199999998,14.164092813074602
2017-02-28,14.91174312,13.995392296178878
2017-05-31,18.88393617,16.096335930753423
2017-08-31,15.06797872,16.538027888381926
2017-11-30,15.25435294,15.763819416248365
2018-02-28,15.20060241,15.145242514936431
2018-05-31,15.945,16.896276812297863
2018-08-31,21.36666667,15.547106726000626
2018-11-30,15.86761905,18.36273583038447
2019-02-28,,16.711398470104406
2019-05-31,,18.598784864275284
2019-08-31,,17.591593946364956
2019-11-30,,17.52971970616292
2020-02-29,,17.103354289982555
2020-05-31,,19.032465270697493
2020-08-31,,17.99941166291793
2020-11-30,,17.933761343863964
2021-02-28,,17.495310109860707
2021-05-31,,19.466145677119698
2021-08-31,,18.4072293794709
2021-11-30,,18.337802981565012
