,TR,TR_PROJECTION
1996-02-29,3.5725,3.6271908263405184
1996-05-31,3.06125,3.3963131893165412
1996-08-31,2.87625,2.2960945458829736
1996-11-30,3.2395,3.1126626454889066
1997-02-28,4.073809524,3.778530791299097
1997-05-31,4.078095238,3.4852778718072694
1997-08-31,2.3,2.8703280717627995
1997-11-30,3.3952941180000002,3.2512019330734665
1998-02-28,4.2,4.0089381251317775
1998-05-31,3.784117647,3.8074157282459504
1998-08-31,2.951875,2.593730399062987
1998-11-30,3.4092307689999997,3.5049211555451674
1999-02-28,3.7377777780000003,4.260368035054495
1999-05-31,5.141764706,3.8135659050940145
1999-08-31,2.98875,2.9636470143273628
1999-11-30,4.083636364,3.6452201769541754
2000-02-29,4.437692308,4.3928456103772415
2000-05-31,3.9875,4.869315509363914
2000-08-31,1.877142857,2.967587656046971
2000-11-30,2.8923529410000004,3.505392743339525
2001-02-28,3.561666667,3.7911334131923913
2001-05-31,3.457272727,3.816620533133096
2001-08-31,2.6344,2.1772436767822105
2001-11-30,2.48875,3.1944096099720847
2002-02-28,3.246666667,3.5913724930430133
2002-05-31,3.59826087,3.5369452496428564
2002-08-31,2.337619048,2.3353723674179037
2002-11-30,2.8388461539999996,2.745616954387561
2003-02-28,3.4620689660000004,3.4502838126336686
2003-05-31,3.10037037,3.6405101919485623
2003-08-31,2.86962963,2.3020410249388
2003-11-30,3.0216,2.8893098360081413
2004-02-29,3.545416667,3.594935417037916
2004-05-31,3.3127586210000004,3.5442843982208383
2004-08-31,2.67,2.675482129103063
2004-11-30,2.7782142860000003,2.9478236151820063
2005-02-28,3.622142857,3.500444914353002
2005-05-31,3.176333333,3.4138037822619722
2005-08-31,2.7720689660000004,2.643131725526425
2005-11-30,2.762068966,2.8775138133186267
2006-02-28,3.784827586,3.5627146595118964
2006-05-31,4.039642857,3.3480477715996737
2006-08-31,3.321764706,2.8870617822779088
2006-11-30,2.977741935,3.09680653793444
2007-02-28,4.648857143,3.9983114926824292
2007-05-31,3.4608,4.05826867340771
2007-08-31,2.368518519,3.172855738152685
2007-11-30,2.6536,2.8870228197723646
2008-02-29,4.784375,4.002120359991487
2008-05-31,4.5095,3.6042391909577547
2008-08-31,3.699705882,2.9280867385800278
2008-11-30,3.634242424,3.2157398753472695
2009-02-28,4.704545455,5.209782747537526
2009-05-31,4.5095,4.497173317647965
2009-08-31,3.083125,3.4815720466629747
2009-11-30,5.1579411760000005,3.352430150693893
2010-02-28,6.2511428570000005,5.3794465105977665
2010-05-31,4.5095,5.1185708396921985
2010-08-31,4.263030303,3.6722415775850474
2010-11-30,4.934242424,4.804097797488247
2011-02-28,5.957647059,6.063820716640366
2011-05-31,4.5095,4.9530579248208095
2011-08-31,4.312727273,4.007283066326482
2011-11-30,4.958484848,4.884553785862923
2012-02-29,6.176571429,6.038403169670204
2012-05-31,4.5095,4.8279989768098295
2012-08-31,4.5029,4.20290347774944
2012-11-30,5.521891892,4.993506028673501
2013-02-28,5.222727273,6.31400566663187
2013-05-31,5.472941176,4.660280076975637
2013-08-31,5.03,4.518680351815424
2013-11-30,5.394571429,5.4904546473942535
2014-02-28,5.420810811,6.0212262494458155
2014-05-31,6.5360000000000005,5.207996988414893
2014-08-31,4.406000000000001,5.014593703877431
2014-11-30,6.713333333,5.493640104440709
2015-02-28,6.034722222,6.124535704845419
2015-05-31,6.305128205,6.213578758953006
2015-08-31,4.6383783780000005,4.89324743952449
2015-11-30,4.754054054,6.248167407881601
2016-02-29,4.873076923,5.740024283490222
2016-05-31,6.284722222,5.719214333923267
2016-08-31,3.585,4.462012719197169
2016-11-30,3.122413793,5.085752215702335
2017-02-28,3.474444444,4.695975632753925
2017-05-31,3.923666667,5.0629603141418675
2017-08-31,2.665,3.251488301573581
2017-11-30,2.698148148,3.4074633925745768
2018-02-28,2.8461904760000003,3.481274772674413
2018-05-31,8.45125,3.8833893476915042
2018-08-31,1.505714286,3.3594695700719965
2018-11-30,5.153846154,3.1846113797933544
2019-02-28,,3.909783614535187
2019-05-31,,7.266919528106685
2019-08-31,,2.615904569785204
2019-11-30,,3.6392218337939544
2020-02-29,,3.937800758480616
2020-05-31,,7.318900471581235
2020-08-31,,2.6345829735832407
2020-11-30,,3.6651607504181603
2021-02-28,,3.965817902426045
2021-05-31,,7.370881415055786
2021-08-31,,2.653261377381278
2021-11-30,,3.691099667042367
