,UP,UP_PROJECTION
1996-02-29,6.275670588,6.197051525243663
1996-05-31,7.57371248,7.439317391586176
1996-08-31,4.9346586,5.381185940571032
1996-11-30,5.529991961,5.601003642243163
1997-02-28,6.108957055,6.078822751280145
1997-05-31,7.228408162999999,7.2750475945883135
1997-08-31,5.109671593,5.211069345388932
1997-11-30,5.139657763,5.567873578610446
1998-02-28,5.333197056,5.885781901836491
1998-05-31,7.102653584,6.764554405028666
1998-08-31,4.379524302,4.9564602429248135
1998-11-30,4.50774744,5.087912135554964
1999-02-28,5.183226095,5.296428574585779
1999-05-31,6.5277883779999994,6.273380846447148
1999-08-31,4.027492163,4.580186546928071
1999-11-30,4.356912929,4.693988374715781
2000-02-29,4.954968666,4.974347507754067
2000-05-31,6.253181377000001,5.934565619794913
2000-08-31,3.790448718,4.355906025076601
2000-11-30,4.573883495,4.447382448348652
2001-02-28,6.05,4.9095562356064075
2001-05-31,6.538976142999999,6.415358494225633
2001-08-31,4.250911736,4.644116738709309
2001-11-30,4.71869934,4.831892249468544
2002-02-28,5.453794984,5.222879416812495
2002-05-31,6.492212121000001,6.35126920988542
2002-08-31,5.744146597,4.603190974439691
2002-11-30,5.500238342,5.453437587239441
2003-02-28,5.936545842,5.969924254430887
2003-05-31,7.114591947999999,7.114670065515916
2003-08-31,5.021914226,5.109583984421816
2003-11-30,4.747432836000001,5.464746785701701
2004-02-29,5.309807107,5.646457049018218
2004-05-31,6.777161484,6.583145969292204
2004-08-31,5.10876161,4.784748581659869
2004-11-30,5.334455852,5.294187761923178
2005-02-28,6.230153846,5.793662587644855
2005-05-31,7.651325301,7.130617020590715
2005-08-31,5.612019999999999,5.271673037646295
2005-11-30,5.826486752,5.8246472082400915
2006-02-28,6.373403827000001,6.354339087273508
2006-05-31,7.81952381,7.598168285597762
2006-08-31,5.843492062999999,5.520203633243247
2006-11-30,6.895995935,6.084381615316431
2007-02-28,7.233544974,6.992982907634841
2007-05-31,8.200800416,8.466074127093488
2007-08-31,6.1856710999999995,6.001522321096727
2007-11-30,6.471859649,6.541369630871023
2008-02-29,7.41944086,7.1033517215179
2008-05-31,8.734228751,8.63398496912922
2008-08-31,5.114772992,6.227617932890113
2008-11-30,5.711046512,6.221740633322968
2009-02-28,6.469843924,6.561467303731139
2009-05-31,8.060090498,7.791832613137731
2009-08-31,6.652007255,5.672586409647439
2009-11-30,6.657159353,6.532808120603051
2010-02-28,6.778748496,7.179219846506214
2010-05-31,8.428206452000001,8.379665933619808
2010-08-31,6.359154589,6.030370329291217
2010-11-30,6.141263941,6.635121439343081
2011-02-28,6.564117647000001,7.018954343709727
2011-05-31,7.5825,8.162454242381122
2011-08-31,5.205256588,5.6928600860395475
2011-11-30,5.8551105329999995,5.918189173110076
2012-02-29,6.153001311000001,6.427659953784781
2012-05-31,7.943995097999999,7.544254416515276
2012-08-31,5.605,5.53316450265395
2012-11-30,6.085198237999999,5.9892298173429825
2013-02-28,6.578903653999999,6.574900140121253
2013-05-31,7.4805513779999995,7.853855532200642
2013-08-31,4.996384522,5.531445199546081
2013-11-30,5.5438562870000005,5.724104020276262
2014-02-28,5.670922722,6.1648518411648325
2014-05-31,7.290267857000001,7.125458680238078
2014-08-31,5.862105897,5.165017376819922
2014-11-30,7.837142857000001,5.864765895105692
2015-02-28,6.3596875,7.263948258934893
2015-05-31,7.20814059,8.238281005212393
2015-08-31,6.362869353,5.6169764142429575
2015-11-30,7.272066421,6.37172858529773
2016-02-29,8.683211008999999,7.3448342924644585
2016-05-31,8.632214386,9.413717985639554
2016-08-31,6.146549707999999,6.531432287950003
2016-11-30,6.633660131,6.86409483047048
2017-02-28,7.225455567999999,7.384018077583954
2017-05-31,8.332583222,8.740199439781588
2017-08-31,6.485214866000001,6.156831009450192
2017-11-30,6.896053268999999,6.77087474704013
2018-02-28,7.386564039,7.438789971141545
2018-05-31,9.464545455,8.856655997444788
2018-08-31,6.264715719,6.534080802424596
2018-11-30,6.112930232999999,6.917054278294389
2019-02-28,,7.189579641308772
2019-05-31,,8.584696817029682
2019-08-31,,6.163289674804705
2019-11-30,,6.635360591768877
2020-02-29,,7.2362342289119255
2020-05-31,,8.640314364398535
2020-08-31,,6.203155118882058
2020-11-30,,6.678210199021385
2021-02-28,,7.282888816515079
2021-05-31,,8.695931911767387
2021-08-31,,6.24302056295941
2021-11-30,,6.721059806273892
