,STATE,DISTRICT,BLOCK_NAME,LAT,LON,YEAR_OBS,Season,Depth,Depth_Trend,Depth_SMA,Depth_EWMA,Depth_DES,Depth_TES,Depth_ARIMA
0,BR,Madhepura,Gwalpara,25.75416667,86.90555556,1996,POMRB,2.18,,,2.18,2.5355565428502413,2.583618650225703,0.0
1,BR,Madhepura,Gwalpara,25.75416667,86.90555556,1996,PREMON,2.26,,,2.212,2.5432427409641565,3.3030538709729647,2.1799988308492564
2,BR,Madhepura,Gwalpara,25.75416667,86.90555556,1996,MONSOON,2.3,2.41375,,2.2471999999999994,2.5509522854072766,1.3298011423659104,2.2304841570801077
3,BR,Madhepura,Gwalpara,25.75416667,86.90555556,1996,POMKH,2.46,2.6425,2.3,2.3323199999999997,2.55868541581487,2.0141754737174224,2.2492295251420344
0,BR,Madhepura,Gwalpara,25.75416667,86.90555556,1997,POMRB,2.18,2.6475,2.5275,2.6353919999999995,2.5664428651538493,2.6122293738902416,2.2514663419787024
1,BR,Madhepura,Gwalpara,25.75416667,86.90555556,1997,PREMON,2.26,2.515,2.7575,2.8532352000000003,2.5742239470949,3.4385793678154397,2.581009188744951
2,BR,Madhepura,Gwalpara,25.75416667,86.90555556,1997,MONSOON,2.3,2.44125,2.5375,2.27994112,2.5820261294767795,1.5604854025617427,2.6241145560634087
3,BR,Madhepura,Gwalpara,25.75416667,86.90555556,1997,POMKH,2.46,2.41375,2.4925,2.279964672,2.5898531637351496,2.1101308928217515,2.049426644279915
0,BR,Madhepura,Gwalpara,25.75416667,86.90555556,1998,POMRB,2.18,2.4584375,2.39,2.4399788032,2.5977044777515204,2.674710694962165,2.57027938192942
1,BR,Madhepura,Gwalpara,25.75416667,86.90555556,1998,PREMON,2.26,2.470625,2.4375,2.8119872819200005,2.60558055325568,3.4437474963746806,2.684802798696847
2,BR,Madhepura,Gwalpara,25.75416667,86.90555556,1998,MONSOON,2.3,2.503125,2.479375,2.322192369152,2.6134779853745136,1.5880741097934463,2.186998391893216
3,BR,Madhepura,Gwalpara,25.75416667,86.90555556,1998,POMKH,2.46,2.538125,2.4618750000000005,2.2773154214912004,2.6214002237194847,2.154691197658491,2.202379968387322
0,BR,Madhepura,Gwalpara,25.75416667,86.90555556,1999,POMRB,2.18,2.5109375,2.5443750000000005,2.5703892528947203,2.6293475932786587,2.705374541859522,2.586567647770001
1,BR,Madhepura,Gwalpara,25.75416667,86.90555556,1999,PREMON,2.26,2.5025,2.5318750000000003,2.8702335517368325,2.6373194805565428,3.5107215841295023,3.0024423693045392
2,BR,Madhepura,Gwalpara,25.75416667,86.90555556,1999,MONSOON,2.3,2.49875,2.49,2.290140131042099,2.645312849394598,1.6408589415682089,1.9975906949036215
3,BR,Madhepura,Gwalpara,25.75416667,86.90555556,1999,POMKH,2.46,2.524375,2.515000000000001,2.2980840786252594,2.653331691648474,2.18075491600916,2.1452350647130927
0,BR,Madhepura,Gwalpara,25.75416667,86.90555556,2000,POMRB,2.18,2.54,2.4825000000000004,2.530850447175156,2.661375634125185,2.7404069202499723,2.7248161408770604
1,BR,Madhepura,Gwalpara,25.75416667,86.90555556,2000,PREMON,2.26,2.5562499999999995,2.56625,2.980510268305093,2.669445041408239,3.5257351129873165,3.035085330902864
2,BR,Madhepura,Gwalpara,25.75416667,86.90555556,2000,MONSOON,2.3,2.6265625,2.5137500000000004,2.272306160983056,2.677535458691669,1.694687647670314,1.9856516134433264
3,BR,Madhepura,Gwalpara,25.75416667,86.90555556,2000,POMKH,2.46,2.7375,2.5987500000000003,2.4233836965898328,2.6856524175520127,2.2025805253774244,2.1155945821016315
0,BR,Madhepura,Gwalpara,25.75416667,86.90555556,2001,POMRB,2.18,3.084375,2.654375000000001,2.6950302179539003,2.6937946085653452,2.8008278968626152,2.8749548708707464
1,BR,Madhepura,Gwalpara,25.75416667,86.90555556,2001,PREMON,2.26,3.286875,2.820625000000001,3.3450181307723397,2.7019631848831764,3.605816689618159,3.2390614333941543
2,BR,Madhepura,Gwalpara,25.75416667,86.90555556,2001,MONSOON,2.3,3.2378125,3.3481250000000014,3.3350108784634034,2.7101551054519035,1.845721324855538,2.083048300391106
3,BR,Madhepura,Gwalpara,25.75416667,86.90555556,2001,POMKH,2.46,3.16125,3.2256250000000013,2.8650065270780427,2.7183702158142418,2.5912418271439033,2.969245937421087
0,BR,Madhepura,Gwalpara,25.75416667,86.90555556,2002,POMRB,2.18,2.8487500000000003,3.2500000000000018,2.999003916246826,2.7266116826116544,3.0829053357425584,2.7894980058831984
1,BR,Madhepura,Gwalpara,25.75416667,86.90555556,2002,PREMON,2.26,2.6275,3.0725000000000016,3.2434023497480955,2.7348786990195557,3.865504413145929,3.4898608811966283
2,BR,Madhepura,Gwalpara,25.75416667,86.90555556,2002,MONSOON,2.3,2.645,2.6250000000000013,2.5580414098488573,2.7431678379221167,1.987783447757167,2.0806274507263454
3,BR,Madhepura,Gwalpara,25.75416667,86.90555556,2002,POMKH,2.46,2.6075000000000004,2.630000000000001,2.4068248459093144,2.7514830086701214,2.498939873715281,2.2417697968662864
0,BR,Madhepura,Gwalpara,25.75416667,86.90555556,2003,POMRB,2.18,2.51625,2.660000000000001,2.7720949075455885,2.7598249797915955,3.004225896452284,2.8671141318622033
1,BR,Madhepura,Gwalpara,25.75416667,86.90555556,2003,PREMON,2.26,2.5175,2.555000000000001,2.939256944527353,2.768192045043377,3.8109252979203543,3.5596336414053837
2,BR,Madhepura,Gwalpara,25.75416667,86.90555556,2003,MONSOON,2.3,2.525,2.4775000000000014,2.251554166716412,2.776581690766819,1.888877844725228,1.865187974988534
3,BR,Madhepura,Gwalpara,25.75416667,86.90555556,2003,POMKH,2.46,2.5625,2.557500000000001,2.3509325000298467,2.7849985595713505,2.374427980503809,2.1256946155290155
0,BR,Madhepura,Gwalpara,25.75416667,86.90555556,2004,POMRB,2.18,2.6946875,2.492500000000001,2.6345595000179083,2.793441720588952,2.9336344326283834,3.0391878802964234
1,BR,Madhepura,Gwalpara,25.75416667,86.90555556,2004,PREMON,2.26,2.784375,2.6325000000000016,3.080735700010745,2.801911436456697,3.7173580942877726,3.422084615539404
2,BR,Madhepura,Gwalpara,25.75416667,86.90555556,2004,MONSOON,2.3,2.826875,2.7568750000000013,2.535441420006447,2.810403955874638,1.8745900142470848,1.9814764572421204
3,BR,Madhepura,Gwalpara,25.75416667,86.90555556,2004,POMKH,2.46,2.906875,2.811875000000001,2.6092648520038684,2.8189236195276446,2.422221322647044,2.3599498583449035
0,BR,Madhepura,Gwalpara,25.75416667,86.90555556,2005,POMRB,2.18,3.0196875000000003,2.8418750000000013,2.837558911202321,2.827469746129498,3.0023168827501463,3.1364081385400167
1,BR,Madhepura,Gwalpara,25.75416667,86.90555556,2005,PREMON,2.26,2.9399999999999995,2.971875000000001,3.4105353467213924,2.836043302556268,3.7922654944430674,3.5242161138219874
2,BR,Madhepura,Gwalpara,25.75416667,86.90555556,2005,MONSOON,2.3,2.6899999999999995,3.067500000000001,2.886321208032835,2.844639783659078,2.003488284989583,2.160799803085072
3,BR,Madhepura,Gwalpara,25.75416667,86.90555556,2005,POMKH,2.46,2.5025,2.8125000000000013,2.4117927248197013,2.8532617500733006,2.581882131678908,2.572147471924109
0,BR,Madhepura,Gwalpara,25.75416667,86.90555556,2006,POMRB,2.18,2.4275,2.567500000000001,2.3270756348918207,2.8619105457207628,3.0188818189244078,2.813274462197482
1,BR,Madhepura,Gwalpara,25.75416667,86.90555556,2006,PREMON,2.26,2.480833333333333,2.437500000000001,2.8962453809350923,2.8705877297138342,3.687944555364623,3.270977052735942
2,BR,Madhepura,Gwalpara,25.75416667,86.90555556,2006,MONSOON,2.3,2.6088541666666667,2.417500000000001,2.5457472285610554,2.879288771660085,1.8487444128139352,1.967614566678656
