,STATE,DISTRICT,BLOCK_NAME,LAT,LON,YEAR_OBS,Season,Depth,Depth_Trend,Depth_SMA,Depth_EWMA,Depth_DES,Depth_TES,Depth_ARIMA
0,HR,Karnal,Indri,29.90300926,77.10879629666665,1996,POMRB,3.7225,,,3.7225,4.679895807824714,3.781174953305501,0.0
1,HR,Karnal,Indri,29.90300926,77.10879629666665,1996,PREMON,4.24,,,3.9295,5.175093600870861,4.346608868102528,3.7224869768211035
2,HR,Karnal,Indri,29.90300926,77.10879629666665,1996,MONSOON,3.48,4.0770625,,3.7497,5.356721085737176,3.624270653234417,3.989640230568539
3,HR,Karnal,Indri,29.90300926,77.10879629666665,1996,POMKH,4.51,4.121833333333333,3.988125,4.05382,5.716879593259879,4.682240329335234,3.801883579480001
0,HR,Karnal,Indri,29.90300926,77.10879629666665,1997,POMRB,3.7225,4.189416666666666,4.166,4.2058919999999995,5.9533094456403886,3.914322617416317,4.016707895731228
1,HR,Karnal,Indri,29.90300926,77.10879629666665,1997,PREMON,4.24,4.261916666666666,4.0776666666666666,4.078201866666666,5.938581168955211,4.573476910837751,4.129508393525303
2,HR,Karnal,Indri,29.90300926,77.10879629666665,1997,MONSOON,3.48,4.232583333333333,4.301166666666668,4.19652112,5.9659922165775665,3.747467006550528,4.068244646876825
3,HR,Karnal,Indri,29.90300926,77.10879629666665,1997,POMKH,4.51,4.268194444444445,4.222666666666669,4.196312672000001,5.87092471608427,4.934297858623725,4.142254691157022
0,HR,Karnal,Indri,29.908611112,77.11222222199999,1998,POMRB,3.7225,3.9383888888888894,4.2425000000000015,4.323120936533334,5.802187688118791,4.070119340995984,4.154946011223471
1,HR,Karnal,Indri,29.908611112,77.11222222199999,1998,PREMON,4.24,3.558388888888889,4.293888888888891,4.230761450808888,5.57986330106862,4.70822011877716,4.238331744910751
2,HR,Karnal,Indri,29.908611112,77.11222222199999,1998,MONSOON,3.48,3.3617222222222214,3.5828888888888915,3.1504568704853333,4.690928276499544,3.8864279801720882,4.204635761383255
3,HR,Karnal,Indri,29.908611112,77.11222222199999,1998,POMKH,4.51,3.1967777777777773,3.5338888888888915,3.4902741222912,4.481089422237405,4.5206683192333434,3.5910549403912877
0,HR,Karnal,Indri,29.908611112,77.11222222199999,1999,POMRB,3.7225,3.37775,3.1895555555555584,3.3485644733747195,4.083397329824346,3.614930805098728,3.684574780513577
