,STATE,DISTRICT,BLOCK_NAME,LAT,LON,YEAR_OBS,Season,Depth,Depth_Trend,Depth_SMA,Depth_EWMA,Depth_DES,Depth_TES,Depth_ARIMA
0,JK,Kathua,Kathua,32.35896464545454,75.47419191909091,1996,POMRB,4.262727272727272,,,4.262727272727272,3.3952913967813534,4.272727272727272,0.0
1,JK,Kathua,Kathua,32.35896464545454,75.47419191909091,1996,PREMON,5.335454545454546,,,4.691818181818181,3.8473532994976334,5.3549005288340465,1.2567342294312218
2,JK,Kathua,Kathua,32.35896464545454,75.47419191909091,1996,MONSOON,2.7063636363636365,3.4962954545454545,,3.897636363636364,3.415256869459637,2.7347045791126963,1.3169528849808123
3,JK,Kathua,Kathua,32.35896464545454,75.47419191909091,1996,POMKH,2.3750000000000004,3.3345227272727267,3.669886363636364,3.288581818181818,2.960015789027663,2.4116892395957064,1.3352773846963335
0,JK,Kathua,Kathua,32.358217591666666,75.47078703666666,1997,POMRB,4.262727272727272,3.364863636363636,3.3227045454545454,3.1227490909090907,2.7638193408741705,4.3030132665666265,4.1511838221061215
1,JK,Kathua,Kathua,32.358217591666666,75.47078703666666,1997,PREMON,5.335454545454546,3.514579545454545,3.346340909090909,4.045649454545454,3.4874063908445727,5.3023318662447565,4.786526759274252
2,JK,Kathua,Kathua,32.358217591666666,75.47078703666666,1997,MONSOON,2.7063636363636365,3.8706477272727273,3.3833863636363635,3.5692078545454544,3.2925896181997483,2.682348545571136,2.828138976614689
3,JK,Kathua,Kathua,32.358217591666666,75.47078703666666,1997,POMKH,2.3750000000000004,4.021564393939394,3.6457727272727274,3.5113428945454546,3.309892435766815,2.36314329081487,2.506332264629352
0,JK,Kathua,Kathua,32.358217591666666,75.47078703666666,1998,POMRB,4.262727272727272,3.9220378787878794,4.095522727272727,3.9760057367272728,3.75754837266236,3.72583224438832,3.654536300380796
1,JK,Kathua,Kathua,32.358217591666666,75.47078703666666,1998,PREMON,5.335454545454546,3.921109848484848,3.947606060606061,4.320936775369697,4.2226046638907695,5.512052359945629,5.616492248733412
2,JK,Kathua,Kathua,32.358217591666666,75.47078703666666,1998,MONSOON,2.7063636363636365,3.926397727272727,3.896469696969697,3.652562065221818,3.869339013960359,2.872814373310846,2.4862201599174925
