,STATE,DISTRICT,BLOCK_NAME,LAT,LON,YEAR_OBS,Season,Depth,Depth_Trend,Depth_SMA,Depth_EWMA,Depth_DES,Depth_TES,Depth_ARIMA
0,KL,Pathanamthitta,Koipuram,9.39444444,76.69027778,1996,POMRB,8.68,,,8.68,8.11071930197819,8.141735051712937,0.0
1,KL,Pathanamthitta,Koipuram,9.39444444,76.69027778,1996,PREMON,8.77,,,8.716000000000001,8.174019609407134,9.076485938617973,8.679973160517717
2,KL,Pathanamthitta,Koipuram,9.39444444,76.69027778,1996,MONSOON,6.97,7.75375,,8.0176,7.966718921951184,6.888856878165872,8.715380346310994
3,KL,Pathanamthitta,Koipuram,9.39444444,76.69027778,1996,POMKH,7.24,7.596249999999999,7.914999999999999,7.7065600000000005,7.829497333440146,7.289250063037722,8.310157381509356
0,KL,Pathanamthitta,Koipuram,9.39444444,76.69027778,1997,POMRB,8.68,7.5975,7.5924999999999985,7.579936,7.734496477932033,8.203692727154548,7.976108826553924
1,KL,Pathanamthitta,Koipuram,9.39444444,76.69027778,1997,PREMON,8.77,7.5462500000000015,7.6,8.0679616,7.858236981035322,8.820760533931741,7.795811621150028
2,KL,Pathanamthitta,Koipuram,9.39444444,76.69027778,1997,MONSOON,6.97,7.522500000000001,7.5950000000000015,7.6207769600000015,7.6951114790589115,6.700271242927033,7.219986702377523
3,KL,Pathanamthitta,Koipuram,9.39444444,76.69027778,1997,POMKH,7.24,7.53375,7.4975,7.312466176,7.541795676881978,7.140278688540449,7.469328641128935
0,KL,Pathanamthitta,Koipuram,9.39444444,76.69027778,1998,POMRB,8.68,7.222499999999998,7.5474999999999985,7.423479705599999,7.518703747300267,7.998084434547597,7.518944169920053
1,KL,Pathanamthitta,Koipuram,9.39444444,76.69027778,1998,PREMON,8.77,6.887499999999998,7.519999999999999,7.930087823360001,7.658654691214638,8.710462097589732,7.825904148741528
2,KL,Pathanamthitta,Koipuram,9.39444444,76.69027778,1998,MONSOON,6.97,6.72875,6.924999999999998,6.586052694016,7.179965949179626,6.590042933171791,7.056955583904189
3,KL,Pathanamthitta,Koipuram,9.39444444,76.69027778,1998,POMKH,7.24,6.78375,6.849999999999998,6.5716316164096,7.0599209035259545,6.496699316959137,6.876901676329537
0,KL,Pathanamthitta,Koipuram,9.40208333,76.68125,1999,POMRB,8.68,7.27125,6.607499999999997,6.59097896984576,6.9679286086021825,7.435239360357406,6.592089982898456
1,KL,Pathanamthitta,Koipuram,9.40208333,76.68125,1999,PREMON,8.77,7.8287499999999985,6.959999999999997,7.994587381907456,7.394567936429838,8.051943739191925,7.2196596283792065
2,KL,Pathanamthitta,Koipuram,9.40208333,76.68125,1999,MONSOON,6.97,8.488125,7.582499999999998,7.620752429144473,7.316526446042292,6.417585118915306,6.031449264467223
3,KL,Pathanamthitta,Koipuram,9.40208333,76.68125,1999,POMKH,7.24,9.861875,8.075,7.980451457486683,7.461952564794927,6.949865968992834,7.23892469146808
0,KL,Pathanamthitta,Koipuram,9.40208333,76.68125,2000,POMRB,8.68,10.493750000000002,8.90125,8.758270874492009,7.789551629890324,8.244831586038341,7.857792963903102
1,KL,Pathanamthitta,Koipuram,9.40208333,76.68125,2000,PREMON,8.77,10.26625,10.8225,12.368962524695206,9.20872890912202,9.447907004683447,9.510121799781723
2,KL,Pathanamthitta,Koipuram,9.40208333,76.68125,2000,MONSOON,6.97,10.165625,10.165,9.193377514817124,8.478641671094536,9.291346541205236,9.280373097002014
3,KL,Pathanamthitta,Koipuram,9.40208333,76.68125,2000,POMKH,7.24,8.824375,10.3675,9.248026508890273,8.568343025551759,8.530353265430229,10.912990552591694
0,KL,Pathanamthitta,Koipuram,9.40208333,76.68125,2001,POMRB,8.68,8.256874999999999,9.96375,8.872815905334164,8.496678640838901,9.644269740204932,9.737848307788703
1,KL,Pathanamthitta,Koipuram,9.40208333,76.68125,2001,PREMON,8.77,8.468750000000002,7.685000000000001,8.791689543200498,8.487930844875544,10.139012335252056,11.68527011225392
2,KL,Pathanamthitta,Koipuram,9.40208333,76.68125,2001,MONSOON,6.97,7.989999999999998,8.828750000000003,8.8770137259203,8.529092725698337,7.678212765704683,7.280533590795108
3,KL,Pathanamthitta,Koipuram,9.40208333,76.68125,2001,POMKH,7.24,7.864999999999998,8.108750000000002,7.90620823555218,8.19341016261512,8.371307464544968,8.189897095311787
0,KL,Pathanamthitta,Koipuram,9.39444444,76.69027778,2002,POMRB,8.68,7.374375,7.8712500000000025,7.687724941331308,8.039804290739234,8.845853989678469,8.815199800352156
