,STATE,DISTRICT,BLOCK_NAME,LAT,LON,YEAR_OBS,Season,Depth,Depth_Trend,Depth_SMA,Depth_EWMA,Depth_DES,Depth_TES,Depth_ARIMA
0,MN,Thoubal,Kakching,,,1996,POMRB,2.01,,,2.01,2.9167995494172234,2.01999995837721,0.0
1,MN,Thoubal,Kakching,,,1996,PREMON,2.53,,,2.218,3.39998260141598,2.5494458591166955,0.0
2,MN,Thoubal,Kakching,,,1996,MONSOON,1.2,1.7318749999999998,,1.8108,3.07884639906887,1.2283406953953808,0.0
3,MN,Thoubal,Kakching,,,1996,POMKH,1.1875,1.7318749999999998,1.7318749999999998,1.56148,2.651268892836017,1.2241888296572832,0.0
0,MN,Thoubal,Kakching,,,1997,POMRB,2.01,1.7318749999999998,1.731875,1.740888,2.5531051482919707,2.045022262674121,2.01
1,MN,Thoubal,Kakching,,,1997,PREMON,2.53,1.7318749999999998,1.731875,2.0565328000000003,2.6518907206406253,2.5638712837870417,2.53
2,MN,Thoubal,Kakching,,,1997,MONSOON,1.2,1.7318749999999998,1.7318749999999998,1.71391968,2.1600517913401527,1.233209108169183,1.2
3,MN,Thoubal,Kakching,,,1997,POMKH,1.1875,1.7318749999999998,1.7318749999999996,1.503351808,1.7428281045787422,1.220507709125667,1.1875
0,MN,Thoubal,Kakching,24.525,93.975,1998,POMRB,2.01,1.7318749999999998,1.7318749999999996,1.7060110847999999,1.7448982986393065,2.042739430280279,2.01
1,MN,Thoubal,Kakching,24.525,93.975,1998,PREMON,2.53,1.7318749999999998,1.7318749999999996,2.03560665088,1.9884547311234075,2.562431012512295,2.53
2,MN,Thoubal,Kakching,24.525,93.975,1998,MONSOON,1.2,1.7318749999999998,1.7318749999999994,1.701363990528,1.6670233558358565,1.2321079627604925,1.2
3,MN,Thoubal,Kakching,24.525,93.975,1998,POMKH,1.1875,1.7318749999999998,1.7318749999999996,1.4958183943168,1.4108081879076493,1.2192943649645014,1.1875
0,MN,Thoubal,Kakching,,,1999,POMRB,2.01,1.7318749999999998,1.7318749999999996,1.70149103659008,1.5524843581117322,2.0414865143976204,2.01
1,MN,Thoubal,Kakching,,,1999,PREMON,2.53,1.7318749999999998,1.7318749999999996,2.032894621954048,1.9192626591441824,2.561182105341435,2.53
2,MN,Thoubal,Kakching,,,1999,MONSOON,1.2,1.7318749999999998,1.7318749999999994,1.6997367731724289,1.6797279083311325,1.2308801752765184,1.2
3,MN,Thoubal,Kakching,,,1999,POMKH,1.1875,1.7318749999999998,1.7318749999999996,1.4948420639034572,1.4689005688813075,1.2180810326165157,1.1875
0,MN,Thoubal,Kakching,,,2000,POMRB,2.01,1.7318749999999998,1.7318749999999996,1.7009052383420742,1.6382390726208669,2.0402847931207275,2.01
1,MN,Thoubal,Kakching,,,2000,PREMON,2.53,1.7318749999999998,1.7318749999999996,2.0325431430052445,2.0221687759132774,2.559991452966424,2.53
2,MN,Thoubal,Kakching,,,2000,MONSOON,1.2,1.7318749999999998,1.7318749999999994,1.6995258858031466,1.7812024090587726,1.2297009593658923,1.2
