,STATE,DISTRICT,BLOCK_NAME,LAT,LON,YEAR_OBS,Season,Depth,Depth_Trend,Depth_SMA,Depth_EWMA,Depth_DES,Depth_TES,Depth_ARIMA
0,OD,Kandhamal,Raikia,20.058194444999998,84.24277778000001,1996,POMRB,6.315,,,6.315,5.471300006157402,6.8067071969277775,0.0
1,OD,Kandhamal,Raikia,20.058194444999998,84.24277778000001,1996,PREMON,8.684999999999999,,,7.263,5.9315743574394935,8.375260236376931,6.3149816359503
2,OD,Kandhamal,Raikia,20.058194444999998,84.24277778000001,1996,MONSOON,5.4300000000000015,6.870625,,6.529800000000002,5.3991624849019555,4.462816260614079,7.774711641478594
3,OD,Kandhamal,Raikia,20.058194444999998,84.24277778000001,1996,POMKH,6.385,6.989374999999999,6.7037499999999985,6.4718800000000005,5.342583785643133,6.068328990901137,6.257889291076692
0,OD,Kandhamal,Raikia,20.058194444999998,84.24277778000001,1997,POMRB,6.315,6.626875,7.037499999999999,6.9431280000000015,5.796238951102195,7.076208075633898,6.330278084362785
1,OD,Kandhamal,Raikia,20.058194444999998,84.24277778000001,1997,PREMON,8.684999999999999,6.315625000000002,6.941249999999998,7.4858768000000016,6.4827493972067565,8.905362127331019,8.769535230148621
2,OD,Kandhamal,Raikia,20.058194444999998,84.24277778000001,1997,MONSOON,5.4300000000000015,5.664375,6.312499999999997,5.65752608,5.3251610066172494,4.769101468802582,5.672281595925366
3,OD,Kandhamal,Raikia,20.058194444999998,84.24277778000001,1997,POMKH,6.385,4.979375,6.318749999999998,5.9585156480000006,5.4872562952023936,5.684580987330087,5.177698287550403
0,OD,Kandhamal,Raikia,20.058194444999998,84.24277778000001,1998,POMRB,6.315,5.315625,5.009999999999998,4.5411093888,4.376873726117865,6.7924321333680675,6.86508237096491
1,OD,Kandhamal,Raikia,20.058194444999998,84.24277778000001,1998,PREMON,8.684999999999999,5.65625,4.948749999999999,5.94666563328,5.3306597917584035,7.410610056595875,6.468418791440432
2,OD,Kandhamal,Raikia,20.058194444999998,84.24277778000001,1998,MONSOON,5.4300000000000015,6.096875,5.682499999999997,5.9079993799679995,5.477079969465867,3.5800152102079075,4.247739336316826
3,OD,Kandhamal,Raikia,20.058194444999998,84.24277778000001,1998,POMKH,6.385,6.62125,5.629999999999997,6.0247996279808005,5.731801757018577,5.504168534280887,7.055136607932379
