,STATE,DISTRICT,BLOCK_NAME,LAT,LON,YEAR_OBS,Season,Depth,Depth_Trend,Depth_SMA,Depth_EWMA,Depth_DES,Depth_TES,Depth_ARIMA
0,PB,Bathinda,Sangat,30.097500001999997,74.827500002,1996,POMRB,9.9625,,,9.9625,9.47213394741141,9.9725,0.0
1,PB,Bathinda,Sangat,30.097500001999997,74.827500002,1996,PREMON,9.677999999999999,,,9.8487,9.264699401005887,9.695451523545707,0.0
2,PB,Bathinda,Sangat,30.097500001999997,74.827500002,1996,MONSOON,14.626,10.6983125,,11.759620000000002,10.379025774503768,14.648560830564527,0.0
3,PB,Bathinda,Sangat,30.097500001999997,74.827500002,1996,POMKH,9.193999999999999,10.458,10.865125,10.733372,10.064354342280962,9.219594567992043,0.0
0,PB,Bathinda,Sangat,30.097500001999997,74.827500002,1997,POMRB,9.9625,9.6575,10.5315,9.891223199999999,9.63778635444508,9.984092080676165,9.9625
1,PB,Bathinda,Sangat,30.097500001999997,74.827500002,1997,PREMON,9.677999999999999,8.8665,10.384500000000003,9.57073392,9.377648932222401,9.356722353115146,9.677999999999999
2,PB,Bathinda,Sangat,30.097500001999997,74.827500002,1997,MONSOON,14.626,8.818166666666666,8.930500000000002,9.266440352,9.092888969637617,14.180604877035849,14.626
3,PB,Bathinda,Sangat,30.097500001999997,74.827500002,1997,POMKH,9.193999999999999,8.832583333333332,8.802500000000002,9.0326642112,8.827908974757069,7.3130458729006085,9.194000000000004
0,PB,Bathinda,Sangat,30.095138889999998,74.84768518666667,1998,POMRB,9.9625,8.852270833333332,8.833833333333336,8.920931860053331,8.634345711630948,7.421586960314153,8.628
1,PB,Bathinda,Sangat,30.095138889999998,74.84768518666667,1998,PREMON,9.677999999999999,8.899208333333334,8.831333333333333,8.984559116031999,8.571564420040518,7.803275246705826,9.09
2,PB,Bathinda,Sangat,30.095138889999998,74.84768518666667,1998,MONSOON,14.626,8.842083333333333,8.873208333333334,8.981735469619199,8.519542720554496,10.204092470250368,8.809999999999997
3,PB,Bathinda,Sangat,30.095138889999998,74.84768518666667,1998,POMKH,9.193999999999999,8.589958333333332,8.925208333333334,8.945041281771521,8.477303003388744,7.878014015234213,8.681999999999999
0,PB,Bathinda,Sangat,30.095138889999998,74.84768518666667,1999,POMRB,9.9625,8.278520833333333,8.758958333333334,8.602358102396245,8.261176061020846,7.997920150184227,8.753333333333332
1,PB,Bathinda,Sangat,30.095138889999998,74.84768518666667,1999,PREMON,9.677999999999999,8.023083333333334,8.420958333333335,8.252614861437747,7.995693799775142,8.140398112579954,9.080000000000002
2,PB,Bathinda,Sangat,30.095138889999998,74.84768518666667,1999,MONSOON,14.626,7.884041666666667,8.136083333333335,8.086768916862647,7.805936881247512,8.844292696460936,8.9775
3,PB,Bathinda,Sangat,30.095138889999998,74.84768518666667,1999,POMKH,9.193999999999999,7.854249999999999,7.9100833333333345,8.046461350117589,7.6974812936417125,7.728773861951847,8.89
0,PB,Bathinda,Sangat,30.097500001999997,74.827500002,2000,POMRB,9.9625,7.75775,7.858000000000002,7.979876810070554,7.599534924742852,7.1572744443722,8.088333333333333
1,PB,Bathinda,Sangat,30.097500001999997,74.827500002,2000,PREMON,9.677999999999999,7.554499999999999,7.850500000000002,7.867126086042331,7.490230496678219,7.14878777594804,7.7280000000000015
2,PB,Bathinda,Sangat,30.097500001999997,74.827500002,2000,MONSOON,14.626,7.430999999999999,7.665000000000003,7.558675651625401,7.263851519073365,7.765724892202733,7.837999999999999
3,PB,Bathinda,Sangat,30.097500001999997,74.827500002,2000,POMKH,9.193999999999999,7.47575,7.444000000000003,7.376005390975241,7.082827880428359,7.4241638307926845,7.985999999999999
0,PB,Bathinda,Sangat,30.097500001999997,74.827500002,2001,POMRB,9.9625,7.6255,7.418000000000003,7.536003234585142,7.1125479045608975,6.9880994176872155,7.88
1,PB,Bathinda,Sangat,30.097500001999997,74.827500002,2001,PREMON,9.677999999999999,7.83975,7.533500000000003,7.785601940751087,7.262270692591024,6.9173117918186176,7.697999999999999
2,PB,Bathinda,Sangat,30.097500001999997,74.827500002,2001,MONSOON,14.626,7.9925000000000015,7.717500000000002,7.804161164450653,7.336366177200437,7.084734569528782,7.096000000000001
3,PB,Bathinda,Sangat,30.097500001999997,74.827500002,2001,POMKH,9.193999999999999,8.145812500000002,7.962000000000002,7.914496698670391,7.47983869403033,7.333253597963313,7.1019999999999985
0,PB,Bathinda,Sangat,30.097500001999997,74.827500002,2002,POMRB,9.9625,8.352875000000001,8.023000000000003,7.956698019202236,7.604561400194393,7.862682332096361,7.775999999999999
1,PB,Bathinda,Sangat,30.097500001999997,74.827500002,2002,PREMON,9.677999999999999,8.469875,8.268625000000004,8.431018811521339,8.010996289261506,8.026769029655535,8.16
2,PB,Bathinda,Sangat,30.097500001999997,74.827500002,2002,MONSOON,14.626,8.539625000000001,8.437125000000004,8.461011286912804,8.222270508917761,8.0293549367052,7.832000000000002
3,PB,Bathinda,Sangat,30.097500001999997,74.827500002,2002,POMKH,9.193999999999999,8.4705625,8.502625000000004,8.413406772147681,8.361677701163629,8.331273628157195,8.08
0,PB,Bathinda,Sangat,30.097500001999997,74.827500002,2003,POMRB,9.9625,8.353250000000001,8.576625000000002,8.374444063288607,8.465660318077342,8.473549285819765,8.020000000000001
1,PB,Bathinda,Sangat,30.097500001999997,74.827500002,2003,PREMON,9.677999999999999,8.334999999999999,8.364500000000003,8.342266437973166,8.53649506093559,9.139845093892443,9.1425
2,PB,Bathinda,Sangat,30.097500001999997,74.827500002,2003,MONSOON,14.626,8.27825,8.342000000000002,8.3717598627839,8.61374484928336,8.37023579225891,8.506
3,PB,Bathinda,Sangat,30.097500001999997,74.827500002,2003,POMKH,9.193999999999999,8.165999999999999,8.328000000000003,8.33745591767034,8.633184968264567,8.294254325262111,8.342
0,PB,Bathinda,Sangat,30.097500001999997,74.827500002,2004,POMRB,9.9625,8.075499999999998,8.228500000000004,8.169673550602202,8.538948250676901,8.301158625884254,8.315999999999999
1,PB,Bathinda,Sangat,30.097500001999997,74.827500002,2004,PREMON,9.677999999999999,8.1025,8.103500000000004,8.019404130361321,8.405152286319701,8.504888188041495,8.294
2,PB,Bathinda,Sangat,30.097500001999997,74.827500002,2004,MONSOON,14.626,8.220749999999999,8.047500000000003,8.088442478216795,8.373830771784522,8.186131798463071,8.416
3,PB,Bathinda,Sangat,30.097500001999997,74.827500002,2004,POMKH,9.193999999999999,8.3735,8.157500000000002,8.343465486930077,8.477438802857183,8.024724999763947,8.285999999999998
0,PB,Bathinda,Sangat,30.097500001999997,74.827500002,2005,POMRB,9.9625,8.52025,8.284000000000002,8.375679292158049,8.493345625162627,7.966537759735699,7.917999999999997
1,PB,Bathinda,Sangat,30.097500001999997,74.827500002,2005,PREMON,9.677999999999999,8.517999999999999,8.463000000000001,8.429407575294828,8.524848082396675,8.194860244555954,7.794
2,PB,Bathinda,Sangat,30.097500001999997,74.827500002,2005,MONSOON,14.626,8.43475,8.5775,8.517644545176896,8.584953561926769,8.534934217538478,8.191999999999998
3,PB,Bathinda,Sangat,30.097500001999997,74.827500002,2005,POMKH,9.193999999999999,8.336,8.4585,8.410586727106137,8.533267845641982,8.832944018167879,8.726
0,PB,Bathinda,Sangat,30.097500001999997,74.827500002,2006,POMRB,9.9625,8.09325,8.411000000000001,8.339952036263682,8.475802081929464,8.389578136496139,8.424
1,PB,Bathinda,Sangat,30.097500001999997,74.827500002,2006,PREMON,9.677999999999999,7.916250000000002,8.261000000000003,8.16797122175821,8.337408747794335,8.400267916003994,8.51
2,PB,Bathinda,Sangat,30.097500001999997,74.827500002,2006,MONSOON,14.626,7.904250000000001,7.925500000000002,7.823982733054925,8.057622089686749,8.416118546858998,8.65
3,PB,Bathinda,Sangat,30.097500001999997,74.827500002,2006,POMKH,9.193999999999999,7.94325,7.907000000000004,7.964789639832955,8.024993017902874,7.985667380650788,8.25
0,PB,Bathinda,Sangat,30.097500001999997,74.827500002,2007,POMRB,9.9625,8.105500000000001,7.901500000000004,8.063673783899771,8.015211380392275,7.860723743546281,8.234
1,PB,Bathinda,Sangat,30.097500001999997,74.827500002,2007,PREMON,9.677999999999999,8.206999999999999,7.985000000000004,8.135804270339863,8.02437086028888,7.755129407720995,7.910000000000001
2,PB,Bathinda,Sangat,30.097500001999997,74.827500002,2007,MONSOON,14.626,8.1935,8.226000000000004,8.190282562203917,8.048426387681946,7.648488851613736,7.307999999999999
3,PB,Bathinda,Sangat,30.097500001999997,74.827500002,2007,POMKH,9.193999999999999,8.205,8.188000000000004,8.123769537322351,8.014244392773275,8.33929371942683,8.176
0,PB,Bathinda,Sangat,30.097500002000004,74.827500002,2008,POMRB,9.9625,8.152000000000001,8.199000000000005,8.176661722393412,8.0467658482302,8.243506641175376,8.212
1,PB,Bathinda,Sangat,30.097500002000004,74.827500002,2008,PREMON,9.677999999999999,7.98525,8.211000000000006,8.222797033436049,8.09085778681854,8.174889384762839,8.243999999999998
2,PB,Bathinda,Sangat,30.097500002000004,74.827500002,2008,MONSOON,14.626,7.7639999999999985,8.093000000000005,8.053678220061627,8.00937052605237,8.08025184764045,8.272
3,PB,Bathinda,Sangat,30.097500002000004,74.827500002,2008,POMKH,9.193999999999999,7.509999999999999,7.877500000000005,7.697006932036976,7.774596298667746,8.066031845451867,8.024000000000001
0,PB,Bathinda,Sangat,30.097500002000004,74.827500002,2009,POMRB,9.9625,7.612249999999999,7.650500000000004,7.557404159222187,7.610904290127253,7.972074605941088,8.256
1,PB,Bathinda,Sangat,30.097500002000004,74.827500002,2009,PREMON,9.677999999999999,7.857249999999999,7.369500000000005,7.401642495533311,7.426182577974561,7.7495464089619235,8.291999999999998
2,PB,Bathinda,Sangat,30.097500002000004,74.827500002,2009,MONSOON,14.626,7.866999999999999,7.855000000000005,8.337785497319986,7.925472520895041,7.192761289806844,7.8
3,PB,Bathinda,Sangat,30.097500002000004,74.827500002,2009,POMKH,9.193999999999999,7.88875,7.859500000000006,7.874671298391992,7.747630658886697,7.465401277669778,7.162000000000001
0,PB,Bathinda,Sangat,30.097500002000004,74.827500002,2010,POMRB,9.9625,7.56725,7.8745000000000065,7.6880027790351955,7.640603945251173,7.695929526636597,7.347999999999999
1,PB,Bathinda,Sangat,30.097500002000004,74.827500002,2010,PREMON,9.677999999999999,7.1435,7.9030000000000085,7.525601667421117,7.514432737816688,7.628351931884524,7.1679999999999975
2,PB,Bathinda,Sangat,30.097500002000004,74.827500002,2010,MONSOON,14.626,6.93275,7.2315000000000085,7.337761000452669,7.348307862846575,8.841087168633557,9.742
3,PB,Bathinda,Sangat,30.097500002000004,74.827500002,2010,POMKH,9.193999999999999,6.686,7.055500000000008,6.993056600271603,7.060086158457523,6.589442716158597,7.18
0,PB,Bathinda,Sangat,30.097500002000004,74.827500002,2011,POMRB,9.9625,6.4955,6.8100000000000085,6.76623396016296,6.79832163332213,6.7425845437352265,7.407999999999999
1,PB,Bathinda,Sangat,30.097500002000004,74.827500002,2011,PREMON,9.677999999999999,6.3825,6.562000000000008,6.575740376097777,6.545626922328952,6.524698084542178,7.282000000000001
2,PB,Bathinda,Sangat,30.097500002000004,74.827500002,2011,MONSOON,14.626,6.26125,6.429000000000008,6.555044225658666,6.397728029852969,6.895131374495058,7.056
3,PB,Bathinda,Sangat,30.097500002000004,74.827500002,2011,POMKH,9.193999999999999,6.365666666666668,6.336000000000008,6.374626535395199,6.184431181422331,5.775064148673482,6.476000000000001
0,PB,Bathinda,Sangat,30.096984128571428,74.81662698571428,2012,POMRB,9.9625,6.524979166666666,6.1865000000000085,6.1559759212371175,5.948115319635508,5.888117814106548,6.4259999999999975
1,PB,Bathinda,Sangat,30.096984128571428,74.81662698571428,2012,PREMON,9.677999999999999,6.604625,6.544833333333343,6.7829188860756044,6.236375421058776,5.752385692723425,6.290000000000001
2,PB,Bathinda,Sangat,30.096984128571428,74.81662698571428,2012,MONSOON,14.626,6.825833333333334,6.505125000000009,6.61581799831203,6.184463829984628,6.59817881335184,6.524000000000001
3,PB,Bathinda,Sangat,30.096984128571428,74.81662698571428,2012,POMKH,9.193999999999999,6.862125,6.704125000000009,6.72949079898722,6.287250058217695,5.964587739103577,6.104
0,PB,Bathinda,Sangat,30.09787037166667,74.806203705,2013,POMRB,9.9625,6.6953125,6.9475416666666785,6.758361146058999,6.370255912197435,6.116377387213829,5.827999999999999
1,PB,Bathinda,Sangat,30.09787037166667,74.806203705,2013,PREMON,9.677999999999999,6.514166666666667,6.776708333333344,6.8710166876353975,6.5157256876110985,7.355414152409719,7.723333333333334
2,PB,Bathinda,Sangat,30.09787037166667,74.806203705,2013,MONSOON,14.626,6.300333333333335,6.613916666666678,6.40821001258124,6.3166626755339745,6.607413777205761,6.365166666666667
3,PB,Bathinda,Sangat,30.09787037166667,74.806203705,2013,POMKH,9.193999999999999,6.021931818181819,6.414416666666678,6.285726007548745,6.232150913145926,6.4680057813305725,6.900000000000001
0,PB,Bathinda,Sangat,30.09292929363637,74.81926767636365,2014,POMRB,9.9625,5.9141969696969685,6.186250000000013,6.127035604529247,6.106350087606429,6.1747432172872925,6.801666666666668
1,PB,Bathinda,Sangat,30.09292929363637,74.81926767636365,2014,PREMON,9.677999999999999,5.9071553030303035,5.857613636363648,5.966403180899367,5.957250663596275,6.60020282830626,7.040000000000001
2,PB,Bathinda,Sangat,30.09292929363637,74.81926767636365,2014,MONSOON,14.626,5.817874053030304,5.970780303030316,6.046508575206287,5.9419545784673575,5.322983894754254,5.7139999999999995
3,PB,Bathinda,Sangat,30.09292929363637,74.81926767636365,2014,POMKH,9.193999999999999,5.801308712121212,5.843530303030316,5.865105145123772,5.795297563115665,5.796600344298322,6.102
0,PB,Bathinda,Sangat,30.09959596,74.82275252454545,2015,POMRB,9.9625,5.719878787878788,5.792217803030316,5.792563087074263,5.694964249609676,5.556706631286279,5.889000000000001
1,PB,Bathinda,Sangat,30.09959596,74.82275252454545,2015,PREMON,9.677999999999999,5.814232954545454,5.810399621212134,5.794810579517286,5.645109597698817,5.754296043674924,5.7254545454545465
2,PB,Bathinda,Sangat,30.09959596,74.82275252454545,2015,MONSOON,14.626,6.161139204545455,5.6293579545454655,5.653886347710371,5.523500311582246,5.610856262194368,6.166666666666666
3,PB,Bathinda,Sangat,30.09959596,74.82275252454545,2015,POMKH,9.193999999999999,6.195272727272727,5.9991079545454635,6.221131808626223,5.838721972129622,5.311300417875534,5.593
0,PB,Bathinda,Sangat,30.08651515090909,74.82775252454546,2016,POMRB,9.9625,5.9124791666666665,6.323170454545465,6.524679085175732,6.120357355604751,5.737117118411499,5.68375
1,PB,Bathinda,Sangat,30.08651515090909,74.82775252454546,2016,PREMON,9.677999999999999,5.702708333333333,6.067375000000012,5.824807451105441,5.819589110543247,6.253459028571871,5.798181818181818
2,PB,Bathinda,Sangat,30.08651515090909,74.82775252454546,2016,MONSOON,14.626,5.6555833333333325,5.7575833333333435,5.176217803996597,5.395620869907632,5.737952994348718,5.442499999999999
