,STATE,DISTRICT,BLOCK_NAME,LAT,LON,YEAR_OBS,Season,Depth,Depth_Trend,Depth_SMA,Depth_EWMA,Depth_DES,Depth_TES,Depth_ARIMA
0,TN,Coimbatore,Coimbatore South,10.9709722225,76.9864583325,1996,POMRB,5.7349999999999985,,,5.7349999999999985,5.408205514259752,4.649803224927761,0.0
1,TN,Coimbatore,Coimbatore South,10.9709722225,76.9864583325,1996,PREMON,3.6566666666666654,,,4.903666666666666,4.296586409678713,6.645957774887906,5.734963289237442
2,TN,Coimbatore,Coimbatore South,10.9709722225,76.9864583325,1996,MONSOON,5.5675,4.673229166666666,,5.1692,4.94109317682226,5.240481438307338,4.317015484970959
3,TN,Coimbatore,Coimbatore South,10.9709722225,76.9864583325,1996,POMKH,4.485,4.797395833333333,4.861041666666666,4.895519999999999,4.581978658075835,3.2986195261408766,5.176560984161326
0,TN,Coimbatore,Coimbatore South,10.9709722225,76.9864583325,1997,POMRB,5.7349999999999985,4.99,4.485416666666667,4.630312,4.291117296720496,4.699686625567184,4.745548350591728
1,TN,Coimbatore,Coimbatore South,10.9709722225,76.9864583325,1997,PREMON,3.6566666666666654,4.788125,5.109374999999999,5.2391872,5.274528572577474,5.765528183202155,4.463811692245916
2,TN,Coimbatore,Coimbatore South,10.9709722225,76.9864583325,1997,MONSOON,5.5675,4.5603125,4.870625,4.98851232,4.7906793099778655,6.3833801451316585,5.547162035298376
3,TN,Coimbatore,Coimbatore South,10.9709722225,76.9864583325,1997,POMKH,4.485,4.5374375,4.705625,4.523107392,4.142142366291228,3.184288593214513,4.9327539609332165
0,TN,Coimbatore,Coimbatore South,10.969722222857143,76.96785714285714,1998,POMRB,5.7349999999999985,4.9698125,4.414999999999999,3.9418644352,3.44530620218303,4.258346899323741,4.280892834308457
1,TN,Coimbatore,Coimbatore South,10.969722222857143,76.96785714285714,1998,PREMON,3.6566666666666654,5.766267857142856,4.659875,5.2179186611200015,5.492712324381614,4.892011217786896,3.635521464963435
2,TN,Coimbatore,Coimbatore South,10.969722222857143,76.96785714285714,1998,MONSOON,5.5675,6.8095357142857145,5.279749999999999,5.967551196672,6.302049052187492,6.620339984102943,5.8552919860512995
3,TN,Coimbatore,Coimbatore South,10.969722222857143,76.96785714285714,1998,POMKH,4.485,7.6519732142857135,6.2527857142857135,6.667387860860343,6.989742835940168,4.7651588648512515,6.480712442728582
0,TN,Coimbatore,Coimbatore South,10.970231481666668,76.97638888833333,1999,POMRB,5.7349999999999985,8.469660714285714,7.366285714285714,7.010032716516206,7.158475492784281,7.224317600542286,7.041003489373763
1,TN,Coimbatore,Coimbatore South,10.970231481666668,76.97638888833333,1999,PREMON,3.6566666666666654,8.90972619047619,7.937660714285713,7.973019629909724,8.313510539050062,8.749728757477628,7.1029688131266795
2,TN,Coimbatore,Coimbatore South,10.970231481666668,76.97638888833333,1999,MONSOON,5.5675,8.820327380952381,9.001660714285713,9.323011777945831,9.89071546320048,9.535858320083213,8.242662125145337
3,TN,Coimbatore,Coimbatore South,10.970231481666668,76.97638888833333,1999,POMKH,4.485,8.937282738095238,8.817791666666668,8.386473733434167,8.026567625212362,8.48400162925401,9.71879569646084
0,TN,Coimbatore,Coimbatore South,10.969722222857142,76.96785714285713,2000,POMRB,5.7349999999999985,8.882369047619049,8.822863095238095,8.049598525774787,7.591592902835887,8.273774184973464,7.629423641879214
1,TN,Coimbatore,Coimbatore South,10.969722222857142,76.96785714285713,2000,PREMON,3.6566666666666654,8.672827380952379,9.051702380952381,8.962901972607726,9.014785848737564,9.1824233799962,7.363073024572777
2,TN,Coimbatore,Coimbatore South,10.969722222857142,76.96785714285713,2000,MONSOON,5.5675,8.873958333333333,8.713035714285715,9.375074516897973,9.39851528211433,10.257803145479775,8.911061570745215
3,TN,Coimbatore,Coimbatore South,10.969722222857142,76.96785714285713,2000,POMKH,4.485,9.36452380952381,8.632619047619048,8.289044710138782,7.641919691850576,7.961473826121797,9.180012113437655
0,TN,Coimbatore,Coimbatore South,10.969722222857142,76.96785714285713,2001,POMRB,5.7349999999999985,9.990119047619046,9.115297619047618,8.763426826083268,8.54302674531981,7.8716185301327934,7.351582808734553
1,TN,Coimbatore,Coimbatore South,10.969722222857142,76.96785714285713,2001,PREMON,3.6566666666666654,11.170488095238097,9.61375,10.188722762316628,10.545550627670826,10.17831102696434,8.450202440742968
2,TN,Coimbatore,Coimbatore South,10.969722222857142,76.96785714285713,2001,MONSOON,5.5675,11.816779761904767,10.366488095238095,11.31494794310426,11.748394538091706,11.851725844206824,10.419724136831908
3,TN,Coimbatore,Coimbatore South,10.969722222857142,76.96785714285713,2001,POMKH,4.485,11.953654761904762,11.974488095238097,12.025768765862555,12.287688970762705,10.404594682560166,11.400517442417094
0,TN,Coimbatore,Coimbatore South,10.972314814999999,76.97083333333333,2002,POMRB,5.7349999999999985,12.53082738095238,11.659071428571426,10.500794592850868,9.707657533527083,12.705196596137931,11.760528155131881
1,TN,Coimbatore,Coimbatore South,10.972314814999999,76.97083333333333,2002,PREMON,3.6566666666666654,12.925979166666668,12.248238095238097,12.173810089043856,12.371180270636295,11.359128206792464,9.097981726615263
2,TN,Coimbatore,Coimbatore South,10.972314814999999,76.97083333333333,2002,MONSOON,5.5675,13.396458333333333,12.813416666666665,13.410286053426313,13.787670634403849,13.737206610475127,12.037470926515242
3,TN,Coimbatore,Coimbatore South,10.972314814999999,76.97083333333333,2002,POMKH,4.485,13.440208333333333,13.038541666666665,13.643171632055788,13.633356582029991,12.5149455538249,13.244960382229426
0,TN,Coimbatore,Coimbatore South,10.982129630000001,76.96666666666667,2003,POMRB,5.7349999999999985,13.5075,13.754374999999998,12.61656964590014,11.897593054850507,14.09050751667277,12.898518638011565
1,TN,Coimbatore,Coimbatore South,10.982129630000001,76.96666666666667,2003,PREMON,3.6566666666666654,14.2415625,13.126041666666666,12.437941787540085,11.819318456729185,13.630189034861655,11.16383505014861
2,TN,Coimbatore,Coimbatore South,10.982129630000001,76.96666666666667,2003,MONSOON,5.5675,15.394583333333333,13.888958333333333,14.789431739190716,15.314305585721215,13.141073646776052,11.300885999260066
3,TN,Coimbatore,Coimbatore South,10.982129630000001,76.96666666666667,2003,POMKH,4.485,17.56666666666667,14.594166666666665,15.598992376847766,15.87247138710314,14.104867522258179,14.851315483498235
0,TN,Coimbatore,Coimbatore South,10.982129630000001,76.96666666666667,2004,POMRB,5.7349999999999985,18.7975,16.194999999999997,16.35139542610866,16.48188742682281,16.418090577524033,15.056604582944214
1,TN,Coimbatore,Coimbatore South,10.982129630000001,76.96666666666667,2004,PREMON,3.6566666666666654,17.884999999999994,18.93833333333333,19.068170588998527,19.979101763872137,18.40028947279975,15.526447487025855
2,TN,Coimbatore,Coimbatore South,10.982129630000001,76.96666666666667,2004,MONSOON,5.5675,15.865000000000002,18.656666666666666,18.31690235339911,17.984872208584584,21.628650163515324,18.906370027372933
3,TN,Coimbatore,Coimbatore South,10.982129630000001,76.96666666666667,2004,POMKH,4.485,12.93875,17.11333333333333,15.246141412039465,13.415972010651108,16.830816247040804,16.557465535215012
0,TN,Coimbatore,Coimbatore South,10.982129630000001,76.96666666666667,2005,POMRB,5.7349999999999985,10.53125,14.616666666666665,12.145018180557015,9.75319572286203,13.810873721161293,12.204189648732562
1,TN,Coimbatore,Coimbatore South,10.982129630000001,76.96666666666667,2005,PREMON,3.6566666666666654,9.114166666666666,11.26083333333333,11.175010908334208,9.541853128434447,11.370712758743664,9.177907309700405
2,TN,Coimbatore,Coimbatore South,10.982129630000001,76.96666666666667,2005,MONSOON,5.5675,8.25,9.801666666666662,11.246339878333856,10.393107154838123,10.767420231427762,9.559789412816746
3,TN,Coimbatore,Coimbatore South,10.982129630000001,76.96666666666667,2005,POMKH,4.485,7.822083333333333,8.426666666666662,8.803803927000313,7.174090944492358,8.980708750722314,10.59235821322558
0,TN,Coimbatore,Coimbatore South,10.982129630000001,76.96666666666667,2006,POMRB,5.7349999999999985,7.233333333333333,8.073333333333329,7.714282356200188,6.40488279946836,7.369139656486902,7.386384457691982
1,TN,Coimbatore,Coimbatore South,10.982129630000001,76.96666666666667,2006,PREMON,3.6566666666666654,6.920416666666667,7.570833333333329,7.7125694137201135,7.027447219898348,7.942400848066236,6.980095611131518
2,TN,Coimbatore,Coimbatore South,10.982129630000001,76.96666666666667,2006,MONSOON,5.5675,6.75,6.89583333333333,8.088874981565402,7.8217863780165695,8.189074892880175,7.770267057641172
3,TN,Coimbatore,Coimbatore South,10.982129630000001,76.96666666666667,2006,POMKH,4.485,6.336666666666666,6.944999999999998,6.987991655605907,6.24167000581525,6.329458154311571,8.5225009333171
0,TN,Coimbatore,Coimbatore South,10.982129630000001,76.96666666666667,2007,POMRB,5.7349999999999985,5.794166666666667,6.554999999999995,6.000794993363543,5.130756178329982,6.424590142950888,6.8668956525785925
1,TN,Coimbatore,Coimbatore South,10.982129630000001,76.96666666666667,2007,PREMON,3.6566666666666654,5.2508333333333335,6.118333333333329,5.98581032935146,5.5073096254436535,6.629023902173975,5.917523728242693
2,TN,Coimbatore,Coimbatore South,10.982129630000001,76.96666666666667,2007,MONSOON,5.5675,5.074999999999998,5.469999999999995,6.015486197610876,5.715846716956262,6.616035896677829,6.4409287529381976
3,TN,Coimbatore,Coimbatore South,10.982129630000001,76.96666666666667,2007,POMKH,4.485,5.099166666666667,5.031666666666662,5.042625051899858,4.379568270513658,4.1449767287211055,6.634519965419222
0,TN,Coimbatore,Coimbatore South,10.982129630000001,76.96666666666667,2008,POMRB,5.7349999999999985,5.2662499999999985,5.118333333333329,4.972241697806582,4.572705040111542,4.498487331611135,5.286836814281836
1,TN,Coimbatore,Coimbatore South,10.982129630000001,76.96666666666667,2008,PREMON,3.6566666666666654,5.804166666666667,5.079999999999996,5.307345018683948,5.19247825962253,6.064947361585738,5.60311277378863
2,TN,Coimbatore,Coimbatore South,10.982129630000001,76.96666666666667,2008,MONSOON,5.5675,6.43375,5.452499999999995,6.204407011210369,6.442790543284137,6.298109722075952,6.210564170598349
3,TN,Coimbatore,Coimbatore South,10.982129630000001,76.96666666666667,2008,POMKH,4.485,7.374791666666668,6.155833333333329,6.281310873392887,6.28929861613199,4.910505329984578,7.352448076440253
0,TN,Coimbatore,Coimbatore South,10.982129630000001,76.96666666666667,2009,POMRB,5.7349999999999985,8.249166666666666,6.711666666666663,6.604786524035733,6.624720504174024,6.491225233879019,7.028618834334734
1,TN,Coimbatore,Coimbatore South,10.982129630000001,76.96666666666667,2009,PREMON,3.6566666666666654,8.656666666666668,8.037916666666662,8.408871914421441,9.070518483242683,8.195876593007652,7.317246452931742
2,TN,Coimbatore,Coimbatore South,10.982129630000001,76.96666666666667,2009,MONSOON,5.5675,8.619583333333333,8.460416666666664,8.741323148652864,8.988926895632453,10.331197449492773,9.653692976095874
3,TN,Coimbatore,Coimbatore South,10.982129630000001,76.96666666666667,2009,POMKH,4.485,8.037708333333333,8.852916666666664,8.431460555858385,8.225151830100014,7.539426435885301,9.280405524350773
0,TN,Coimbatore,Coimbatore South,10.982129630000001,76.96666666666667,2010,POMRB,5.7349999999999985,7.661249999999999,8.386249999999997,7.1482096668483655,6.340613558335511,8.485555643782213,8.460723604303633
1,TN,Coimbatore,Coimbatore South,10.982129630000001,76.96666666666667,2010,PREMON,3.6566666666666654,7.591666666666666,7.6891666666666625,7.6195924667756865,7.355149426608719,7.876387013478505,6.684847860395776
2,TN,Coimbatore,Coimbatore South,10.982129630000001,76.96666666666667,2010,MONSOON,5.5675,7.515833333333332,7.633333333333329,8.178422146732078,8.16347181658109,8.532178122841334,7.903551322813571
3,TN,Coimbatore,Coimbatore South,10.982129630000001,76.96666666666667,2010,POMKH,4.485,7.290833333333333,7.549999999999996,7.960386621372581,7.69833894121382,6.684684889326612,8.639151065740796
0,TN,Coimbatore,Coimbatore South,10.982129630000001,76.96666666666667,2011,POMRB,5.7349999999999985,6.910416666666666,7.481666666666663,6.7562319728235485,5.969627749101024,7.9432838356069695,8.076545970259978
1,TN,Coimbatore,Coimbatore South,10.982129630000001,76.96666666666667,2011,PREMON,3.6566666666666654,6.322916666666668,7.099999999999996,6.773739183694129,6.328376738542367,7.495284770230645,6.408990477464343
2,TN,Coimbatore,Coimbatore South,10.982129630000001,76.96666666666667,2011,MONSOON,5.5675,5.921875,6.7208333333333306,7.064243510216478,6.875854021328348,7.464561538991124,6.954936865209431
3,TN,Coimbatore,Coimbatore South,10.982129630000001,76.96666666666667,2011,POMKH,4.485,6.2001388888888895,5.924999999999996,6.018546106129887,5.348393013778749,5.347961378620078,7.498298114395706
0,TN,Coimbatore,Coimbatore South,10.999138889,76.974694444,2012,POMRB,5.7349999999999985,7.093949652777778,5.9187499999999975,5.581127663677932,5.000010651224677,5.499923195801153,5.944138897131187
1,TN,Coimbatore,Coimbatore South,10.999138889,76.974694444,2012,PREMON,3.6566666666666654,8.247621527777778,6.481527777777772,6.969121042651204,7.225851545130943,6.501200335267308,5.751588069134892
