,STATE,DISTRICT,BLOCK_NAME,LAT,LON,YEAR_OBS,Season,Depth,Depth_Trend,Depth_SMA,Depth_EWMA,Depth_DES,Depth_TES,Depth_ARIMA
0,TR,West Tripura,Mandai,23.80833333,91.49166667,1996,POMRB,3.99,,,3.99,4.885177753393544,3.7260527899778992,0.0
1,TR,West Tripura,Mandai,23.80833333,91.49166667,1996,PREMON,4.5,,,4.194,5.323706619331795,4.7807678177629365,3.9899968424454735
2,TR,West Tripura,Mandai,23.80833333,91.49166667,1996,MONSOON,2.5,3.4812500000000006,,3.5164,4.910344043478061,2.8004829654434498,4.248180547186046
3,TR,West Tripura,Mandai,23.80833333,91.49166667,1996,POMKH,3.12,3.50375,3.5275,3.35784,4.638582014005664,3.144573808289417,3.6414710905726624
0,TR,West Tripura,Mandai,23.80833333,91.49166667,1997,POMRB,3.99,3.61,3.435,3.4627040000000004,4.497383368550389,3.720292598004048,3.733933590146376
1,TR,West Tripura,Mandai,23.80833333,91.49166667,1997,PREMON,4.5,3.5825000000000005,3.5725,4.0976224000000006,4.818214458345532,4.5741677351481735,3.99191271612487
2,TR,West Tripura,Mandai,23.80833333,91.49166667,1997,MONSOON,2.5,3.49,3.6475,3.5785734400000004,4.320014980476766,2.73861114865824,3.0700043127278285
3,TR,West Tripura,Mandai,23.80833333,91.49166667,1997,POMKH,3.12,3.44375,3.5175,3.1871440640000004,3.789614278352,3.2194936603553925,3.3643158159833817
0,TR,West Tripura,Mandai,23.80833333,91.49166667,1998,POMRB,3.99,3.35,3.4624999999999995,3.2722864383999997,3.5872206672512683,3.6597905846476078,3.669224392569209
1,TR,West Tripura,Mandai,23.80833333,91.49166667,1998,PREMON,4.5,3.42,3.425,3.9233718630400003,3.923141835980264,4.61745909449064,4.284356378386855
2,TR,West Tripura,Mandai,23.80833333,91.49166667,1998,MONSOON,2.5,3.61125,3.2749999999999995,3.234023117824,3.3559783905081613,2.6456423168130954,2.8666845631819906
3,TR,West Tripura,Mandai,23.80833333,91.49166667,1998,POMKH,3.12,3.65375,3.565,3.4444138706944,3.376756561896488,2.8651037836155058,2.9374014174336978
0,TR,West Tripura,Mandai,23.80833333,91.49166667,1999,POMRB,3.99,3.8125,3.6575,3.57464832241664,3.4216291301752406,3.6894323171328867,3.529370539329101
1,TR,West Tripura,Mandai,23.80833333,91.49166667,1999,PREMON,4.5,4.00375,3.65,4.092788993449983,3.8483332133328187,4.8427759255365865,4.623819514867443
2,TR,West Tripura,Mandai,23.80833333,91.49166667,1999,MONSOON,2.5,3.98125,3.975000000000001,3.8556733960699914,3.777837759246189,2.649726783441072,2.8897410059786117
3,TR,West Tripura,Mandai,23.80833333,91.49166667,1999,POMKH,3.12,3.9025,4.0325000000000015,3.9094040376419934,3.8702689145033564,3.442419400377979,3.4076101256379028
0,TR,West Tripura,Mandai,23.80833333,91.49166667,2000,POMRB,3.99,3.76875,3.9300000000000006,3.689642422585196,3.737217274504444,4.00805701583583,3.818365426103392
1,TR,West Tripura,Mandai,23.80833333,91.49166667,2000,PREMON,4.5,3.4925,3.8750000000000013,4.0737854535511175,4.046029512339659,5.005847029131436,4.7046932547047815
2,TR,West Tripura,Mandai,23.80833333,91.49166667,2000,MONSOON,2.5,3.27625,3.6625000000000014,3.504271272130671,3.6526902838061184,2.9313536504786493,3.1748240463637467
3,TR,West Tripura,Mandai,23.80833333,91.49166667,2000,POMKH,3.12,3.1987500000000004,3.322500000000001,3.1545627632784026,3.294538754156,3.428701124854478,3.878586352590716
0,TR,West Tripura,Mandai,23.80833333,91.49166667,2001,POMRB,3.99,3.265,3.2300000000000013,3.088737657967042,3.1097897017929976,3.445040295107717,3.493992581854507
1,TR,West Tripura,Mandai,23.80833333,91.49166667,2001,PREMON,4.5,3.355,3.1675000000000018,3.613242594780225,3.4329461112901978,4.547763504247427,4.276259796400656
2,TR,West Tripura,Mandai,23.80833333,91.49166667,2001,MONSOON,2.5,3.3837500000000005,3.3625000000000016,3.5399455568681346,3.4156765871175474,2.5301393595978845,3.1002790062970447
3,TR,West Tripura,Mandai,23.80833333,91.49166667,2001,POMKH,3.12,3.42375,3.347500000000002,3.1519673341208816,3.123298671678195,3.1383000556810123,3.338109927838003
0,TR,West Tripura,Mandai,23.80833333,91.49166667,2002,POMRB,3.99,3.1825,3.4200000000000017,3.2031804004725286,3.1060844684455913,3.280729960702014,3.0898619307268143
1,TR,West Tripura,Mandai,23.80833333,91.49166667,2002,PREMON,4.5,3.0425,3.427500000000001,3.693908240283517,3.4907606938162794,4.545635881005163,4.089242826764217
2,TR,West Tripura,Mandai,23.80833333,91.49166667,2002,MONSOON,2.5,3.1525,2.9375000000000018,2.8043449441701096,2.87018644041126,2.7811903835861878,3.0266374750928757
3,TR,West Tripura,Mandai,23.80833333,91.49166667,2002,POMKH,3.12,3.09625,3.1475000000000017,3.046606966502066,2.9599053231952035,2.605325033228035,2.511678733436523
0,TR,West Tripura,Mandai,23.80833333,91.49166667,2003,POMRB,3.99,3.2,3.157500000000002,3.15596417990124,3.0268811657185912,3.1516835451579763,3.0171505917272947
1,TR,West Tripura,Mandai,23.80833333,91.49166667,2003,PREMON,4.5,3.26,3.035000000000002,3.4695785079407435,3.3050912224222704,4.422434482071983,3.996887465766583
2,TR,West Tripura,Mandai,23.80833333,91.49166667,2003,MONSOON,2.5,3.15375,3.365000000000001,3.1977471047644466,3.17171831684118,2.3033149425497816,2.643546157056497
3,TR,West Tripura,Mandai,23.80833333,91.49166667,2003,POMKH,3.12,3.1750000000000003,3.155000000000001,2.946648262858668,2.975824453141501,2.9813585986788045,2.9490749034487687
0,TR,West Tripura,Mandai,23.80833333,91.49166667,2004,POMRB,3.99,3.1,3.152500000000001,3.0919889577152007,3.049119904664328,3.1376809359618822,3.147905636780088
1,TR,West Tripura,Mandai,23.80833333,91.49166667,2004,PREMON,4.5,2.91125,3.197500000000001,3.50319337462912,3.3956354619999773,4.255789631441455,3.831651053871421
2,TR,West Tripura,Mandai,23.80833333,91.49166667,2004,MONSOON,2.5,2.8475,3.0025000000000013,2.9059160247774716,3.0025556316715867,2.433332844666438,2.3195849906760317
3,TR,West Tripura,Mandai,23.80833333,91.49166667,2004,POMKH,3.12,2.50875,2.820000000000001,2.479549614866483,2.599690635667756,2.7195553230425342,2.9779119164620567
0,TR,West Tripura,Mandai,23.80833333,91.49166667,2005,POMRB,3.99,2.2125,2.8750000000000013,2.8997297689198898,2.8102228771004656,2.919574615393417,3.0142355609395683
1,TR,West Tripura,Mandai,23.80833333,91.49166667,2005,PREMON,4.5,2.27,2.142500000000001,2.2158378613519343,2.261082248548493,4.05076157111684,3.599661082697743
2,TR,West Tripura,Mandai,23.80833333,91.49166667,2005,MONSOON,2.5,2.21625,2.282500000000001,2.35750271681116,2.2427669982851337,1.6191751994307864,2.1038837967484154
3,TR,West Tripura,Mandai,23.80833333,91.49166667,2005,POMKH,3.12,2.6125000000000003,2.2575000000000007,2.1105016300866963,1.98934233611648,2.0669507802353357,2.029456982664054
0,TR,West Tripura,Mandai,23.80833333,91.49166667,2006,POMRB,3.99,3.0575,2.1750000000000007,2.5463009780520176,2.2671714357822528,2.725103278915757,2.8292385081568057
1,TR,West Tripura,Mandai,23.80833333,91.49166667,2006,PREMON,4.5,3.2350000000000003,3.050000000000001,3.4037805868312105,3.06462578990619,3.0105921119655914,2.450298498047954
2,TR,West Tripura,Mandai,23.80833333,91.49166667,2006,MONSOON,2.5,3.4600000000000004,3.0650000000000013,3.094268352098726,3.0820521043224343,2.3751514848082587,2.382723956258605
3,TR,West Tripura,Mandai,23.80833333,91.49166667,2006,POMKH,3.12,3.3825,3.405000000000001,3.096561011259236,3.2259763995903787,2.3869225565718173,2.0826360087558395
0,TR,West Tripura,Mandai,23.80833333,91.49166667,2007,POMRB,3.99,3.16125,3.515000000000001,3.3139366067555422,3.5162989443231774,3.4423021538320224,3.3794029680501367
1,TR,West Tripura,Mandai,23.80833333,91.49166667,2007,PREMON,4.5,2.9375,3.2500000000000013,3.440361964053325,3.747453094574656,3.959563134538032,2.9649170934800693
2,TR,West Tripura,Mandai,23.80833333,91.49166667,2007,MONSOON,2.5,2.7975000000000003,3.0725000000000007,2.8322171784319945,3.335332741580257,2.593157593347038,2.9474637992125503
3,TR,West Tripura,Mandai,23.80833333,91.49166667,2007,POMKH,3.12,2.85875,2.8025000000000007,2.507330307059197,2.9687848984383,2.52955879560324,2.6170718270375284
0,TR,West Tripura,Mandai,23.80833333,91.49166667,2008,POMRB,3.99,3.19375,2.7925000000000004,2.944398184235518,3.1593354107020293,3.220970529244904,3.2872912124819287
