,STATE,DISTRICT,BLOCK_NAME,LAT,LON,YEAR_OBS,Season,Depth,Depth_Trend,Depth_SMA,Depth_EWMA,Depth_DES,Depth_TES,Depth_ARIMA
0,UK,Udham Singh Nagar,Sitarganj,,,1996,POMRB,2.2768181818181814,,,2.2768181818181814,1.9122739141686065,2.26515599048416,0.0
1,UK,Udham Singh Nagar,Sitarganj,,,1996,PREMON,3.261071428571429,,,2.6705194805194807,2.228677278049107,3.2429682417426964,-8.780878830706459e-09
2,UK,Udham Singh Nagar,Sitarganj,,,1996,MONSOON,1.5316666666666665,2.238254453879453,,2.214978354978355,2.1100732966020668,1.5434250924835329,-1.855710835141235e-08
3,UK,Udham Singh Nagar,Sitarganj,,,1996,POMKH,1.8834615384615383,2.238254453879454,2.238254453879454,2.0823716283716283,2.075879290725477,1.9002922207727744,-2.075329574852251e-08
0,UK,Udham Singh Nagar,Sitarganj,,,1997,POMRB,2.2768181818181814,2.238254453879453,2.238254453879453,2.1601502497502496,2.13506245180911,2.2724155848132144,2.229921407806704
1,UK,Udham Singh Nagar,Sitarganj,,,1997,PREMON,3.261071428571429,2.238254453879454,2.238254453879453,2.6005187212787213,2.4299085158929232,3.249063901355329,3.193901493437463
2,UK,Udham Singh Nagar,Sitarganj,,,1997,MONSOON,1.5316666666666665,2.238254453879453,2.238254453879453,2.1729778994338997,2.2853222493332903,1.5485434316673603,1.5001181545553397
3,UK,Udham Singh Nagar,Sitarganj,,,1997,POMKH,1.8834615384615383,2.238254453879454,2.238254453879453,2.057171355044954,2.22315043513876,1.9045899338449424,1.8446669297912668
0,UK,Udham Singh Nagar,Sitarganj,,,1998,POMRB,2.2768181818181814,2.238254453879453,2.238254453879453,2.1450300857542453,2.2538917963615464,2.2760242432055784,2.2453757145966264
1,UK,Udham Singh Nagar,Sitarganj,,,1998,PREMON,3.261071428571429,2.238254453879454,2.238254453879453,2.5914466228811186,2.519836917770853,3.252093981580348,3.2160365934849007
2,UK,Udham Singh Nagar,Sitarganj,,,1998,MONSOON,1.5316666666666665,2.238254453879453,2.238254453879453,2.167534640395337,2.3487390690735404,1.551087697478022,1.5105146134867162
3,UK,Udham Singh Nagar,Sitarganj,,,1998,POMKH,1.8834615384615383,2.238254453879454,2.238254453879453,2.0539053996218177,2.2629881793054314,1.906726276131148,1.8574512587115044
0,UK,Udham Singh Nagar,Sitarganj,,,1999,POMRB,2.2768181818181814,2.238254453879453,2.238254453879453,2.1430705125003637,2.2730387965977417,2.2778180645683874,2.2530492930091697
1,UK,Udham Singh Nagar,Sitarganj,,,1999,PREMON,3.261071428571429,2.238254453879454,2.238254453879453,2.5902708789287896,2.519911817745053,3.2536001985861374,3.2270274084194157
2,UK,Udham Singh Nagar,Sitarganj,,,1999,MONSOON,1.5316666666666665,2.238254453879453,2.238254453879453,2.1668291940239404,2.334275302494833,1.5523524218901428,1.5156768018601106
3,UK,Udham Singh Nagar,Sitarganj,,,1999,POMKH,1.8834615384615383,2.238254453879454,2.238254453879453,2.0534821317989795,2.2378853252781536,1.9077882265887955,1.8637991041214672
0,UK,Udham Singh Nagar,Sitarganj,,,2000,POMRB,2.2768181818181814,2.238254453879453,2.238254453879453,2.14281655180666,2.2403703109484314,2.278709751930227,2.2576173800053643
1,UK,Udham Singh Nagar,Sitarganj,,,2000,PREMON,3.261071428571429,2.238254453879454,2.238254453879453,2.5901185025125684,2.481392874053113,3.2543489212271406,3.2335702488098543
2,UK,Udham Singh Nagar,Sitarganj,,,2000,MONSOON,1.5316666666666665,2.238254453879453,2.238254453879453,2.1667377681742077,2.2932281771819985,1.55298110142194,1.518749856478934
3,UK,Udham Singh Nagar,Sitarganj,,,2000,POMKH,1.8834615384615383,2.238254453879454,2.238254453879453,2.05342727628914,2.196745358301577,1.9083161095885284,1.8675779812650035
0,UK,Udham Singh Nagar,Sitarganj,,,2001,POMRB,2.2768181818181814,2.238254453879453,2.238254453879453,2.1427836385007564,2.2007786397249283,2.279152999160832,2.260634787151156
1,UK,Udham Singh Nagar,Sitarganj,,,2001,PREMON,3.261071428571429,2.238254453879454,2.238254453879453,2.5900987545290253,2.444216250764013,3.254721102387621,3.2378920608425896
2,UK,Udham Singh Nagar,Sitarganj,,,2001,MONSOON,1.5316666666666665,2.238254453879453,2.238254453879453,2.1667259193840818,2.2597008956135856,1.5532936105740633,1.5207797339693343
3,UK,Udham Singh Nagar,Sitarganj,,,2001,POMKH,1.8834615384615383,2.238254453879454,2.238254453879453,2.053420167015064,2.1675367934760468,1.908578513977924,1.8700740832232623
0,UK,Udham Singh Nagar,Sitarganj,,,2002,POMRB,2.2768181818181814,2.238254453879453,2.238254453879453,2.142779372936311,2.1761630303918142,2.2793733321114233,2.262767013446549
1,UK,Udham Singh Nagar,Sitarganj,,,2002,PREMON,3.261071428571429,2.238254453879454,2.238254453879453,2.590096195190358,2.424310183533471,3.254906109236128,3.240946034275464
2,UK,Udham Singh Nagar,Sitarganj,,,2002,MONSOON,1.5316666666666665,2.293652181152181,2.238254453879453,2.1667243837808807,2.2443145448531983,1.5534489551736894,1.5222141304405932
3,UK,Udham Singh Nagar,Sitarganj,,,2002,POMKH,1.8834615384615383,2.39704097985348,2.238254453879453,2.053419245653144,2.1563163128024216,1.9087089520932043,1.8718379334346007
0,UK,Udham Singh Nagar,Sitarganj,,,2003,POMRB,2.2768181818181814,2.4498237179487186,2.349049908424909,2.3200515473918863,2.2746050024844857,2.2794828570125705,2.264346552590325
1,UK,Udham Singh Nagar,Sitarganj,,,2003,PREMON,3.261071428571429,2.5029326923076924,2.445032051282052,2.850030928435132,2.6147837403364496,3.326053656464456,3.24320839760434
2,UK,Udham Singh Nagar,Sitarganj,,,2003,MONSOON,1.5316666666666665,2.5353125000000003,2.4546153846153844,2.338018557061079,2.432206210580089,1.6747448545278858,1.5232767218618994
3,UK,Udham Singh Nagar,Sitarganj,,,2003,POMKH,1.8834615384615383,2.4868749999999995,2.55125,2.3108111342366477,2.418581476252716,2.016703418009366,1.8731445820086725
0,UK,Udham Singh Nagar,Sitarganj,,,2004,POMRB,2.2768181818181814,2.457708333333333,2.519375,2.423486680541989,2.4791980214086755,2.4321364335980253,2.4661798794105856
1,UK,Udham Singh Nagar,Sitarganj,,,2004,PREMON,3.261071428571429,2.4804166666666667,2.454375,2.808092008325193,2.72625589143385,3.433790057387315,3.418742375199228
2,UK,Udham Singh Nagar,Sitarganj,,,2004,MONSOON,1.5316666666666665,2.5157291666666666,2.4610416666666666,2.3235218716617827,2.522821952325085,1.7235218778154417,1.5414446476807744
3,UK,Udham Singh Nagar,Sitarganj,,,2004,POMKH,1.8834615384615383,2.5641666666666665,2.499791666666667,2.364113122997069,2.520603075846055,2.061935475766203,2.0491269972429587
0,UK,Udham Singh Nagar,Sitarganj,28.956805555000003,79.70527778,2005,POMRB,2.2768181818181814,2.5933333333333333,2.5316666666666667,2.506467873798241,2.5859045916282084,2.4949676453758496,2.441333014662936
1,UK,Udham Singh Nagar,Sitarganj,28.956805555000003,79.70527778,2005,PREMON,3.261071428571429,2.570625,2.5966666666666667,2.9618807242789447,2.8701398469244053,3.5069896512356658,3.3312910266496965
2,UK,Udham Singh Nagar,Sitarganj,28.956805555000003,79.70527778,2005,MONSOON,1.5316666666666665,2.519375,2.5900000000000003,2.405128434567368,2.632629708867776,1.82667128261828,1.5566084904969746
3,UK,Udham Singh Nagar,Sitarganj,28.956805555000003,79.70527778,2005,POMKH,1.8834615384615383,2.4225,2.5512500000000005,2.3510770607404203,2.5669998244978944,2.144271399059748,2.14572830852258
0,UK,Udham Singh Nagar,Sitarganj,28.945277776666668,79.70490741,2006,POMRB,2.2768181818181814,2.3641666666666667,2.4875000000000003,2.396646236444252,2.5491288645845485,2.5392513707015816,2.5149877322168033
1,UK,Udham Singh Nagar,Sitarganj,28.945277776666668,79.70490741,2006,PREMON,3.261071428571429,2.409583333333333,2.3575000000000004,2.687987741866551,2.6898904586687404,3.503289053722274,3.4510068697518066
2,UK,Udham Singh Nagar,Sitarganj,28.945277776666668,79.70490741,2006,MONSOON,1.5316666666666665,2.478333333333333,2.3708333333333336,2.2621259784532644,2.463183381494092,1.7401921204381965,1.5494462318225894
3,UK,Udham Singh Nagar,Sitarganj,28.945277776666668,79.70490741,2006,POMKH,1.8834615384615383,2.543333333333333,2.4483333333333337,2.389275587071958,2.4762568163371803,2.0802084505055727,2.1111861373285885
0,UK,Udham Singh Nagar,Sitarganj,28.955416665,79.701111115,2007,POMRB,2.2768181818181814,2.619166666666666,2.5083333333333337,2.515565352243175,2.520596482679944,2.5351621386134218,2.4278033867848463
1,UK,Udham Singh Nagar,Sitarganj,28.955416665,79.701111115,2007,PREMON,3.261071428571429,2.61796875,2.5783333333333336,2.871339211345905,2.7325300957150644,3.538334781282604,3.2475332493352305
2,UK,Udham Singh Nagar,Sitarganj,28.955416665,79.701111115,2007,MONSOON,1.5316666666666665,2.5565625,2.66,2.502803526807543,2.5820090506252478,1.8145115000381595,1.574612690355479
