,STATE,DISTRICT,BLOCK_NAME,LAT,LON,YEAR_OBS,Season,Depth,Depth_Trend,Depth_SMA,Depth_EWMA,Depth_DES,Depth_TES,Depth_ARIMA
0,WB,Koch Bihar,Sitalkuchi,26.15972222,89.16666667,1996,POMRB,2.23,,,2.23,1.9147465142898301,2.414682325764676,0.0
1,WB,Koch Bihar,Sitalkuchi,26.15972222,89.16666667,1996,PREMON,2.85,,,2.478,1.9387988521033264,2.9579787096858547,1.0822257765932329e-08
2,WB,Koch Bihar,Sitalkuchi,26.15972222,89.16666667,1996,MONSOON,1.8,2.24875,,2.2068,1.8209760662001084,1.4380228522369376,1.2166818629183634e-08
3,WB,Koch Bihar,Sitalkuchi,26.15972222,89.16666667,1996,POMKH,1.85,2.35625,2.1825,2.06408,1.7313119227530733,1.8789819801949117,1.4265193309042996e-08
0,WB,Koch Bihar,Sitalkuchi,26.15972222,89.16666667,1997,POMRB,2.23,2.3875,2.315,2.342448,1.7941818608258628,2.4146853823907413,2.1843050211720825
1,WB,Koch Bihar,Sitalkuchi,26.15972222,89.16666667,1997,PREMON,2.85,2.4025000000000003,2.3975,2.6774687999999998,1.9278863127420285,2.9580526438308548,2.7916005875192087
2,WB,Koch Bihar,Sitalkuchi,26.15972222,89.16666667,1997,MONSOON,1.8,2.36875,2.3775,2.2944812800000003,1.8441456209749605,1.4382384034052138,1.763116160685155
3,WB,Koch Bihar,Sitalkuchi,26.15972222,89.16666667,1997,POMKH,1.85,2.225,2.4275,2.196688768,1.821025517531314,1.8790992192167,1.8120916094920352
0,WB,Koch Bihar,Sitalkuchi,26.15972222,89.16666667,1998,POMRB,2.23,2.1225,2.31,2.2340132608000003,1.841905542518141,2.4149091076267046,2.4726467224904316
1,WB,Koch Bihar,Sitalkuchi,26.15972222,89.16666667,1998,PREMON,2.85,2.04625,2.14,2.34040795648,1.8997587056043963,2.9582007233901426,2.98573326601768
2,WB,Koch Bihar,Sitalkuchi,26.15972222,89.16666667,1998,MONSOON,1.8,1.98625,2.105,2.036244773888,1.820624473289845,1.438332071873836,1.7409356372871831
3,WB,Koch Bihar,Sitalkuchi,26.15972222,89.16666667,1998,POMKH,1.85,2.05625,1.9875,1.8537468643328,1.7492775071304982,1.879153234748691,1.9309737134564475
0,WB,Koch Bihar,Sitalkuchi,26.15972222,89.16666667,1999,POMRB,2.23,2.1175,1.985,2.02424811859968,1.791703470212991,2.414847663633324,2.4085403701038794
1,WB,Koch Bihar,Sitalkuchi,26.15972222,89.16666667,1999,PREMON,2.85,2.085,2.1275,2.4425488711598082,1.958478917777009,2.9580613162133136,2.8163387676725065
2,WB,Koch Bihar,Sitalkuchi,26.15972222,89.16666667,1999,MONSOON,1.8,2.055,2.1075,2.065529322695885,1.8819244081099535,1.438388362621598,1.6845825832829582
3,WB,Koch Bihar,Sitalkuchi,26.15972222,89.16666667,1999,POMKH,1.85,2.04,2.0625,1.799317593617531,1.7943144963780933,1.8790997050582825,1.808644023081824
0,WB,Koch Bihar,Sitalkuchi,26.15972222,89.16666667,2000,POMRB,2.23,1.9975,2.0475000000000003,1.9675905561705187,1.837274758429601,2.4148140192739747,2.3726779393029207
1,WB,Koch Bihar,Sitalkuchi,26.15972222,89.16666667,2000,PREMON,2.85,2.02,2.0325,2.3845543337023107,2.0035779596505683,2.9580786362413662,2.8848096521608366
2,WB,Koch Bihar,Sitalkuchi,26.15972222,89.16666667,2000,MONSOON,1.8,2.0875,1.9625000000000004,1.9187326002213867,1.890647982704541,1.4383880362949255,1.6336235660817966
3,WB,Koch Bihar,Sitalkuchi,26.15972222,89.16666667,2000,POMKH,1.85,2.1425,2.0775,1.895239560132832,1.8792592519968647,1.8789464322904297,1.6964104233155963
0,WB,Koch Bihar,Sitalkuchi,26.15972222,89.16666667,2001,POMRB,2.23,2.23,2.0975,2.0571437360797,1.9368022764093185,2.414772540686055,2.336490735302976
1,WB,Koch Bihar,Sitalkuchi,26.15972222,89.16666667,2001,PREMON,2.85,2.4,2.1875,2.58228624164782,2.1606233078630193,2.958102155554101,2.9130141502234275
2,WB,Koch Bihar,Sitalkuchi,26.15972222,89.16666667,2001,MONSOON,1.8,2.56375,2.2724999999999995,2.173371744988692,2.097264716527311,1.438385247245981,1.5370446536519335
3,WB,Koch Bihar,Sitalkuchi,26.15972222,89.16666667,2001,POMKH,1.85,2.4475,2.5275,2.4560230469932147,2.2377459211814363,1.8790238028162336,1.7338959510405223
0,WB,Koch Bihar,Sitalkuchi,26.15972222,89.16666667,2002,POMRB,2.23,2.24375,2.6,2.509613828195929,2.327868934685677,2.4149301004963,2.3282141005036383
1,WB,Koch Bihar,Sitalkuchi,26.15972222,89.16666667,2002,PREMON,2.85,2.04375,2.295,2.3657682969175573,2.343175771702192,2.958410415677473,3.0068892921359813
2,WB,Koch Bihar,Sitalkuchi,26.15972222,89.16666667,2002,MONSOON,1.8,1.8475,2.1925,1.8794609781505345,2.198000337301546,1.4385040832863734,1.5413376274189776
3,WB,Koch Bihar,Sitalkuchi,26.15972222,89.16666667,2002,POMKH,1.85,1.96625,1.895,1.8036765868903208,2.1361954514169397,1.879304552446292,1.9710244265159709
0,WB,Koch Bihar,Sitalkuchi,26.150833329999998,89.21013889,2003,POMRB,2.23,2.17,1.7999999999999998,1.9662059521341924,2.154680150553116,2.414900743634106,2.377609722840171
1,WB,Koch Bihar,Sitalkuchi,26.150833329999998,89.21013889,2003,PREMON,2.85,2.215625,2.1325,2.571723571280516,2.3700435101783808,2.958115840741666,2.841976111955189
2,WB,Koch Bihar,Sitalkuchi,26.150833329999998,89.21013889,2003,MONSOON,1.8,2.24375,2.2075,2.1230341427683093,2.2634160177209663,1.438462988941872,1.4659714140445437
3,WB,Koch Bihar,Sitalkuchi,26.150833329999998,89.21013889,2003,POMKH,1.85,2.131875,2.2237499999999994,1.9758204856609856,2.2030462332140144,1.8793164603452608,1.9166404316229404
